campagne,activite,production_q,productivite_q_ha,superficie_ha,feuille
2021-2022,القرط,88187,6.1,14428,Feuil1
2021-2022,سيلاج,16420,22.9,718,Feuil1
2021-2022,أعلاف خضراء,50695,3.6,13925,Feuil1
2021-2022,المجمــوع,155302,,29071,Feuil1
