annee,delegation,superficie_olivier_a_huile_ha,nombre_de_pieds,production_de_lhuile_dolive_tonne,superficie_dolivier_de_table_ha,production_dolivier_de_table_tonne,superficie_des_dattes_ha,production_des_dattes_tonne,superficie_damandier_ha,production_damandier_tonne,superficie_de_pistache_ha,production_de_pistache_tonne,superficie_de_figuier_ha,production_de_figuier_tonne,autres_superficie_ha,autres_production_tonne,superficie_totale_ha,production_totale_tonne,feuille
2023,قفصة الشمالية,13550,1257000.0,2110.0,510.0,420.0,6.0,11.0,3900.0,1700.0,4100.0,116.0,45.0,5.0,210.0,315.0,22321.0,4677.0,Feuil1
2023,قفصة الجنوبية,7640,538125.0,1210.0,390.0,340.0,288.0,2100.0,2260.0,1010.0,3910.0,163.0,280.0,22.0,615.0,920.0,15383.0,5765.0,Feuil1
2023,القصر,1850,71600.0,340.0,350.0,300.0,280.0,1300.0,180.0,90.0,85.0,3.0,5.0,1.0,300.0,440.0,3050.0,2474.0,Feuil1
2023,سيدي عيش,12800,340750.0,2010.0,470.0,480.0,0.0,0.0,3730.0,1850.0,2940.0,115.0,0.0,0.0,240.0,360.0,20180.0,4815.0,Feuil1
2023,السند,14620,761250.0,2420.0,590.0,570.0,0.0,0.0,2950.0,1460.0,3840.0,182.0,50.0,5.0,120.0,180.0,22170.0,4817.0,Feuil1
2023,بلخير,7450,295000.0,840.0,15.0,14.0,0.0,0.0,160.0,75.0,135.0,4.0,120.0,12.0,11.0,17.0,7891.0,962.0,Feuil1
2023,الرديف,170,4400.0,70.0,95.0,85.0,760.0,3582.0,10.0,3.0,5.0,3.0,10.0,1.0,180.0,270.0,1230.0,4014.0,Feuil1
2023,المتلوي,150,3500.0,60.0,45.0,40.0,384.0,2100.0,50.0,40.0,5.0,3.0,0.0,0.0,70.0,105.0,704.0,2348.0,Feuil1
2023,أم العرائس,690,6500.0,120.0,245.0,200.0,23.0,94.0,150.0,85.0,740.0,90.0,0.0,0.0,20.0,30.0,1868.0,619.0,Feuil1
2023,القطار,4580,450000.0,820.0,70.0,66.0,530.0,1920.0,560.0,87.0,140.0,10.0,20.0,5.0,100.0,145.0,6000.0,3053.0,Feuil1
2023,المظيلة,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Feuil1
2023,كامل الولاية,63500,3728125.0,10000.0,2780.0,2515.0,2271.0,11107.0,13950.0,6400.0,15900.0,689.0,530.0,51.0,1866.0,2782.0,100797.0,33544.0,Feuil1
2024,قفصة الشمالية,17612,,5230.0,450.0,350.0,6.0,10.0,1640.0,630.0,980.0,715.0,,,,,,,Feuil1
2024,قفصة الجنوبية,7712,,2300.0,395.0,290.0,320.0,2125.0,850.0,710.0,1100.0,860.0,,,,,,,Feuil1
2024,القصر,4420,,1310.0,370.0,260.0,310.0,1355.0,85.0,65.0,70.0,10.0,,,,,,,Feuil1
2024,سيدي عيش,12195,,3620.0,490.0,340.0,0.0,0.0,1940.0,670.0,2000.0,650.0,,,,,,,Feuil1
2024,السند,3760,,1150.0,365.0,310.0,0.0,0.0,760.0,450.0,220.0,400.0,,,,,,,Feuil1
2024,بلخير,3316,,960.0,30.0,10.0,0.0,0.0,20.0,15.0,20.0,15.0,,,,,,,Feuil1
2024,الرديف,774,,240.0,100.0,60.0,814.0,4020.0,15.0,5.0,30.0,10.0,,,,,,,Feuil1
2024,المتلوي,281,,90.0,45.0,30.0,400.0,2820.0,20.0,15.0,25.0,10.0,,,,,,,Feuil1
2024,أم العرائس,4114,,1250.0,200.0,140.0,25.0,90.0,75.0,40.0,1200.0,550.0,,,,,,,Feuil1
2024,القطار,2264,,690.0,100.0,60.0,530.0,2100.0,30.0,15.0,630.0,250.0,,,,,,,Feuil1
2024,سيدي بوبكر,1976,,580.0,45.0,15.0,,,10.0,5.0,76.0,5.0,,,,,,,Feuil1
2024,زانوش,8425,,2560.0,310.0,135.0,,,400.0,350.0,700.0,30.0,,,,,,,Feuil1
2024,المظيلة,71,,19.6,0.0,0.0,,,,,,,,,,,,,Feuil1
2024,كامل الولاية,66920,,19999.6,2900.0,2000.0,2405.0,12520.0,5845.0,2970.0,7051.0,3505.0,,,,,,,Feuil1
