code,produits,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,feuille
10110,Chevaux reproducteurs de race pur (1)*,0,0,0,7400,4400,1500,10250,5520,5700,21316,79460,84950,77760,86830,0,0,0,0,0,Feuil1
10111,Chevaux reproducteurs de race pur *,19300,4000,16046,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
10121,Animaux du genre buffle reproducteur de race pure,0,0,0,0,0,0,0,0,0,0,0,0,0,272260,625030,598700,290000,138600,78220,Feuil1
10129,"Autres Chevaux, ânes, mulets et bardots, vivants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,9600,400,0,Feuil1
10190,Autres chevaux non reproducteurs de race pure destines a la boucherie*,0,0,0,0,0,0,0,1000,0,2500,0,3500,2950,400,0,0,0,0,0,Feuil1
10210,Animaux vivants de l'espèce bovine reproducteurs de race pure,594749,825431,100364,0,0,977804,1380903,268425,128189,193698,476447,882790,443690,268000,0,0,0,0,0,Feuil1
10221,Reproducteurs de race pure des Animaux vivants de l’espèce bovine.,0,0,0,0,0,0,0,0,0,0,0,0,0,134373,587188,212843,364357,119285,103590,Feuil1
10229,Autres animaux vivants de l'espéce bovine,0,0,0,0,0,0,0,0,0,0,0,0,0,1980758,8709536,4275797,4196791,0,38128,Feuil1
10290,Animaux vivants de l'espèce bovine domestique non reproducteurs de race pure*,360477,53325,0,0,0,2901144,482590,1481692,2296839,37244,3422820,4190319,4681157,444460,0,0,0,0,0,Feuil1
10310,Animaux vivants de l'espèce porcine reproducteurs de race pure*,0,26273,5429,0,0,0,0,27130,0,16159,0,0,0,0,0,0,0,0,0,Feuil1
10410,Animaux vivants des espèces ovine ou caprine de l'espèce ovine,13695,366307,357456,0,0,0,0,0,0,0,0,0,1650,3464572,1146264,250000,0,0,800,Feuil1
