nom_de_la_societe,date_de_creation,nombre_dadherents,chiffre_daffaires_mille_dinars,zone_de_rayonnement,principales_activites,investissement_mille_dinars,situation_actuelle,feuille
المحاسن,1989-11-03 00:00:00,1104.0,10930,الكاف الشرقية-نبر,جمع الحليب-تلقيح اصطناعي-مستلزمات فلاحية-ميكنة فلاحية,,- توقفت الشركة عن النشاط منذ شهر سبتمبر 2020 نظرا للصعوبات المالية التي تمر بها.,Feuil1
نبـر,,,للسنة المالية 2015,,,,استئناف نشاط تجميع الحليب بمركز نبر والزعفران وذلك اثر استبدال صيغة استغلال المركزين .,Feuil1
,,,,,,,-التفويت لشركة خاصة بالتجهيزات التابعة لمركز الزعفران دون تقديم توضيحات ودون احترام كراس الشروط.,Feuil1
,,,,,,,- تم إجراء تفقد إداري ومالي من والي الكاف أسفر عن وجود خروقات قانونية وتم على إثره إحالة ملف الشركة على القضاء.,Feuil1
النجاح جزة تاجروين,2000-05-10 00:00:00,220.0,1547.716,جزة - تاجروين,توفير الأعلاف,,- تم عقد الجلسة العامة للسنوات المالية و2018و2019و2020و 2021بتاريخ 21جويلية 2022.,Feuil1
,,,للسنة المالية 2018-2019-2020-,,,,- تعاني الشركة من صعوبات مالية ونقص في الموارد البشرية,Feuil1
,,,,,,,-تحصلت سنة 2023 على الة رحي الاعلاف من لتعاون الألماني.,Feuil1
,,,,,,,- محدودية الأنشطة والاقتصار على بيع الأعلاف,Feuil1
,,,,,,,,Feuil1
الكاف,2018-09-10 00:00:00,18.0,,ولاية الكاف,ترويج منتوجات النحل البيولوجي,,عقد الجلسة العامة العادية للسنوات المالية 2019و 020و2021و2022و2023.,Feuil1
Green Kef,,,,,,,- صعوبات في التواصل بين مجلس الإدارة و المنخرطين.,Feuil1
السرس,2018-10-21 00:00:00,31.0,,ولاية الكاف,,,تم عقد الجلسة العامة العادية للسنوات المالية 2019و 2020و2021و 2022بتاريخ 19 اوت 2022,Feuil1
المرجى,,,,,تجميع وتحويل الحليب,,تم عقد جلسة عمل انتخابية بتاريخ 20-سبتمبر2022 لتجديد مجلس الإدارة .- عدم الانطلاق في النشاط الفعلي بسبب عدم قدرة الشركة على توفير مقر لمزاولة النشاط رغم توفير تجهيزات و معدات لتحويل الحليب و صناعة الاجبان.,Feuil1
