annee,delegation,superficie_terres_agricoles_ha,superficie_paturages_ha,superficie_forets_ha,superficie_terres_non_agricoles_ha,feuille
2024,قابس المدينة,590,0,5,1179,Feuil1
2024,قابس الغربية,5500,6200,460,1329,Feuil1
2024,قابس الجنوبية,11500,11300,100,2652,Feuil1
2024,غنوش,1400,100,0,400,Feuil1
2024,المطوية و وذرف,13500,15000,1150,3685,Feuil1
2024,منزل الحبيب,33000,64000,100,16000,Feuil1
2024,الحامة,38500,176000,350,17010,Feuil1
2024,مطماطة,7370,70000,180,40950,Feuil1
2024,مطماطة الجديدة,35000,30000,265,6035,Feuil1
2024,مارث ودخيلة نوجان,65000,36000,3485,1321,Feuil1
2024,المجموع,211360,408600,6095,90571,Feuil1
