nom_du_barrage_collinaire,delegation,capacite_de_stockage_mille_m3,quantite_stockee_mille_m3,quantite_exploitee_mille_m3,remarques,feuille
القلتة,ماطر,843,10,,منطقة سقوية عمومية,Feuil1
القصعة,ماطر,400,0,,منطقة سقوية عمومية,Feuil1
فريطيسة,ماطر,900,25,,,Feuil1
القنين,منزل بورقيبة,860,5,,,Feuil1
الفكارين,أوتيك,490,15,,منطقة سقوية عمومية,Feuil1
الفرطوط,أوتيك,615,15,,منطقة سقوية عمومية,Feuil1
المرة,أوتيك,468,0,,,Feuil1
المنار,أوتيك,400,5,,,Feuil1
شك الفلفل,راس الجبل,266,5,,,Feuil1
بني عطاء السفلى-1-,راس الجبل,286,12,,,Feuil1
بني عطاء العلوى-2-,راس الجبل,285,10,,منطقة سقوية عمومية,Feuil1
شعاب الدود,راس الجبل,512,10,,,Feuil1
النشمة,راس الجبل,600,0,,منطقة سقوية عمومية,Feuil1
القلاع,العالية,500,10,,,Feuil1
الناشرين,العالية,466,0,,,Feuil1
الرحيب ( العالية),العالية,506,0,,,Feuil1
الطرفة,العالية,400,15,,,Feuil1
الخمخامة,غار الملح,290,0,,,Feuil1
الخربة,غار الملح,600,0,,,Feuil1
البلارة,غزالة,400,30,,,Feuil1
الريحان,غزالة,715,25,,,Feuil1
سيدي محمد,غزالة,565,40,,,Feuil1
وادي الزيتون,غزالة,2210,60,,منطقة سقوية عمومية,Feuil1
سيدي السلطان,جومين,1745,700,,,Feuil1
الزراريس,جومين,560,10,,منطقة سقوية عمومية,Feuil1
Total,,15882,1002,0.0,,Feuil1
