type,annee,volume_mille_tonnes,feuille
Liege naturel brut ou simplement prepares,1999,13.952,Feuil1
Autres liege naturel brut ou simplement prepares,1999,5811.44,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,1999,4.0,Feuil1
Ouvrages en liége naturel :bouchons*,1999,448.492,Feuil1
Autres ouvrage en liége naturel,1999,1.54,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",1999,124.366,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,1999,12.865,Feuil1
Liege naturel brut ou simplement prepares,2000,0.0,Feuil1
Autres liege naturel brut ou simplement prepares,2000,7051.69,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2000,1.0,Feuil1
Ouvrages en liége naturel :bouchons*,2000,325.314,Feuil1
Autres ouvrage en liége naturel,2000,0.0,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2000,517.309,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2000,1.149,Feuil1
Liege naturel brut ou simplement prepares,2001,0.034,Feuil1
Autres liege naturel brut ou simplement prepares,2001,4227.405,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2001,19.662,Feuil1
Ouvrages en liége naturel :bouchons*,2001,457.2,Feuil1
Autres ouvrage en liége naturel,2001,0.937,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2001,228.269,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2001,1.817,Feuil1
Liege naturel brut ou simplement prepares,2002,0.012,Feuil1
Autres liege naturel brut ou simplement prepares,2002,3087.456,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,2002,1189.91,Feuil1
Ouvrages en liége naturel :bouchons*,2002,280.748,Feuil1
Autres ouvrage en liége naturel,2002,40.266,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",2002,517.637,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,2002,0.34,Feuil1
Liege naturel brut ou simplement prepares,2003,,Feuil1
Autres liege naturel brut ou simplement prepares,2003,5045.096,Feuil1
