annee,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,feuille
Liege naturel brut ou simplement prepares,13.952,0.0,0.034,0.012,,,,,,,,,,,,,,,,,,Feuil1
Autres liege naturel brut ou simplement prepares,5811.44,7051.69,4227.405,3087.456,5045.096,8368.755,13081.378,8952.084,4143.737,3502.788,2284.354,2830.795,3577.431,3644.645,2883.751,2933.033,2799.942,2273.404,1837.154,2460.689,3159.032,Feuil1
Liege naturel-croute ou simplement équarri-ou en cubes-plaques-feuilles ou bandes de forme carrée ou rectangulaires,4.0,1.0,19.662,1189.91,957.811,181.179,17.293,97.051,56.286,0.0,0.0,0.0,0.0,0.0,13.736,29.276,2.08,5.5,68.557,115.756,154.995,Feuil1
Ouvrages en liége naturel :bouchons*,448.492,325.314,457.2,280.748,436.483,619.363,195.724,94.232,89.024,74.861,55.259,67.627,54.343,30.464,64.158,70.156,75.42,76.393,129.472,102.363,137.856,Feuil1
Autres ouvrage en liége naturel,1.54,0.0,0.937,40.266,0.04,0.422,0.065,0.08,3.097,106.946,56.014,10.371,16.971,37.195,32.961,0.71,24.627,13.211,114.372,177.017,128.578,Feuil1
"Cubes briques,plaques,feuilles et bandes;carreaux de toutes formes*",124.366,517.309,228.269,517.637,833.332,822.169,778.033,364.897,276.281,250.713,292.209,683.994,836.257,1072.695,633.654,672.995,928.47,843.675,498.93,182.303,40.357,Feuil1
Joints destines a des aeronefs civils-autres liege agglomere,12.865,1.149,1.817,0.34,187.4,14.922,59.279,91.487,156.504,232.096,377.398,105.392,105.742,108.263,25.375,0.0,8.619,6.5,0.449,0.0,5.138,Feuil1
