annee,delegation,nbre_gda_eau_potable_actif,nbre_gda_eau_potable_inactif,nbre_gda_irrigation_actif,nbre_gda_irrigation_inactif,nbre_mixte_actif,nbre_mixte_inactif,total_actif,total_inactif,feuille
2023,الكاف الشرقية,5,0.0,3,1.0,0,0.0,8,1.0,Feuil1
2023,الكاف الغربية,1,0.0,1,3.0,1,0.0,3,3.0,Feuil1
2023,الدهمانـي,18,0.0,2,4.0,1,0.0,21,4.0,Feuil1
2023,تاجرويـن,11,0.0,7,1.0,2,1.0,20,2.0,Feuil1
2023,السـرس,11,2.0,1,2.0,0,0.0,12,4.0,Feuil1
2023,القصـور,11,1.0,3,1.0,1,0.0,16,20.0,Feuil1
2023,الجريصـة,6,0.0,1,1.0,0,0.0,7,1.0,Feuil1
2023,قلعة سنان,8,2.0,5,0.0,0,0.0,13,2.0,Feuil1
2023,القلعة الخصبـاء,6,0.0,10,1.0,0,0.0,16,1.0,Feuil1
2023,نبــر,12,1.0,2,0.0,0,0.0,14,1.0,Feuil1
2023,"س, س, يوسف",9,1.0,1,0.0,0,0.0,10,1.0,Feuil1
2023,الطويرف,3,0.0,0,0.0,0,0.0,3,0.0,Feuil1
2023,كامـل الولايـة,102,70.0,36,14.0,5,1.0,143,22.0,Feuil1
2024,المجمــوع,109,,50,,6,,165,,Feuil1
2024,الكاف الغربية,1,0.0,1,1.0,0,0.0,2,1.0,Feuil1
2024,الدهمانـي,17,0.0,2,5.0,1,0.0,20,5.0,Feuil1
2024,تاجرويـن,14,1.0,8,2.0,4,0.0,26,3.0,Feuil1
2024,السـرس,11,1.0,1,2.0,0,0.0,12,3.0,Feuil1
2024,القصـور,12,1.0,3,1.0,1,0.0,16,2.0,Feuil1
2024,الجريصـة,6,0.0,1,0.0,0,0.0,7,0.0,Feuil1
2024,قلعة سنان,9,2.0,5,0.0,0,0.0,14,2.0,Feuil1
2024,القلعة الخصبـاء,6,0.0,10,0.0,0,0.0,16,0.0,Feuil1
2024,نبــر,7,5.0,1,1.0,0,0.0,8,6.0,Feuil1
2024,"س, س, يوسف",4,0.0,0,0.0,0,0.0,4,0.0,Feuil1
2024,الطويرف,10,0.0,1,2.0,0,0.0,11,2.0,Feuil1
2024,كامـل الولايـة,206,10.0,83,14.0,12,0.0,301,24.0,Feuil1
