annee,delegation,nom_du_groupement,zone_intervention,local_tel,activite,date_creation,nbre_adherants,derniere_session_generale,remarques,feuille
2024,القلعة الخصبة,"مجمع ""نسائم الخير""",كافة العمادات,93633682.0,تجفيف الطماطم ومنتوجات محلية,2018-03-30 00:00:00,37.0,2021-06-10 00:00:00,-مجمع نسائي ناشط,Feuil1
2024,نبر,"مجمع ""الانطلاق""",نبر,96482160.0,تربية الماشية الصغرى,2018-09-06 00:00:00,20.0,2018-10-11 00:00:00,مجمع نسائيذو نشاط محدود,Feuil1
2024,تاجروين,"مجمع "" الافاق بجزة - تاجروين",جزة,92985828.0,جميع الانشطة الفلاحية,2023-01-26 00:00:00,47.0,,مجمع نااشط بصدد التحضير للجلسة العامة,Feuil1
2024,,,,,,جلسة عامة تاسيسية,,,,Feuil1
2024,قلعة سنان,"مجمع ""الوفاق""",الحميمة,97930933.0,تربية النحل,2018-10-11 00:00:00,20.0,2018-10-25 00:00:00,نشاط محدود,Feuil1
2024,الساقية,"مجمع ""الامل""",جرادو-عين مازر,97410296.0,حماية الغابات,2015-09-11 00:00:00,150.0,2022-07-18 00:00:00,ناشط,Feuil1
2024,نبر,"مجمع ""الطموح""",ملاق,98655606.0,حماية الغابات,2016-01-13 00:00:00,60.0,2022-11-29 00:00:00,ناشط,Feuil1
2024,قلعة سنان,مجمع  الربيبة – سد الخير,سد الخير,55500402.0,أنشطة فلاحية مختلفة,2023-12-12 00:00:00,12.0,,مجمع حديث التكوين في انتظار الحصول على تجهيزات تربية النحل ودواجن وتربية اغنام من طرف مشروع jeun’ess,Feuil1
2024,تاجرون,"مجمع ""الامل""",برج الديوانة- قرن الحلفاية-منزل سالم,26308617.0,مشروع المشاهد,2017-10-03 00:00:00,150.0,2021-09-02 00:00:00,ناشط,Feuil1
2024,الساقية,"مجمع""المستقبل""",سيدي رابح-عين الكرمة-الطابية,98285317.0,مشروع المشاهد,2017-09-29 00:00:00,149.0,2024-06-26 00:00:00,ناشط,Feuil1
2024,السرس,مجمع وحدة اللاس,اللاس,29780829.0,قطاع الزياتين,2024-07-16 00:00:00,25.0,,مجمع حديث التاسيس,Feuil1
2024,,,,,,جلسة عامة تاسيسية,,,,Feuil1
2024,نبر,مجمع  خيرات نبر,نبر,22628157.0,أنشطة فلاحية مختلفة,2024-07-19 00:00:00,13.0,,مجمع حديث التاسيس,Feuil1
2024,تاجرون,مجمع  حرايرتاجروين,تاجرون,95979691.0,تثمين المنتوجات المحلية,2024-11-27 00:00:00,43.0,,مجمع حديث التاسيس,Feuil1
2024,الطويرف,"مجمع ""الصعصاع""",ولجة السدرة,40370463.0,ماء شرب و حماية الغابات,2006-11-14 00:00:00,220.0,2022-01-25 00:00:00,ناشط,Feuil1
2024,تاجروين,"مجمع ""عين ببوش""",جزة,98682456.0,تقطير النباتات العطرية,2016-07-04 00:00:00,20.0,2021-08-26 00:00:00,-مجمع نسائيناشط,Feuil1
2024,الساقية,"مجمع ""تكرونة""",تكرونة,95637322.0,تقطير النباتات العطرية,2006-12-14 00:00:00,65.0,2024-11-29 00:00:00,مجمع نسائي,Feuil1
2024,الطويرف,"مجمع ""البرج """,الطويرف,,منتوجات محلية,2019-08-29 00:00:00,65.0,2024-01-05 00:00:00,-مجمع نسائيناشط,Feuil1
2024,الدهماني,حراير عبيدة,عبيدة,,تجفيف الطماطم و منتوجات محلية,2020-12-08 00:00:00,29.0,2024-06-01 00:00:00,مجمع نسائي حديث النشاط,Feuil1
