الولاية_gouvernorat,الحبوب_cereale,الاعلاف_fourrage,البقوليات_legumineuse,الخضروات_maraichage,اشجار_arboriculture,زراعات_صناعية_cultures_industrielles,الزراعات_المتداخلة_cultures_intercalaires,feuille
تونس,70.0,60.0,,60.0,150,,10.0,Feuil1
أريانة,,410.0,,650.0,240,,60.0,Feuil1
منوبة,,110.0,,1250.0,2180,20.0,300.0,Feuil1
بن عروس,130.0,,,390.0,3250,,,Feuil1
نابل,480.0,1080.0,540.0,19220.0,6280,1490.0,3030.0,Feuil1
بنزرت,,180.0,10.0,510.0,1710,90.0,,Feuil1
باجة,480.0,50.0,,1150.0,2130,100.0,,Feuil1
جندوبة,1970.0,660.0,260.0,930.0,200,390.0,,Feuil1
الكاف,2610.0,2560.0,,2060.0,2760,,360.0,Feuil1
سليانة,760.0,160.0,,890.0,1940,,,Feuil1
زغوان,450.0,130.0,470.0,3210.0,5830,,1710.0,Feuil1
سوسة,500.0,450.0,,2380.0,1300,,700.0,Feuil1
المنستير,,230.0,,810.0,470,,70.0,Feuil1
المهدية,,870.0,,1500.0,1210,,270.0,Feuil1
صفاقس,60.0,,,7850.0,8730,,2990.0,Feuil1
القيروان,19140.0,4060.0,,15880.0,17590,,7510.0,Feuil1
القصرين,2660.0,1230.0,,1940.0,32480,,3350.0,Feuil1
سيدي بوزيد,4950.0,5870.0,,19520.0,25920,340.0,11130.0,Feuil1
قفصة,40.0,950.0,,3860.0,11570,70.0,300.0,Feuil1
قابس,60.0,870.0,60.0,2250.0,4860,,1010.0,Feuil1
مدنين,320.0,300.0,,1630.0,2260,,390.0,Feuil1
توزر,,10.0,,,1310,,,Feuil1
قبلي,,4980.0,,1110.0,26120,,6090.0,Feuil1
تطاوين,30.0,40.0,,310.0,4150,,140.0,Feuil1
