الولاية_gouvernorat,الحبوب_cereale,الاعلاف_fourrage,البقوليات_legumineuse,الخضروات_maraichage,اشجار_arboriculture,زراعات_صناعية_cultures_industrielles,الزراعات_المتداخلة_cultures_intercalaires,feuille
تونس,,,,10.0,10,,,Feuil1
أريانة,200.0,990.0,70.0,680.0,880,170.0,,Feuil1
منوبة,,190.0,,930.0,5690,40.0,300.0,Feuil1
بن عروس,270.0,20.0,,,4710,,10.0,Feuil1
نابل,300.0,1100.0,,9530.0,18240,1770.0,1000.0,Feuil1
بنزرت,,1700.0,410.0,5000.0,2770,550.0,,Feuil1
باجة,1610.0,1270.0,10.0,3180.0,3940,160.0,20.0,Feuil1
جندوبة,17790.0,4490.0,2120.0,6830.0,1720,1100.0,170.0,Feuil1
الكاف,450.0,190.0,,240.0,680,,,Feuil1
سليانة,700.0,170.0,,120.0,950,,,Feuil1
زغوان,40.0,30.0,40.0,970.0,1700,,400.0,Feuil1
سوسة,400.0,1100.0,,1050.0,3040,,1760.0,Feuil1
المنستير,,,,2030.0,610,,,Feuil1
المهدية,,300.0,,990.0,460,,190.0,Feuil1
صفاقس,10.0,410.0,,420.0,1550,,600.0,Feuil1
القيروان,2650.0,1590.0,,3290.0,10340,,2460.0,Feuil1
القصرين,840.0,660.0,,740.0,9260,,820.0,Feuil1
سيدي بوزيد,550.0,700.0,,2040.0,4740,,2180.0,Feuil1
قفصة,,330.0,,90.0,6900,,300.0,Feuil1
قابس,,4900.0,,4980.0,11310,270.0,1240.0,Feuil1
مدنين,,10.0,,80.0,530,,80.0,Feuil1
توزر,,250.0,,930.0,8020,,1180.0,Feuil1
قبلي,,2470.0,,640.0,10520,,,Feuil1
تطاوين,70.0,80.0,,200.0,3930,,140.0,Feuil1
