nom_smbsa_ar,adresse_ar,tel_fax,services_ar,تاريخها,اخر_جلسة_عامة,وضعية_الشركة,feuille
الأمل بمساكن,شارع سيدي عبار طريق كروسية 4070 مساكن,الهاتف : 73258578 الفاكس : 73258578,التزويد بالسداري و الشعير العلفي.,2013-01-20 00:00:00,2019-11-14 00:00:00,عادية,Feuil1
التوفيق بمساكن,نهج المحطة 4070 مساكن,الهاتف : 97554388,التزويد بالسداري والشعير العلفي,2013-01-25 00:00:00,2022-09-20 00:00:00,عادية,Feuil1
البركة بالقلعة الصغرى,نهج الأرتال 4021 القلعة الصغرى,الهاتف : 21732842,التزويد بالسداري و الشعير العلفي.,2012-11-25 00:00:00,2022-11-30 00:00:00,عادية,Feuil1
الآفاق بسيدي الهاني,سيدي الهاني المركزية 4025,الهاتف : 98297741 الفاكس : 73280175,التزويد بالسداري و الشعير العلفي.,2013-03-08 00:00:00,"لم تعقد أي 
جلسة عامة",تلاقي صعوبات,Feuil1
الأمل بكندار,شارع الجمهورية 4020 كندار,الهاتف : 97956514,التزويد بالسداري و الشعير العلفي.,2013-04-03 00:00:00,2023-04-04 00:00:00,عادية,Feuil1
الزيتونة بقريميط النفيضة,أولاد تليل قريميط 4030 النفيضة,الهاتف : 97886342,التزويد بالسداري و الشعير العلفي / بيع المحروقات.,2013-05-07 00:00:00,2019-09-11 00:00:00,عادية,Feuil1
النعيم ببوفيشة,عدد 28 شارع ابن خلدون 4010 بوفيشة,الهاتف : 98350020,التزويد بالسداري و الشعير العلفي.,2013-04-05 00:00:00,2021-10-26 00:00:00,عادية,Feuil1
التطور بالنفيضة,نهج الجامع 4030 النفيضة,الهاتف : 24032958,غير ناشطة,2013-01-18 00:00:00,,غير ناشطة,Feuil1
الإزدهار بكندار,نهج 20 مارس 4020 كندار,الهاتف : 98536023,غير ناشطة,2013-01-12 00:00:00,,غير ناشطة,Feuil1
الاتحاد,كروسية المركزية 4025 سيدي الهاني,98297947 : الهاتف,التزويد بالسداري و الشعير العلفي و الأعلاف.,2014-02-26 00:00:00,2018-10-24 00:00:00,عادية,Feuil1
العمل الفلاحي,شارع الهادي شاكر 4010 بوفيشة,27714543 : الهاتف,التزويد بالسداري و الشعير العلفي و الأعلاف.,2014-08-23 00:00:00,2017-12-13 00:00:00,توقفت عن النشاط,Feuil1
البركة بالغواليف,الغواليف هيشر 4030 النفيضة,99092013 : الهاتف,التزويد بالسداري و الشعير العلفي و الأعلاف.,2016-09-08 00:00:00,,توقفت عن النشاط,Feuil1
السعادة بسيدي سعيدان,سيدي سعيدان 4030 النفيضة,94967701 : الهاتف,التزويد بالأعلاف,06/12/82017,,غير ناشطة,Feuil1
الوفاق للدواجن بمساكن,عمارة بوهلال الطابق 5 شارعى الجمهورية 4070 مساكن,73262750 : الهاتف,خدمات في قطاع الدواجن:  التزويد بالفراخ، الأعلاف و معدات تربية الدواجن و الإرشاد الفلاحي.,2018-03-08 00:00:00,2023-04-27 00:00:00,عادية,Feuil1
المرجان بهرقلة,العريبات 4012 هرقلة,95035205 : الهاتف,التزويد بالسداري و الشعير العلفي.,2018-11-21 00:00:00,,عادية,Feuil1
الجوهرة,عكارة 4020 كندار,الهاتف 50357813,التزويد بالسداري و الشعير العلفي و الأعلاف.,2019-07-09 00:00:00,2023-08-22 00:00:00,عادية,Feuil1
النور,عدد 01 نهج الجزائر 4000 سوسة,الهاتف 211600697,ترويج منتجات المرأة الريفية,2018-09-28 00:00:00,,غير ناشطة,Feuil1
الخوالدية,الشقارنية 4030  النفيضة,الهاتف99272600,التزويد بالسداري و الشعير العلفي ونقطة تجميع الحبوب,2020-09-10 00:00:00,2022-03-31 00:00:00,عادية,Feuil1
الأمل بالغواليف,النفيضة,21069609,غير ناشطة,2021-04-06 00:00:00,,غير ناشطة,Feuil1
بهاء الدين,كندار,97457942,التزويد بالسداري والشعير العلفي والأعلاف,2021-05-26 00:00:00,,حديثة,Feuil1
العيايشة,النفيضة,50513066,التزويد بالسداري و الشعير العلفي ونقطة تجميع الحبوب,2021-07-09 00:00:00,,حديثة,Feuil1
الصفحة,بوفيشة,58482992,التزويد بالسداري و الشعير العلفي ونقطة تجميع الحبوب,2021-04-08 00:00:00,,حديثة,Feuil1
الأنعام,كندار,,التزويد بالسداري و الشعير العلفي ونقطة تجميع الحبوب,2021-04-10 00:00:00,,حديثة,Feuil1
الضباء,بوفيشة,53757410,غير ناشطة,2021-12-01 00:00:00,,حديثة,Feuil1
تقي الدين,سيدي مطير بوفيشة,98669205,غير ناشطة,2023-06-26 00:00:00,,حديثة,Feuil1
شموخ أهل جميع,أهل جميع /القلعة الكبرى,21071217,غير ناشطة,2023-07-24 00:00:00,,حديثة,Feuil1
