crda,cellule_territoriale_de_vulgarisation,coordonnees_tel,feuille
Tunis,الحرايريّة,71597987.0,Feuil1
Ben_arous,مرناق,71360660.0,Feuil1
Ben_arous,المحمديّة,71394261.0,Feuil1
Ben_arous,بن عروس (مقرين),71432199.0,Feuil1
Ariana,قلعة الأندلس,71558218.0,Feuil1
Ariana,سيدي ثابت,71552329.0,Feuil1
Ariana,المنيهلة رواد سكرة (برج الطويل),71769937.0,Feuil1
Manouba,منّوبة,71624412.0,Feuil1
Manouba,الجديّدة,71539452.0,Feuil1
Manouba,طبربة,71530159.0,Feuil1
Manouba,البطان,,Feuil1
Manouba,المرناقيّة,71541260.0,Feuil1
Manouba,برج العامري,71542135.0,Feuil1
Nabeul,نابل,72285337.0,Feuil1
Nabeul,بوعرقوب,72259643.0,Feuil1
Nabeul,الحمّامات (الغابات),72280418.0,Feuil1
Nabeul,قرنبالية,72255434.0,Feuil1
Nabeul,منزل بوزلفة,72292334.0,Feuil1
Nabeul,سليمان,72290233.0,Feuil1
Nabeul,قربة,72384426.0,Feuil1
Nabeul,منزل تميم,72344022.0,Feuil1
Nabeul,الهوّاريّة,72297056.0,Feuil1
Nabeul,حمّام الغزاز,72330696.0,Feuil1
Nabeul,قليبية,72296363.0,Feuil1
Nabeul,الميدة,,Feuil1
Nabeul,بني خلاّد,72371085.0,Feuil1
Nabeul,تاكلسة,72396160.0,Feuil1
Bizerte,بنزرت,72431454.0,Feuil1
Bizerte,منزل جميل - العالية,72442225.0,Feuil1
Bizerte,رأس الجبل,72447984.0,Feuil1
Bizerte,أوتيك,72445214.0,Feuil1
Bizerte,منزل بورقيبة,72470535.0,Feuil1
Bizerte,ماطر,72468490.0,Feuil1
Bizerte,غزالة,72487450.0,Feuil1
Bizerte,جومين (الغابات),72467711.0,Feuil1
Bizerte,سجنان,72469130.0,Feuil1
Bizerte,غار الملح,72448048.0,Feuil1
Beja,باجة,78451631.0,Feuil1
Beja,عمدون,78469048.0,Feuil1
Beja,نفزة,78471092.0,Feuil1
Beja,مجاز الباب,78460364.0,Feuil1
Beja,تستور,78570013.0,Feuil1
Beja,تبرسق,78465163.0,Feuil1
Beja,تيبار,78475423.0,Feuil1
Beja,باجة الجنوبية,78451611.0,Feuil1
Beja,'قبلاّط,78585051.0,Feuil1
Jendouba,جندوبة,78600121.0,Feuil1
Jendouba,سوق السبت,78619095.0,Feuil1
Jendouba,بوسالم,78639519.0,Feuil1
Jendouba,بئر لخضر,78639095.0,Feuil1
Jendouba,البراهمي,78634738.0,Feuil1
Jendouba,غار الدماء,78619428.0,Feuil1
Jendouba,وادي مليز,78690223.0,Feuil1
Jendouba,فرنانة,78641030.0,Feuil1
Jendouba,عين دراهم,78655009.0,Feuil1
Jendouba,طبرقة,78673724.0,Feuil1
Le-kef,الكاف,78221156.0,Feuil1
Le-kef,نبّر,78246125.0,Feuil1
Le-kef,الساقية,78258004.0,Feuil1
Le-kef,السّرس,78262026.0,Feuil1
Le-kef,الدهماني,78280036.0,Feuil1
Le-kef,القصور,78295378.0,Feuil1
Le-kef,تاجروين,78277169.0,Feuil1
Le-kef,الجريصة,78253210.0,Feuil1
Le-kef,القلعة الخصبة,78243275.0,Feuil1
Le-kef,قلعة السنان,78296341.0,Feuil1
Siliana,سليانة,78872745.0,Feuil1
Siliana,برقو,78896035.0,Feuil1
Siliana,مكثر - كسرى,78826324.0,Feuil1
Siliana,الرّوحيّة,78893032.0,Feuil1
Siliana,بوعرادة,78805222.0,Feuil1
Siliana,قعفور,78817235.0,Feuil1
Siliana,الكريب - بورويس,78891061.0,Feuil1
Siliana,بورويس,78898358.0,Feuil1
Siliana,لعروسة,78890850.0,Feuil1
Zaghouan,زغوان,72675911.0,Feuil1
Zaghouan,بئر مشارقة,72679210.0,Feuil1
Zaghouan,الفحص,72670023.0,Feuil1
Zaghouan,الناظور,72678538.0,Feuil1
Zaghouan,الزريبة,72677920.0,Feuil1
Zaghouan,صوّاف,72659630.0,Feuil1
Sousse,بوفيشة,73252014.0,Feuil1
Sousse,النفيضة,73250122.0,Feuil1
Sousse,الكندار,73389511.0,Feuil1
Sousse,سيدي بوعلي,73247140.0,Feuil1
Sousse,القلعة الكبيرة,73253070.0,Feuil1
Sousse,أكودة,73356090.0,Feuil1
Sousse,مساكن,73259064.0,Feuil1
Sousse,الرياض قلعة - القلعة الصغيرة,73247213.0,Feuil1
Sousse,سيدي الهاني,73280022.0,Feuil1
Monastir,المنستير,73530591.0,Feuil1
Monastir,الساحلين,73525944.0,Feuil1
Monastir,الوردانين,73519020.0,Feuil1
Monastir,بنبلة,73478195.0,Feuil1
Monastir,جمّال,73486035.0,Feuil1
Monastir,زرمدين,73498529.0,Feuil1
Monastir,بني حسّان,73490514.0,Feuil1
Monastir,قصر هلال,73473553.0,Feuil1
Monastir,المكنين,73475033.0,Feuil1
Monastir,طبلبة,73479071.0,Feuil1
Monastir,البقالطة,73477022.0,Feuil1
Mahdia,المهديّة,73680988.0,Feuil1
Mahdia,قصور السّاف,73665220.0,Feuil1
Mahdia,الشابّة,73649655.0,Feuil1
Mahdia,سيدي علوان,73689140.0,Feuil1
Mahdia,الجم,73630065.0,Feuil1
Mahdia,بومرداس,73699124.0,Feuil1
Mahdia,السواسي,73610031.0,Feuil1
Mahdia,شربان,73600096.0,Feuil1
Mahdia,أولاد الشّامخ,73619041.0,Feuil1
