annee,delegation,production_oignon_tonne,superficie_oignon_ha,production_concombre_tonne,superficie_concombre_tonne,production_courgette_tonne,superficie_courgette_ha,production_pasteque_tonne,superficie_pasteque_ha,production_melon_tonne,superficie_melon_ha,production_piment_tonne,superficie_piment_ha,production_tomate_tonne,superficie_tomate_ha,production_tomate_saison_tonne,superficie_tomate_saison_ha,production_pomme_de_terre_saison_tonne,superficie_pomme_de_terre_saison_ha,production_divers_tonne,superficie_divers_ha,feuille
2022,فوسانة,875,35,75,5,750.0,30.0,3000,100,1250,50,3000,150,18000,400,2750,50,4830,230,160,40,الخضراوات الصيفية
2022,سبيطلة,3000,120,150,10,6250.0,250.0,7500,250,500,20,5000,250,8600,200,34800,600,10580,460,160,40,الخضراوات الصيفية
2022,سبيبة,750,30,45,3,125.0,5.0,600,20,75,3,400,20,21000,500,1500,30,2000,100,100,25,الخضراوات الصيفية
2022,القصرين ج,375,15,75,5,375.0,15.0,300,10,125,5,200,10,1850,50,220,5,0,0,80,20,الخضراوات الصيفية
2022,حيدرة,125,5,30,2,50.0,2.0,60,2,25,1,40,2,64,2,0,0,0,0,8,2,الخضراوات الصيفية
2022,فريانة,250,10,15,1,100.0,4.0,90,3,25,1,100,5,1480,40,230,5,0,0,60,15,الخضراوات الصيفية
2022,الماجل,500,20,45,3,1000.0,40.0,150,5,50,2,200,10,350,10,400,10,190,10,60,15,الخضراوات الصيفية
2022,تالة,375,15,30,2,50.0,2.0,150,5,25,1,60,3,340,10,0,0,0,0,80,20,الخضراوات الصيفية
2022,القصرين ش,125,5,30,2,125.0,5.0,90,3,50,2,60,3,170,5,0,0,0,0,40,10,الخضراوات الصيفية
2022,العيون,125,5,30,2,125.0,5.0,1050,35,50,2,40,2,1050,30,0,0,0,0,20,5,الخضراوات الصيفية
2022,جدليان,125,5,30,2,25.0,1.0,60,2,25,1,40,2,96,3,0,0,0,0,12,3,الخضراوات الصيفية
2022,حاسي الفريد,125,5,45,3,25.0,1.0,150,5,50,2,60,3,1600,50,0,0,0,0,20,5,الخضراوات الصيفية
2023,فوسانة,35,875,5,75,,,100,3000,50,1250,150,3000,400,18000,50,2750,230,4830,40,160,الخضراوات الصيفية
2023,سبيطلة,120,3000,10,150,,,250,7500,20,500,250,5000,200,8600,600,34800,460,10580,40,160,الخضراوات الصيفية
2023,سبيبة,30,750,3,45,,,20,600,3,75,20,400,500,21000,30,1500,100,2000,25,100,الخضراوات الصيفية
2023,القصرين ج,15,375,5,75,,,10,300,5,125,10,200,50,1850,5,220,0,0,20,80,الخضراوات الصيفية
2023,حيدرة,5,125,2,30,,,2,60,1,25,2,40,2,64,0,0,0,0,2,8,الخضراوات الصيفية
2023,فريانة,10,250,1,15,,,3,90,1,25,5,100,40,1480,5,230,0,0,15,60,الخضراوات الصيفية
2023,الماجل,20,500,3,45,,,5,150,2,50,10,200,10,350,10,400,10,190,15,60,الخضراوات الصيفية
2023,تالة,15,375,2,30,,,5,150,1,25,3,60,10,340,0,0,0,0,20,80,الخضراوات الصيفية
2023,القصرين ش,5,125,2,30,,,3,90,2,50,3,60,5,170,0,0,0,0,10,40,الخضراوات الصيفية
2023,العيون,5,125,2,30,,,35,1050,2,50,2,40,30,1050,0,0,0,0,5,20,الخضراوات الصيفية
2023,جدليان,5,125,2,30,,,2,60,1,25,2,40,3,96,0,0,0,0,3,12,الخضراوات الصيفية
2023,حاسي الفريد,5,125,3,45,,,5,150,2,50,3,60,50,1600,0,0,0,0,5,20,الخضراوات الصيفية
