campagne,activite,production_q,productivite_q_ha,superficie_ha,feuille
2021-2022,قمح صلب,514270,14,36080.0,Feuil1
2021-2022,قمح لين,85130,12,6820.0,Feuil1
2021-2022,شعير,653450,10,62300.0,Feuil1
2021-2022,تريتيكال,9020,11,800.0,Feuil1
2021-2022,المجموع,1261870,47,,Feuil1
