annee,gouvernorat,subventions,autofinancement,credit_bancaire,total_investissement,nombre_des_beneficiaires,feuille
2022,Tunis,0.0,0.0,0.0,0.0,0,Feuil1
2022,Manouba,256.404,447.175,0.0,703.579,54,Feuil1
2022,Ariana,131.144,277.731,0.0,408.875,25,Feuil1
2022,Ben Arous,67.319,110.36,28.923,206.602,35,Feuil1
2022,Nabeul,735.007,980.993,93.644,1809.644,200,Feuil1
2022,Bizerte,261.433,502.705,0.0,764.138,119,Feuil1
2022,Béja,109.167,176.174,11.52,296.861,44,Feuil1
2022,Jendouba,367.207,521.244,0.0,888.451,78,Feuil1
2022,Kef,347.272,555.729,103.882,1006.883,100,Feuil1
2022,Siliana,676.122,1216.571,0.0,1892.693,193,Feuil1
2022,Zagouhan,428.979,642.216,31.86,1103.055,120,Feuil1
2022,Sousse,228.064,424.804,0.0,652.868,63,Feuil1
2022,Monastir,282.561,492.435,70.711,845.707,117,Feuil1
2022,Mahdia,1206.966,1519.647,0.0,2726.613,712,Feuil1
2022,Sfax,440.933,676.619,0.0,1117.552,124,Feuil1
2022,Kairouan,205.112,387.982,0.0,593.094,45,Feuil1
2022,Kasserine,2924.944,5136.237,0.0,8061.181,825,Feuil1
2022,Sidi Bouzid,688.8219,869.738,40.716,1599.283,216,Feuil1
2022,Gabès,2072.765,3133.423,0.0,5206.188,631,Feuil1
2022,Medenine,2794.592,3393.409,4.71,6192.711,1066,Feuil1
2022,Tataouine,3927.118,5994.656,70.8,9992.574,1325,Feuil1
2022,Gafsa,807.047,1132.971,151.414,2091.432,256,Feuil1
2022,Tozeur,1410.386,1806.259,0.0,3216.645,340,Feuil1
2022,Kebili,751.808,959.959,0.0,1711.767,279,Feuil1
2023,Tunis,0.0,0.0,0.0,0.0,0,Feuil1
2023,Manouba,138.019,217.161,0.0,355.18,34,Feuil1
2023,Ariana,97.116,206.528,0.0,303.644,25,Feuil1
2023,Ben Arous,102.109,100.24,64.066,266.415,41,Feuil1
2023,Nabeul,284.877,411.714,0.0,696.591,62,Feuil1
2023,Bizerte,301.241,564.946,0.0,866.187,104,Feuil1
2023,Béja,152.294,246.128,0.0,398.422,43,Feuil1
2023,Jendouba,291.296,488.101,0.0,779.397,70,Feuil1
2023,Kef,168.226,205.514,117.835,491.575,57,Feuil1
2023,Siliana,452.055,980.158,0.0,1432.213,72,Feuil1
2023,Zagouhan,318.051,538.414,0.0,856.465,104,Feuil1
2023,Sousse,247.614,430.992,55.987,734.593,58,Feuil1
2023,Monastir,311.943,547.689,47.593,907.225,92,Feuil1
2023,Mahdia,561.256,635.705,0.0,1196.961,332,Feuil1
2023,Sfax,712.381,986.962,0.0,1699.343,166,Feuil1
2023,Kairouan,119.486,179.546,0.0,299.032,28,Feuil1
2023,Kasserine,1121.09,2111.091,0.0,3232.181,244,Feuil1
2023,Sidi Bouzid,702.176,908.672,64.224,1675.072,215,Feuil1
2023,Gabès,1503.86,2079.932,0.0,3583.792,372,Feuil1
2023,Medenine,1635.933,1920.335,4.5,3560.768,729,Feuil1
2023,Tataouine,2482.482,4172.367,21.0,6675.849,862,Feuil1
2023,Gafsa,642.944,1070.471,0.0,1713.415,186,Feuil1
2023,Tozeur,937.536,1215.065,0.0,2152.601,298,Feuil1
2023,Kebili,349.527,466.486,0.0,816.013,196,Feuil1
2024,Tunis,0.0,0.0,0.0,0.0,0,Feuil1
2024,Manouba,115.471,224.649,0.0,340.12,33,Feuil1
2024,Ariana,105.743,196.656,1.119,303.518,45,Feuil1
2024,Ben Arous,44.543,67.257,18.63,130.43,18,Feuil1
2024,Nabeul,424.749,525.094,96.845,1046.688,96,Feuil1
2024,Bizerte,308.482,516.02,0.0,824.502,107,Feuil1
2024,Béja,174.361,223.435,0.0,397.796,48,Feuil1
2024,Jendouba,400.349,783.101,0.0,1183.45,120,Feuil1
2024,Kef,234.151,243.072,200.399,677.622,80,Feuil1
2024,Siliana,787.749,1575.058,0.0,2362.807,160,Feuil1
2024,Zagouhan,266.174,457.176,19.001,742.351,71,Feuil1
2024,Sousse,214.201,433.008,0.0,647.209,51,Feuil1
2024,Monastir,219.095,379.98,52.17,651.245,67,Feuil1
2024,Mahdia,277.183,327.655,0.0,604.838,144,Feuil1
2024,Sfax,841.252,1063.698,0.0,1904.95,201,Feuil1
2024,Kairouan,119.004,152.835,0.0,271.839,23,Feuil1
2024,Kasserine,2108.604,3572.884,0.0,5681.488,462,Feuil1
2024,Sidi Bouzid,591.837,640.81,20.88,1253.527,157,Feuil1
2024,Gabès,1153.932,1196.95,20.49,2371.372,312,Feuil1
2024,Medenine,1223.295,1472.453,0.0,2695.748,511,Feuil1
2024,Tataouine,2032.522,3033.577,0.0,5066.099,758,Feuil1
2024,Gafsa,922.445,1361.987,2.4,2286.832,214,Feuil1
2024,Tozeur,655.908,764.41,0.0,1420.318,176,Feuil1
2024,Kebili,500.781,588.278,0.0,1089.059,162,Feuil1
2025,Tunis,45.058,89.465,9.42,143.943,15,Feuil1
2025,Manouba,342.715,524.292,37.23,904.237,58,Feuil1
2025,Ariana,58.765,109.026,0.0,167.791,19,Feuil1
2025,Ben Arous,53.388,71.508,23.668,148.564,20,Feuil1
2025,Nabeul,253.632,358.928,75.727,688.287,67,Feuil1
2025,Bizerte,295.056,530.164,0.0,825.22,119,Feuil1
2025,Béja,91.822,133.204,0.0,225.026,34,Feuil1
2025,Jendouba,378.617,663.015,0.0,1041.632,95,Feuil1
2025,Kef,344.553,305.583,395.945,1046.081,81,Feuil1
2025,Siliana,895.708,1630.391,0.0,2526.099,200,Feuil1
2025,Zagouhan,526.747,1008.021,10.518,1545.286,153,Feuil1
2025,Sousse,220.944,355.881,0.0,576.825,73,Feuil1
2025,Monastir,362.356,517.565,0.0,879.921,109,Feuil1
2025,Mahdia,355.566,425.189,0.0,780.755,192,Feuil1
2025,Sfax,335.708,518.38,0.0,854.088,101,Feuil1
2025,Kairouan,171.051,217.503,0.0,388.554,36,Feuil1
2025,Kasserine,1691.224,3105.408,17.955,4814.587,311,Feuil1
2025,Sidi Bouzid,570.946,462.855,497.193,1530.994,130,Feuil1
2025,Gabès,773.899,902.372,5.25,1681.521,201,Feuil1
2025,Medenine,1660.486,2100.468,28.96,3789.914,646,Feuil1
2025,Tataouine,1376.91,1668.088,0.0,3044.998,476,Feuil1
2025,Gafsa,991.178,1565.308,8.6,2565.086,216,Feuil1
2025,Tozeur,472.882,745.206,0.0,1218.088,113,Feuil1
2025,Kebili,515.456,805.051,0.0,1320.507,186,Feuil1
