inv_declare,nbr_adi,nbr_emploi_pervu,mois,gouvernorat,feuille
2399584,28,13,1,الكاف,SQL Results
1675034,22,26,1,قابس,SQL Results
18953910,14,151,1,سوسة,SQL Results
706976,5,9,1,أريانة,SQL Results
2278162,18,32,1,منــوبة,SQL Results
498413,5,7,1,تــونس,SQL Results
10643292,76,64,1,صفاقس,SQL Results
12608388,82,106,1,القصرين,SQL Results
5327204,66,65,1,مدنين,SQL Results
7156900,25,181,1,المنستير,SQL Results
2948065,25,7,1,زغوان,SQL Results
19799657,71,295,1,نابل,SQL Results
6530926,17,58,1,بن عروس,SQL Results
3952400,33,35,1,تطاوين,SQL Results
7828093,62,152,1,سليانة,SQL Results
608423,13,0,1,جندوبة,SQL Results
9674558,37,552,1,بنزرت,SQL Results
5937987,48,72,1,قفصة,SQL Results
7529265,75,110,1,القيروان,SQL Results
9768200,57,89,1,المهدية,SQL Results
8077066,80,117,1,باجة,SQL Results
10647273,107,10,1,سيدي بوزيد,SQL Results
5026901,9,44,1,توزر,SQL Results
3160577,25,29,1,قبلي,SQL Results
3494996,49,39,2,الكاف,SQL Results
19830100,113,132,2,القيروان,SQL Results
7031760,12,50,2,سوسة,SQL Results
3397592,41,57,2,مدنين,SQL Results
4998191,39,76,2,بنزرت,SQL Results
19352176,77,99,2,صفاقس,SQL Results
7588705,23,82,2,زغوان,SQL Results
1380863,16,18,2,قبلي,SQL Results
5819597,68,73,2,القصرين,SQL Results
3938535,34,36,2,باجة,SQL Results
863426,11,20,2,تــونس,SQL Results
1486469,10,13,2,توزر,SQL Results
1090825,18,0,2,جندوبة,SQL Results
689500,4,2,2,أريانة,SQL Results
3841848,37,52,2,قفصة,SQL Results
2749842,15,22,2,بن عروس,SQL Results
1994256,30,33,2,تطاوين,SQL Results
5161800,25,57,2,المنستير,SQL Results
8231835,21,49,2,منــوبة,SQL Results
4009337,37,31,2,سليانة,SQL Results
4372500,42,28,2,المهدية,SQL Results
4441815,45,46,2,قابس,SQL Results
8290856,89,17,2,سيدي بوزيد,SQL Results
4941857,35,298,2,نابل,SQL Results
2751525,10,15,3,توزر,SQL Results
15644564,72,127,3,القيروان,SQL Results
4401068,34,94,3,باجة,SQL Results
3832500,45,31,3,المهدية,SQL Results
2070405,16,2,3,منــوبة,SQL Results
4706003,38,49,3,قفصة,SQL Results
3163292,37,44,3,سليانة,SQL Results
3377500,14,47,3,بن عروس,SQL Results
2715596,29,16,3,الكاف,SQL Results
923131,10,20,3,تــونس,SQL Results
6701415,78,111,3,القصرين,SQL Results
11600390,111,58,3,سيدي بوزيد,SQL Results
7680362,31,31,3,بنزرت,SQL Results
3984568,13,12,3,المنستير,SQL Results
10598294,51,247,3,نابل,SQL Results
1351500,8,10,3,أريانة,SQL Results
21005830,32,85,3,زغوان,SQL Results
3363871,34,52,3,مدنين,SQL Results
6167188,47,39,3,قابس,SQL Results
1007157,17,0,3,جندوبة,SQL Results
7122962,16,37,3,سوسة,SQL Results
21151162,92,69,3,صفاقس,SQL Results
1515100,23,23,3,تطاوين,SQL Results
3199069,33,41,3,قبلي,SQL Results
13077933,49,79,4,نابل,SQL Results
1037950,4,2,4,أريانة,SQL Results
2998168,27,31,4,تطاوين,SQL Results
4947700,10,148,4,بن عروس,SQL Results
7663000,51,52,4,المهدية,SQL Results
5552637,35,118,4,سليانة,SQL Results
6252847,54,42,4,قابس,SQL Results
1121433,9,11,4,تــونس,SQL Results
1020351,20,455,4,جندوبة,SQL Results
4060569,29,28,4,بنزرت,SQL Results
3279394,30,42,4,قفصة,SQL Results
3873200,18,63,4,المنستير,SQL Results
5455875,35,20,4,الكاف,SQL Results
931936,13,11,4,قبلي,SQL Results
8558330,8,3232,4,توزر,SQL Results
12786741,85,64,4,صفاقس,SQL Results
1812579,24,30,4,مدنين,SQL Results
1900632,12,27,4,منــوبة,SQL Results
4560030,23,7,4,زغوان,SQL Results
10658000,50,68,4,القيروان,SQL Results
9611308,92,107,4,سيدي بوزيد,SQL Results
11574091,68,121,4,القصرين,SQL Results
2824665,14,21,4,باجة,SQL Results
3087434,11,16,4,سوسة,SQL Results
4324040,45,18,5,الكاف,SQL Results
12575835,67,54,5,صفاقس,SQL Results
4131989,32,25,5,سليانة,SQL Results
847253,8,19,5,تــونس,SQL Results
10695978,32,511,5,قابس,SQL Results
3600822,15,60,5,منــوبة,SQL Results
4666745,13,191,5,زغوان,SQL Results
4214379,27,39,5,مدنين,SQL Results
5841794,43,48,5,القصرين,SQL Results
5947164,33,139,5,نابل,SQL Results
17496718,27,131,5,باجة,SQL Results
22131562,13,37,5,سوسة,SQL Results
1187000,4,4,5,أريانة,SQL Results
1013502,23,0,5,جندوبة,SQL Results
3061557,13,93,5,بن عروس,SQL Results
4614500,34,32,5,المهدية,SQL Results
4161438,29,43,5,بنزرت,SQL Results
2230065,13,16,5,قبلي,SQL Results
10419019,86,110,5,سيدي بوزيد,SQL Results
4786000,32,60,5,القيروان,SQL Results
6020300,18,57,5,تطاوين,SQL Results
4524000,17,33,5,المنستير,SQL Results
1172370,10,9,5,توزر,SQL Results
