annee,delegation,terres_labourables,parcours_forets,terres_non_labourables_ha,feuille
2014,Manouba,660.0,0.0,395.0,Feuil2
2014,Douar hicher,630.0,530.0,785.0,Feuil2
2014,Oued Ellil,5490.0,400.0,765.0,Feuil2
2014,Mornagia,20440.0,960.0,2950.0,Feuil2
2014,Borj Elamri,12930.0,710.0,1970.0,Feuil2
2014,Jedaida,16660.0,520.0,590.0,Feuil2
2014,Tebourba,19640.0,7100.0,3935.0,Feuil2
2014,El Batane,12120.0,2530.0,990.0,Feuil2
2015,Manouba,660.0,0.0,395.0,Feuil2
2015,Douar hicher,630.0,530.0,785.0,Feuil2
2015,Oued Ellil,5490.0,400.0,765.0,Feuil2
2015,Mornagia,20440.0,960.0,2950.0,Feuil2
2015,Borj Elamri,12930.0,710.0,1970.0,Feuil2
2015,Jedaida,16660.0,520.0,590.0,Feuil2
2015,Tebourba,19640.0,7100.0,3935.0,Feuil2
2015,El Batane,12120.0,2530.0,990.0,Feuil2
2016,Manouba,660.0,0.0,395.0,Feuil2
2016,Douar hicher,630.0,530.0,785.0,Feuil2
2016,Oued Ellil,5490.0,400.0,765.0,Feuil2
2016,Mornagia,20440.0,960.0,2950.0,Feuil2
2016,Borj Elamri,12930.0,710.0,1970.0,Feuil2
2016,Jedaida,16660.0,520.0,590.0,Feuil2
2016,Tebourba,19640.0,7100.0,3935.0,Feuil2
2016,El Batane,12120.0,2530.0,990.0,Feuil2
2017,Manouba,660.0,,395.0,Feuil2
2017,Douar hicher,630.0,530.0,785.0,Feuil2
2017,Oued Ellil,5490.0,400.0,765.0,Feuil2
2017,Mornagia,20440.0,960.0,2950.0,Feuil2
2017,Borj Elamri,12930.0,710.0,1970.0,Feuil2
2017,Jedaida,16660.0,520.0,590.0,Feuil2
2017,Tebourba,19640.0,7100.0,3935.0,Feuil2
2017,El Batane,12120.0,2530.0,990.0,Feuil2
2018,Manouba,660.0,,395.0,Feuil2
2018,Douar hicher,630.0,530.0,785.0,Feuil2
2018,Oued Ellil,5490.0,400.0,765.0,Feuil2
2018,Mornagia,20440.0,960.0,2950.0,Feuil2
2018,Borj Elamri,12930.0,710.0,1970.0,Feuil2
2018,Jedaida,16660.0,520.0,590.0,Feuil2
2018,Tebourba,19640.0,7100.0,3935.0,Feuil2
2018,El Batane,12120.0,2530.0,990.0,Feuil2
2019,Manouba,660.0,,395.0,Feuil2
2019,Douar hicher,630.0,530.0,785.0,Feuil2
2019,Oued Ellil,5490.0,400.0,765.0,Feuil2
2019,Mornagia,20440.0,960.0,2950.0,Feuil2
2019,Borj Elamri,12930.0,710.0,1970.0,Feuil2
2019,Jedaida,16660.0,520.0,590.0,Feuil2
2019,Tebourba,19640.0,7100.0,3935.0,Feuil2
2019,El Batane,12120.0,2530.0,990.0,Feuil2
2020,Manouba,660.0,,395.0,Feuil2
2020,Douar hicher,630.0,530.0,785.0,Feuil2
2020,Oued Ellil,5490.0,400.0,765.0,Feuil2
2020,Mornagia,20440.0,960.0,2950.0,Feuil2
2020,Borj Elamri,12930.0,710.0,1970.0,Feuil2
2020,Jedaida,16660.0,520.0,590.0,Feuil2
2020,Tebourba,19640.0,7100.0,3935.0,Feuil2
2020,El Batane,12120.0,2530.0,990.0,Feuil2
2021,Manouba,660.0,0.0,395.0,Feuil2
2021,Douar hicher,630.0,530.0,785.0,Feuil2
2021,Oued Ellil,5490.0,400.0,765.0,Feuil2
2021,Mornagia,20440.0,960.0,2950.0,Feuil2
2021,Borj Elamri,12930.0,710.0,1970.0,Feuil2
2021,Jedaida,16660.0,520.0,590.0,Feuil2
2021,Tebourba,19640.0,7100.0,3935.0,Feuil2
2021,El Batane,12120.0,2530.0,990.0,Feuil2
2022,Manouba,654.8955628316586,0.0,395.0,Feuil2
2022,Douar hicher,625.1275827029468,530.0,785.0,Feuil2
2022,Oued Ellil,5450.0,400.0,765.0,Feuil2
2022,Mornagia,20280.0,960.0,2950.0,Feuil2
2022,Borj Elamri,12829.999435474765,710.0,1970.0,Feuil2
2022,Jedaida,16530.0,520.0,590.0,Feuil2
2022,Tebourba,19490.0,7100.0,3935.0,Feuil2
2022,El Batane,12025.0,2530.0,990.0,Feuil2
2023,Manouba,655.0,0.0,415.0,Feuil2
2023,Douar hicher,625.1275827029468,530.0,820.0,Feuil2
2023,Oued Ellil,5450.0,400.0,800.2221324717286,Feuil2
2023,Mornagia,20340.0,960.0,3085.0,Feuil2
2023,Borj Elamri,12850.0,710.0,2060.0,Feuil2
2023,Jedaida,16530.0,520.0,620.0,Feuil2
2023,Tebourba,19500.0,7100.0,4115.0,Feuil2
2023,El Batane,12050.0,2530.0,1035.0,Feuil2
2024,MANOUBA,655.0,,415.0,Feuil2
2024,DOUAR HICHER,625.1275827029468,530.0,820.0,Feuil2
2024,OUED ELLIL,5450.0,400.0,800.2221324717286,Feuil2
2024,MORNAGUIA,20340.0,960.0,3085.0,Feuil2
2024,BORJ EL AMRI,12850.0,710.0,2060.0,Feuil2
2024,DJEDAIDA,16530.0,520.0,620.0,Feuil2
2024,TEBOURBA,19500.0,7100.0,4115.0,Feuil2
2024,EL BATTANE,12050.0,2530.0,1035.0,Feuil2
