annee,espece,production_mille_quintaux,feuille
2016,Blé dur,1919.0,Feuil1
2016,Blé tendre,377.87,Feuil1
2016,Orge,236.39,Feuil1
2016,Triticale,62.52,Feuil1
2016,Total,2595.7799999999997,Feuil1
2017,Blé dur,2282.72,Feuil1
2017,Blé tendre,362.67,Feuil1
2017,Orge,269.4,Feuil1
2017,Triticale,68.5,Feuil1
2017,Total,2983.29,Feuil1
2018,Blé dur,2680.735,Feuil1
2018,Blé tendre,318.49,Feuil1
2018,Orge,293.56,Feuil1
2018,Triticale,47.285,Feuil1
2018,Total,3340.07,Feuil1
2019,Blé dur,3210.0,Feuil1
2019,Blé tendre,320.0,Feuil1
2019,Orge,490.0,Feuil1
2019,Triticale,80.0,Feuil1
2019,Total,4100.0,Feuil1
2020,Blé dur,2375.0,Feuil1
2020,Blé tendre,130.0,Feuil1
2020,Orge,320.0,Feuil1
2020,Triticale,75.0,Feuil1
2020,Total,2900.0,Feuil1
2021,Blé dur,2900.0,Feuil1
2021,Blé tendre,200.0,Feuil1
2021,Orge,500.0,Feuil1
2021,Triticale,100.0,Feuil1
2021,Total,3700.0,Feuil1
2022,Blé dur,3000.0,Feuil1
2022,Blé tendre,180.0,Feuil1
2022,Orge,720.0,Feuil1
2022,Triticale,100.0,Feuil1
2022,Total,4000.0,Feuil1
2023,Blé dur,835.2,Feuil1
2023,Blé tendre,32.4,Feuil1
2023,Orge,203.84,Feuil1
2023,Triticale,28.56,Feuil1
2023,Total,1100.0,Feuil1
2024,Blé dur,2150.0,Feuil1
2024,Blé tendre,50.0,Feuil1
2024,Orge,350.0,Feuil1
2024,Triticale,50.0,Feuil1
2024,Total,2600.0,Feuil1
