n,annee_prog,gouvernorat,nom,delegation,secteur,xlamb,ylamb,xutm_corriges,yutm_corriges,s_b_v_ha,cap_m3,cap_m3_sed,cout_paye,avancement,objectifs,financemen,zone_2626,equip,lat,long,feuille
682,2012,SILIANA,El Bagra,Kesra,Kesra,452600.0,276700.0,534547.1399,3960285.0987,350.0,80000,,339200.0,100,Exploitation,FCGBV,Non,Non,35.78604106669085,9.382282711322116,feuille1
683,2012,SILIANA,"Aff,O,Bouajila",rouhia,Bou Ajila,434772.37,263523.91,516622.0407,3947152.0286,123.0,50000,,257300.0,100,Exploitation,FCGBV,Non,Non,35.66809624253705,9.183661224888521,feuille1
684,2013,SILIANA,"O, Ettorki",Bargou,Sidi Zid,,,557931.251,4000336.99265,175.0,110000,379700.0,,100,Exploitation,Pn,Non,,36.14602506180743,9.643954233450089,feuille1
685,2013,SILIANA,"O,Ettin",Laarousa,Ermil,,,545077.176372,4017125.09913,70.0,40000,76600.0,,100,Protection,Pn,Non,,36.298057278029596,9.502042327523046,feuille1
686,2014,SILIANA,"O,Lazreg",Kesra,El Hammam,,,,,434.0,183000,469000.0,,100,Exploitation,Pn,Non,,,,feuille1
687,2014,SILIANA,"O, Ladraa",Bourouis,Bourouis Sud,,,513106.977668,3999420.99365,808.0,125000,484150.0,,100,Exploitation,AFD,Non,,36.139409333808935,9.145683657232683,feuille1
688,2015,SILIANA,"O, Lguerfi",Kesra,El Fathoul,,,533407.095267,3952308.70702,113.0,157000,399000.0,,100,Exploitation,Pn,Non,,35.714164308399695,9.369335331549259,feuille1
689,2015,SILIANA,"O, Labyeth",Errouhia,El Hbabsa nord,,,522004.026204,3935440.60864,111.0,50000,280640.0,,100,Exploitation,AFD,Non,,35.56239552934346,9.242808410897124,feuille1
690,2015,SILIANA,"O, Araar",Laarousa,O El Araar,,,538174.964539,4027934.94619,148.0,77000,418000.0,,100,Exploitation,Pn,Non,,36.395807966265366,9.42570189968144,feuille1
691,2015,SILIANA,"O, Bouzouitina",Seliana Sud,El Kabel,,,530151.077369,3963602.77485,180.0,110000,373000.0,,100,Exploitation,AFD,Non,,35.81609833708083,9.333763804063278,feuille1
692,1987,SOUSSE,"O,Khirat So",Enfidha,Ain Garci,533950.0,320450.0,618917.6253,4005231.3238,50.0,15000,0.0,20000.0,100,Protection,Pn,Non,Non,36.184576322315465,10.322488998454128,feuille1
693,1990,SOUSSE,"O,Moussa So",Enfidha,Menzel Fate,536080.0,315750.0,617057.6123,4000136.2957,100.0,30000,16000.0,20000.0,100,Protection,Pn,Non,Non,36.138879672503535,10.30104936526143,feuille1
694,1990,SOUSSE,"O, Moussa S",Enfidha,Menzel Fate,533580.0,318250.0,614525.5991,4002618.3111,50.0,9000,0.0,20000.0,100,Protection,Pn,Non,Non,36.161553658177574,10.273274971457008,feuille1
695,1991,SOUSSE,"O,Brek So4",Enfidha,Takrouna,539000.0,317500.0,619864.6289,4001616.3028,125.0,88000,72000.0,90400.0,100,Exploitation,Pn,Non,Non,36.15187645297822,10.332466385723567,feuille1
696,1991,SOUSSE,"O,Moussa So",Enfidha,Ain Mdhaker,534120.0,318550.0,615066.6024,4002958.3128,170.0,64000,43000.0,115900.0,100,Protection,Pn,Non,Non,36.16455414040829,10.279338206231204,feuille1
697,1991,SOUSSE,"O, Khour So",Enfidha,Ain Mdhaker,535530.0,318710.0,616548.6109,4003057.3126,175.0,64000,42000.0,88300.0,100,Exploitation,Pn,Non,oui,36.165269292184064,10.295826457528383,feuille1
698,1992,SOUSSE,"O,Lakhel So",Enfidha,Ain Mdhaker,536000.0,325550.0,616901.6159,4009219.3476,100.0,43000,30000.0,77700.0,100,Exploitation,CEE,Non,Non,36.22076718134351,10.300668725652287,feuille1
699,1992,SOUSSE,"O, Seguia S",Enfidha,Ain Mdhaker,536600.0,325780.0,617552.6196,4009393.3483,185.0,80000,57000.0,154300.0,100,Exploitation,CEE,Non,Non,36.22225655240932,10.307936330967046,feuille1
700,1992,SOUSSE,"O, Djebilet",Enfidha,Ouled Abdal,538700.0,318800.0,619500.6276,4003082.3113,460.0,208000,150000.0,79000.0,100,Exploitation,CEE,Non,Oui,36.16513494121178,10.328643932258725,feuille1
701,1993,SOUSSE,"O,Thour So6",Enfidha,Ain Mdhaker,536850.0,323000.0,617970.6206,4006507.3316,113.0,56000,43000.0,115100.0,100,Exploitation,CEE,Non,Non,36.196193220788736,10.312151685992937,feuille1
702,1993,SOUSSE,"O,Zayet So1",Messaken,Ouled Ali,548650.0,263500.0,630087.6578,3947959.9981,625.0,180000,110000.0,143400.0,100,Exploitation,CEE,Non,Non,35.66694217872592,10.437303915647615,feuille1
703,1993,SOUSSE,"O, Hamdane",Sidi El Han,Ouled Aloua,545350.0,264850.0,626825.6408,3949393.0076,275.0,42000,11000.0,65200.0,100,Exploitation,CEE,Non,Non,35.68028370653336,10.401498355657829,feuille1
704,1994,SOUSSE,"O,Jaballah",Enfidha,Ain Mdhaker,533750.0,320200.0,614691.6009,4004245.3203,135.0,41000,27000.0,129700.0,100,Exploitation,Pn,Non,Non,36.176198986915594,10.27535775123805,feuille1
705,1994,SOUSSE,"O, Lahjar S",Bouficha,Sidi Said,544250.0,339150.0,625160.6705,4024102.4291,600.0,128000,65000.0,145100.0,100,Exploitation,CEE,Non,Non,36.35387198856693,10.394922604414273,feuille1
706,1994,SOUSSE,"O,Lahjar S",Bouficha,Sidi Said,545250.0,336400.0,625984.6743,4022085.417,290.0,171000,141000.0,153200.0,100,Exploitation,CEE,Non,oui,36.335585692782274,10.403777312073512,feuille1
707,1994,SOUSSE,"O,Brahmya S",Bouficha,Sidi Khalif,544380.0,328480.0,625033.664,4012837.3643,225.0,71000,47000.0,152800.0,100,Exploitation,CEE,Non,Non,36.25235854196652,10.39170208736649,feuille1
708,1994,SOUSSE,"O,Chaalil S",Messaken,Knaies,555000.0,250750.0,635900.6822,3935177.9253,175.0,38000,20000.0,103900.0,100,Recharge,CEE,Non,Non,35.55094817356394,10.499359576459979,feuille1
709,1995,SOUSSE,"O,Kouz So19",Kalaa Sghir,Oued Laya,544500.0,275250.0,625577.6396,3960052.0669,415.0,129000,88000.0,150300.0,100,Exploitation,CEE,Non,Non,35.77652097454514,10.389378647971057,feuille1
710,1995,SOUSSE,"O,Nagaya S",Enfidha,Ain Mdhaker,533600.0,320900.0,614242.5987,4005026.3249,307.0,89000,59000.0,142900.0,100,Protection,CEE,Non,Non,36.183291612246194,10.270479677516514,feuille1
711,1995,SOUSSE,"O,Gaddeh So",Sidi El Han,Kroussia,545000.0,269500.0,626470.6413,3953915.0326,470.0,95000,46000.0,119700.0,100,Exploitation,CEE,Non,Non,35.72108949413723,10.398288057013023,feuille1
712,1996,SOUSSE,"O,Douar Ben",Enfidha,Ain Mdhaker,537175.0,324175.0,618084.6221,4008245.3415,195.0,60000,41000.0,232200.0,100,Exploitation,CEE,Non,Non,36.211844451076566,10.313681174385374,feuille1
713,1996,SOUSSE,"O,Oum Aich",Enfidha,Ain Mdhaker,536805.0,321750.0,617910.6199,4005871.328,110.0,47000,35000.0,141200.0,100,Exploitation,CEE,Non,Non,36.19046805297759,10.311388868519938,feuille1
714,1997,SOUSSE,"O,Salah Bou",Kalaa Sghir,Oued Laya,543750.0,275750.0,625181.6375,3960036.067,415.0,147000,103000.0,195600.0,100,Exploitation,Pn,Non,Non,35.776427290129156,10.38499596567577,feuille1
715,1998,SOUSSE,"O, Mouhande",Bouficha,Ain Rahma,544750.0,324750.0,625895.667,4009039.342,200.0,52000,35000.0,191600.0,100,Recharge,Pn,Non,Non,36.218015397226736,10.400683304055336,feuille1
716,1998,SOUSSE,"O, Ibrahim So24",Enfidha,Menzel Fatah,534820.0,375200.0,615797.0,3999417.0,610.0,430000,245540.0,,100,Exploitation,Pn,Non,,36.13254769989779,10.28693546295351,feuille1
717,1999,SOUSSE,Dhraa Chrac,Sidi El Han,Ouled Khech,554350.0,269450.0,634265.6838,3953839.028,400.0,124000,93000.0,240100.0,100,Exploitation,Pn,Non,Non,35.719372282289065,10.484433983284426,feuille1
718,2006,SOUSSE,"O,Lahjaar",Bouficha,Sidi Said,547000.0,349000.0,628077.6877,4024791.4316,150.0,60000,54000.0,155686.0,100,Exploitation,Pn,Non,Non,36.35969778735739,10.427537341301765,feuille1
719,1989,ZAGHOUAN,"O,Nagr",Fahs,Amayem,493500.0,333500.0,574368.3761,4017512.412,250.0,105000,94000.0,100000.0,100,Recharge,Pn,Non,Oui,36.299733994305136,9.828282251935065,feuille1
720,1988,ZAGHOUAN,Ksar Ogla 5,Saouaf,Ksar ogla,513800.0,321000.0,596018.4942,4002278.3172,50.0,15000,0.0,15000.0,100,Protection,Pn,Non,Oui,36.160500015138716,10.067509970608201,feuille1
721,1989,ZAGHOUAN,"O,Enfidha2",Fahs,Dj Mansour,486750.0,331350.0,567365.3358,4016430.4078,60.0,10000,0.0,10000.0,100,Protection,Pn,Non,Oui,36.290494906012235,9.750198406500141,feuille1
722,1989,ZAGHOUAN,"O,Dminet",Fahs,Tlil Salhi,487000.0,333500.0,566388.3297,4014774.3986,150.0,23000,23000.0,50000.0,100,Protection,Pn,Non,Oui,36.27563413739525,9.739178234959878,feuille1
723,1989,ZAGHOUAN,"O,Khairat1",Saouaf,Saouaf,522750.0,325000.0,606046.5547,4010792.3616,60.0,12000,0.0,10000.0,100,Protection,Pn,Non,Oui,36.23619757138465,10.180130604300404,feuille1
724,1988,ZAGHOUAN,Ksar Ogla 1,Saouaf,Ksar ogla,514100.0,321700.0,595623.4933,4005833.3376,80.0,20000,0.0,20000.0,100,Protection,Pn,Non,Oui,36.19258446675425,10.063552174166126,feuille1
725,1988,ZAGHOUAN,Ksar Ogla 2,Saouaf,Ksar ogla,514200.0,321800.0,595151.4907,4006020.3388,50.0,15000,0.0,15000.0,100,Protection,Pn,Non,Oui,36.194316642801596,10.058325917749869,feuille1
726,1988,ZAGHOUAN,Ksar Ogla 4,Saouaf,Ksar ogla,516600.0,321600.0,601544.5263,4004267.3263,100.0,25000,0.0,20000.0,100,Protection,Pn,Non,Oui,36.177865381506294,10.12919379042066,feuille1
727,1989,ZAGHOUAN,"O,Khniga",Fahs,Tlil Salhi,475100.0,328500.0,555684.269,4016570.4116,100.0,25000,0.0,20000.0,100,Protection,Pn,Non,Oui,36.292502402458055,9.620132491125105,feuille1
728,1989,ZAGHOUAN,"O,Enfidha1",Fahs,Tlil Salhi,486200.0,330800.0,567365.3358,4016428.4078,100.0,25000,0.0,25000.0,100,Protection,Pn,Non,Oui,36.290476876550294,9.75019823389743,feuille1
729,1989,ZAGHOUAN,"O,Zangou",Fahs,Dj Mansour,485400.0,332500.0,566256.3294,4016264.4071,120.0,30000,0.0,30000.0,100,Protection,Pn,Non,Oui,36.28907529402199,9.7378350547537,feuille1
730,1989,ZAGHOUAN,"O,Labiadh",Fahs,Tlil Salhi,479400.0,327400.0,558175.2821,4011651.3828,150.0,40000,0.0,40000.0,100,Protection,Pn,Non,Oui,36.24801047115494,9.647506060035147,feuille1
731,1989,ZAGHOUAN,"O, Khairat2",Saouaf,Saouaf,521700.0,323650.0,606646.5541,4001735.3097,50.0,10000,0.0,10000.0,100,Protection,Pn,Non,Oui,36.154493870673704,10.185574809105393,feuille1
732,1989,ZAGHOUAN,"O,Khairat3",Saouaf,Saouaf,523900.0,324200.0,604815.5467,4008631.3498,40.0,10000,0.0,10000.0,100,Protection,Pn,Non,Oui,36.2168531273874,10.16614475029877,feuille1
733,1989,ZAGHOUAN,"O,Khairat4",Saouaf,Saouaf,514800.0,321900.0,595724.4941,4006336.3404,50.0,10000,0.0,10000.0,100,Protection,Pn,Non,Oui,36.19710859313302,10.064736751812056,feuille1
734,1988,ZAGHOUAN,Ksar Ogla 3,Saouaf,Ksar ogla,516400.0,321400.0,597403.5028,4004321.3283,60.0,17000,0.0,15000.0,100,Protection,Pn,Non,Oui,36.17877761082549,10.083159107808742,feuille1
735,1990,ZAGHOUAN,"O,Manjara",Fahs,Chnenfa,497000.0,328500.0,569478.3473,4014668.3971,120.0,30000,0.0,25000.0,100,Protection,Pn,Non,Oui,36.274460976792014,9.77357079412833,feuille1
736,1990,ZAGHOUAN,"O,Enfidha3",Fahs,Dj Mansour,487700.0,330700.0,564570.3193,4014644.3984,100.0,20000,0.0,25000.0,100,Protection,Pn,Non,Oui,36.274585603902906,9.718926927244825,feuille1
737,1990,ZAGHOUAN,"O,Skhouna",Nadhour,Ain zras,504850.0,320950.0,585636.4364,4005057.3369,100.0,30000,0.0,25000.0,100,Protection,Pn,Non,Oui,36.186524653216196,9.952403137821978,feuille1
738,1990,ZAGHOUAN,"O,Saadine",Nadhour,Ain zras,501350.0,320400.0,582023.4157,4004672.336,150.0,45000,25000.0,40000.0,100,Protection,Pn,Non,Oui,36.18336698640338,9.912185469749591,feuille1
739,1990,ZAGHOUAN,"O,Mthalith",Nadhour,Ain zras,501900.0,349000.0,584248.4385,4034140.505,250.0,100000,60000.0,80000.0,100,Protection,Pn,Non,Oui,36.44880946571321,9.940111558458094,feuille1
740,1991,ZAGHOUAN,"O, Ksour",Fahs,Ksour,500500.0,329100.0,587984.4533,4015155.3939,100.0,25000,0.0,20000.0,100,Protection,Pn,Non,Oui,36.27734071697012,9.979648061526955,feuille1
741,1991,ZAGHOUAN,"O, Chair",Fahs,Oued El Kha,507500.0,344200.0,588642.4611,4026151.457,350.0,160000,0.0,100000.0,100,Recharge,Pn,Non,Oui,36.37640017926682,9.98822447607404,feuille1
742,1991,ZAGHOUAN,"O,Saadine-r",Nadhour,Soughas,501900.0,320700.0,582838.4203,4004792.3364,290.0,90000,0.0,126300.0,100,Protection,CEE,Non,Oui,36.18437932693709,9.921260785570258,feuille1
743,1991,ZAGHOUAN,"O,Zit 1",Zaghouan,Oued Zit,537500.0,349000.0,616796.6267,4033183.486,150.0,50000,0.0,50000.0,100,Recharge,Pn,Non,Oui,36.43677143868089,10.303093085871588,feuille1
744,1991,ZAGHOUAN,Nathr Ezrou,Zaghouan,Bir Hlima,514000.0,342100.0,594926.4962,4023278.4381,230.0,70000,0.0,149700.0,100,Exploitation,Pn,Non,Oui,36.34990317254885,10.057920574916139,feuille1
745,1991,ZAGHOUAN,"O,Sbayhia3",Zaghouan,Sbayhia,531500.0,354400.0,611538.5955,4031503.4787,120.0,80000,0.0,50000.0,100,Protection,Pn,Non,Oui,36.42225511929158,10.244200623243641,feuille1
746,1991,ZAGHOUAN,"O, Chaabet",Zaghouan,Mograne,517500.0,345000.0,598551.5194,4029175.4708,200.0,120000,84000.0,102100.0,100,Exploitation,CEE,Non,Oui,36.40269287319735,10.099061186679467,feuille1
747,1991,ZAGHOUAN,"O,Zit 2",Zaghouan,Oued Zit,537500.0,349000.0,615829.6213,4033490.4882,120.0,40000,0.0,35000.0,100,Protection,Pn,Non,Oui,36.439655707920345,10.292352635509516,feuille1
748,1991,ZAGHOUAN,"O, Touil",Saouaf,Oued Touil,528000.0,323200.0,608302.566,4007178.3399,200.0,110000,0.0,110100.0,100,Protection,Pn,Oui,Oui,36.20337192459733,10.204731844476395,feuille1
749,1992,ZAGHOUAN,"O, Aliliga",Nadhour,Zrass,506400.0,314200.0,587339.4435,3998297.2979,125.0,40000,0.0,30000.0,100,Protection,Pn,Non,Oui,36.125434707938936,9.970589295081464,feuille1
750,1992,ZAGHOUAN,"O, Hadada",Nadhour,Souar,508800.0,320400.0,589346.4572,4004486.3323,130.0,70000,0.0,135700.0,100,Exploitation,CEE,Non,Oui,36.18104207990886,9.99359354788475,feuille1
751,1992,ZAGHOUAN,"O, Chdada",Nadhour,Soughas,503500.0,310200.0,584320.4251,3994163.2755,110.0,80000,0.0,110500.0,100,Protection,CEE,Oui,Oui,36.08843538206877,9.936600991249438,feuille1
752,1992,ZAGHOUAN,"O, Aythet y",Nadhour,Soughas,506450.0,314200.0,584823.4287,3996659.2895,425.0,120000,0.0,123000.0,100,Exploitation,CEE,Oui,Oui,36.11089208331328,9.942456186849359,feuille1
753,1992,ZAGHOUAN,"O, Melah 1",Bir Mcherga,Ain Askar,505800.0,362200.0,586381.4551,4045952.5732,160.0,120000,35000.0,132400.0,100,Exploitation,CEE,Non,Oui,36.555092510682755,9.965231282138852,feuille1
754,1992,ZAGHOUAN,"O,Sbayhia1",Zaghouan,Sbayhia,530900.0,354200.0,608196.5796,4039079.5243,160.0,84000,84000.0,159500.0,100,Exploitation,CEE,Non,Oui,36.49092250441035,10.207987082807254,feuille1
755,1992,ZAGHOUAN,"O,Sbayhia2",Zaghouan,Sbayhia,530800.0,354200.0,609651.5882,4039508.5262,180.0,100000,0.0,203300.0,100,Exploitation,CEE,Oui,Oui,36.4946235981533,10.224289418598435,feuille1
756,1992,ZAGHOUAN,"O,Ferjania",Saouaf,Khanguet Ms,515400.0,324750.0,596424.4992,4009249.3569,300.0,130000,35000.0,159400.0,100,Exploitation,CEE,Oui,Oui,36.22329713865401,10.072880042205648,feuille1
757,1993,ZAGHOUAN,"O,Melah Ejo",Zriba,Jouf,525200.0,336000.0,605944.5572,4017946.4027,200.0,120000,44000.0,220800.0,100,Exploitation,CEE,Oui,Oui,36.30069259485879,10.17996562529747,feuille1
758,1993,ZAGHOUAN,"O,Nhal",Zriba,Zriba Olia,528600.0,335400.0,609602.579,4019637.4109,275.0,110000,0.0,135100.0,100,Exploitation,CEE,Oui,Oui,36.315525377599926,10.22093655920253,feuille1
759,1993,ZAGHOUAN,"O,Lachbel",Fahs,Ghrifet,498800.0,347500.0,579388.4095,4031558.4916,350.0,250000,200000.0,198900.0,100,Exploitation,CEE,Non,Oui,36.425949446602466,9.885620982605268,feuille1
760,1993,ZAGHOUAN,"O,Dhheb",Fahs,Oum Laboueb,491000.0,316500.0,571714.3559,4000299.3144,150.0,70000,30000.0,130400.0,100,Exploitation,CEE,Oui,Oui,36.14476364681163,9.797149466926694,feuille1
761,1993,ZAGHOUAN,"O,Ressifa",Zaghouan,Sbayhia,524300.0,353000.0,604936.5601,4037913.5189,150.0,80000,31000.0,140800.0,100,Exploitation,CEE,Non,Oui,36.48077584348388,10.17143851755996,feuille1
762,1994,ZAGHOUAN,"O,Khadhra",Fahs,Oued El Kha,507700.0,337800.0,592423.4819,4023560.4406,300.0,100000,0.0,135100.0,100,Exploitation,CEE,Non,Oui,36.352688821237145,10.030063016683295,feuille1
763,1994,ZAGHOUAN,"O,Brouta",Fahs,Brouta,510500.0,327200.0,591167.4701,4011499.3717,320.0,120000,0.0,129400.0,100,Exploitation,CEE,Non,Oui,36.24408929329309,10.014657544395636,feuille1
764,1994,ZAGHOUAN,"O,Jenane",Fahs,Ouled Zouab,496500.0,310900.0,576429.3809,3994845.282,400.0,150000,86000.0,236100.0,100,Exploitation,CEE,Oui,Oui,36.09523650401534,9.849025325210437,feuille1
765,1994,ZAGHOUAN,"O, Melah 2",Bir Mcherga,Ain Askar,504500.0,362100.0,584971.4468,4046013.5742,200.0,130000,89000.0,266900.0,100,Exploitation,CEE,Non,Oui,36.555768860847245,9.949484467959676,feuille1
766,1994,ZAGHOUAN,"O,Guettar",Zaghouan,Tbeinia,526400.0,353500.0,606866.571,4037258.5142,250.0,140000,0.0,211700.0,100,Exploitation,CEE,Oui,Oui,36.47465867784784,10.192889133859213,feuille1
767,1994,ZAGHOUAN,"O,Amara",Saouaf,Hmira,529120.0,320250.0,610041.5746,4004543.3241,200.0,120000,18000.0,160200.0,100,Exploitation,CEE,Non,Oui,36.17942470164861,10.223702586227786,feuille1
768,1995,ZAGHOUAN,"O,Attaline",Fahs,Kef Lazreg,495200.0,330800.0,577785.395,4015221.3978,250.0,90000,18000.0,133500.0,100,Recharge,CEE,Non,Oui,36.27881201277563,9.86610738964719,feuille1
769,1995,ZAGHOUAN,"O,Ben Hlima",Fahs,Brouta,512000.0,324000.0,593091.4797,4007986.3509,270.0,100000,80000.0,177000.0,100,Exploitation,CEE,Oui,Oui,36.212238971779556,10.035650225764964,feuille1
770,1995,ZAGHOUAN,"O,Saiel",Nadhour,Souar,512200.0,321800.0,592740.4772,4006390.342,300.0,110000,70000.0,146500.0,100,Exploitation,CEE,Non,Oui,36.19788600432941,10.031557047434557,feuille1
771,1995,ZAGHOUAN,"O, Houach K",Bir Mcherga,Jbel Woust,519000.0,363000.0,599634.533,4047110.575,200.0,100000,52000.0,135800.0,100,Exploitation,CEE,Non,Oui,36.564239372390375,10.113448117178692,feuille1
772,1995,ZAGHOUAN,"O,Douejel",Bir Mcherga,Jbel Woust,519000.0,361000.0,603759.5562,4044928.5605,250.0,105000,45000.0,145700.0,100,Exploitation,CEE,Oui,Oui,36.544132920611865,10.159244400164594,feuille1
773,1995,ZAGHOUAN,"O,Srassif",Saouaf,Hmira,525800.0,322200.0,606602.556,4006476.3367,250.0,80000,0.0,162000.0,100,Exploitation,CEE,Non,Oui,36.197233115649645,10.185729571741682,feuille1
774,1996,ZAGHOUAN,"O,Baroun",Zriba,Zribe ville,531500.0,341000.0,612939.6011,4026124.4468,190.0,100000,55000.0,200000.0,100,Protection,CEE,Non,Oui,36.3736091906767,10.259042948099092,feuille1
775,1996,ZAGHOUAN,"O, Landj",Fahs,Magra,484600.0,333100.0,565856.3276,4018150.4182,175.0,100000,48000.0,230000.0,100,Exploitation,CEE,Non,Oui,36.30610462295244,9.733540112181387,feuille1
776,1996,ZAGHOUAN,"O, khalifa",Fahs,Sidi Aouide,490000.0,326000.0,571266.3567,4011553.3787,160.0,114000,70000.0,201300.0,100,Exploitation,CEE,Oui,Oui,36.24624964737961,9.793192790637137,feuille1
777,1996,ZAGHOUAN,"O, Ammar",Nadhour,Ain Battoum,510500.0,307000.0,591478.4643,3991264.2566,155.0,84000,60000.0,179900.0,100,Exploitation,CEE,Non,Oui,36.061654700538824,10.015762985999242,feuille1
778,1996,ZAGHOUAN,"O,Saadine",Nadhour,Zrass,501000.0,320500.0,582186.4164,4004200.3332,122.0,91000,50000.0,191000.0,100,Protection,CEE,Non,Oui,36.1790982817438,9.913948570652128,feuille1
779,1996,ZAGHOUAN,"O,Zitoun",Saouaf,Hmira,529000.0,321000.0,610620.5782,4005179.3274,350.0,114000,25000.0,199300.0,100,Protection,CEE,Oui,Oui,36.1850913898066,10.230229633086088,feuille1
780,1997,ZAGHOUAN,Mannoubia,Zaghouan,Zaghouan,518500.0,348800.0,598553.522,4035324.5065,200.0,90000,78000.0,139100.0,100,Exploitation,CEE,Non,Oui,36.45811779939595,10.09986521156051,feuille1
781,1997,ZAGHOUAN,"O,Mounguar",Zaghouan,Oued Remel,513200.0,347100.0,596561.5075,4028191.4659,200.0,90000,60000.0,159700.0,100,Protection,Pn,Non,Oui,36.39402546284941,10.076749479581752,feuille1
782,1997,ZAGHOUAN,"O,Lachguef",Zaghouan,Sidi Zid,538500.0,350000.0,619342.642,4034162.4905,175.0,100000,70000.0,200000.0,100,Exploitation,CEE,Oui,Oui,36.445281645861094,10.331642762535461,feuille1
783,1998,ZAGHOUAN,"O,Bou Ghzi",Saouaf,Hmira,530600.0,322700.0,609749.5743,4007509.3412,200.0,100000,33000.0,180000.0,100,Exploitation,Projet Espa,Non,Oui,36.20619234269914,10.220871092416331,feuille1
784,1998,ZAGHOUAN,"O,Zagtoun",Saouaf,Zagtoune,530600.0,323200.0,611451.5839,4007328.3393,205.0,90000,30000.0,180000.0,100,Exploitation,Projet Espa,Non,Oui,36.20436625877417,10.239774817026397,feuille1
785,1998,ZAGHOUAN,"O,Essid",Saouaf,Saouaf,518400.0,331500.0,604247.5453,4012775.3738,150.0,80000,22000.0,180000.0,100,Exploitation,Projet Espa,Non,Oui,36.25426767429765,10.16037842850869,feuille1
786,1998,ZAGHOUAN,Azwaz,Zriba,Zriba ville,530850.0,335675.0,611711.5913,4020011.412,370.0,169000,120000.0,178000.0,100,Exploitation,DRI/GRN,Non,Oui,36.318654130203846,10.244478905703131,feuille1
787,1998,ZAGHOUAN,"O,Toujine",Nadhour,Zbidine,507875.0,317375.0,588864.4533,4001486.3154,132.0,85000,60000.0,186000.0,100,Exploitation,DRI/GRN,Non,Oui,36.154043251173725,9.987894593735088,feuille1
788,1998,ZAGHOUAN,"O,Labiadh",Nadhour,Souar,508725.0,323750.0,589839.4612,4007755.3508,488.0,190000,115000.0,266000.0,100,Exploitation,DRI/GRN,Non,Oui,36.21046428270863,9.999449817847445,feuille1
789,1999,ZAGHOUAN,"O,Thirane",Saouaf,Sidi Mansou,525800.0,325500.0,606661.5577,4009782.3556,400.0,100000,56000.0,180000.0,100,Exploitation,Projet Espa,Non,Oui,36.22702602737635,10.186835694927629,feuille1
790,1999,ZAGHOUAN,Hicher,Saouaf,Hmira,526000.0,317200.0,609460.5697,4000783.303,400.0,130000,82000.0,180000.0,100,Exploitation,Projet Espa,Non,Oui,36.14559901323904,10.216718994802442,feuille1
791,1999,ZAGHOUAN,Laouamria,Saouaf,Hmira,528200.0,322200.0,609146.5713,4008490.347,250.0,150000,50000.0,180000.0,100,Exploitation,Projet Espa,Non,Oui,36.2151029665609,10.214301177956475,feuille1
792,1999,ZAGHOUAN,"O,Labiadh",Fahs,Tlil Salhi,477800.0,328200.0,561512.2993,4004491.3411,250.0,100000,28000.0,165270.0,100,Exploitation,Pn,Non,Oui,36.18325608649332,9.684083453015631,feuille1
793,1999,ZAGHOUAN,Bougzi 1,Saouaf,Hmira,528500.0,321500.0,609437.5718,4005847.3319,500.0,140000,68000.0,210000.0,100,Exploitation,Projet Espa,Non,Oui,36.19124700090576,10.217169086574835,feuille1
794,1999,ZAGHOUAN,Rabta,Fahs,Brouta,515400.0,329600.0,596014.4987,4013798.383,175.0,120000,45000.0,170000.0,100,Protection,Privé,Non,Oui,36.26434289105306,10.068877072777129,feuille1
795,2000,ZAGHOUAN,Jebs,Fahs,Brouta,513800.0,330700.0,594326.4895,4014867.3899,350.0,150000,110000.0,180000.0,100,Protection,Projet Espa,Non,Oui,36.274145387673975,10.050217294437484,feuille1
796,2000,ZAGHOUAN,"O, Charchar",Zriba,Charchara,516400.0,331700.0,596999.5052,4015991.3952,300.0,120000,0.0,180000.0,100,Exploitation,Projet Espa,Non,Oui,36.28401204682568,10.080113153946423,feuille1
797,2000,ZAGHOUAN,"O,Roummen",Zriba,Zriba Olia,526800.0,335200.0,608285.5716,4019992.4135,300.0,110000,35000.0,180000.0,100,Exploitation,Projet Espa,Non,Oui,36.31887411296977,10.206317788197627,feuille1
798,2001,ZAGHOUAN,"O, Kef Laho",Nadhour,Soughas,509000.0,317000.0,590402.462,4001527.3152,250.0,100000,55000.0,152000.0,100,Exploitation,Pn,Non,Oui,36.15427057497433,10.00499480833942,feuille1
799,2001,ZAGHOUAN,Faiedh Saad,Fahs,Ghrifet,478000.0,331000.0,558745.286,4014388.3983,355.0,124000,60000.0,172000.0,100,Exploitation,GCP/TUN/028,Non,Oui,36.272650057238145,9.654055660751496,feuille1
800,2002,ZAGHOUAN,"O,Ain Snou",Fahs,Chirech,493700.0,313700.0,574036.3682,3997489.2977,500.0,47000,,233200.0,100,Exploitation,DRI/GRN,Non,Oui,36.11925730303388,9.82269326849555,feuille1
801,2002,ZAGHOUAN,Henchir el,Fahs,Ghrifet,496625.0,343300.0,577388.3966,4027312.4677,116.0,47000,25000.0,191000.0,100,Exploitation,DRI/GRN,Non,Oui,36.38783789390624,9.862888685170418,feuille1
802,2002,ZAGHOUAN,Ain Safsaf,Fahs,chnenga,497600.0,327200.0,578580.3982,4011049.3736,355.0,110000,,125980.0,100,Exploitation,DRI/GRN,Non,Oui,36.241138872740265,9.874539132552638,feuille1
803,2002,ZAGHOUAN,Echikh ahme,Bir Mcherga,Etala,519800.0,334700.0,600618.5271,4018912.4105,280.0,170000,13000.0,168900.0,100,Exploitation,Pn,Non,Oui,36.3099706391697,10.120781655747994,feuille1
