n,annee_prog,gouvernorat,nom,delegation,secteur,xlamb,ylamb,xutm_corriges,yutm_corriges,s_b_v_ha,cap_m3,cap_m3_sed,cout_paye,avancement,objectifs,financemen,zone_2626,equip,lat,long,feuille
589,1991,SILIANA,"O,Ouled Ch",Makthar,Saddine,423000.0,280900.0,504026.9726,3963885.1211,80.0,30000,0.0,45000.0,100,Exploitation,Pn,Non,Oui,35.81909911764067,9.044579190794408,feuille1
590,1991,SILIANA,"O,Sidi Bdi",Makthar,Saddine,423900.0,278600.0,505118.9785,3961827.1097,73.0,44000,0.0,55000.0,100,Exploitation,Pn,Non,Oui,35.80053853084045,9.056654674392446,feuille1
591,1992,SILIANA,"O,El Oud",Rouhia,Msahla,423200.0,275500.0,504585.9756,3958841.0932,250.0,100000,0.0,145000.0,100,Exploitation,CEE,Non,Oui,35.77361846173655,9.050738513563992,feuille1
592,1992,SILIANA,O. Taleb 2,Krib,Ouled Taleb,421600.0,328800.0,502631.9654,4012263.3933,70.0,68000,0.0,117600.0,100,Recharge,CEE,Non,Non,36.255276881849134,9.02929736135432,feuille1
593,1992,SILIANA,Fidh El Gha,Bourouis,Tricha,437500.0,314400.0,518298.0537,3998298.313,230.0,146000,50000.0,230500.0,100,Exploitation,CEE,Oui,Oui,36.12920352105853,9.203355912233386,feuille1
594,1992,SILIANA,"O,Tellet El",Bou Arada,Ain Kssil,472000.0,332500.0,552515.2504,4014458.4001,170.0,152000,0.0,128000.0,100,Exploitation,CEE,Oui,Oui,36.273640344031705,9.58470011744268,feuille1
595,1992,SILIANA,"O,Boukir",Siliana sud,Sojja,459700.0,306700.0,540424.1773,3990266.2649,250.0,148000,0.0,187500.0,100,Exploitation,CEE,Non,Non,36.05612054238754,9.44883832235696,feuille1
596,1992,SILIANA,"O,Bou Rbita",Gaafour,Mosrata,460400.0,335400.0,541927.1908,4019466.4311,200.0,110000,50000.0,181500.0,100,Exploitation,CEE,Oui,Oui,36.319306962590005,9.467086657678445,feuille1
597,1992,SILIANA,"O,Fadden B",Kessra,Garia,456700.0,274100.0,538067.1589,3957659.0837,390.0,94000,40000.0,129500.0,100,Exploitation,CEE,Oui,Oui,35.76223467815755,9.421107868829925,feuille1
598,1992,SILIANA,"O,Jedaida",Makthar,Sned Haddad,435850.0,289050.0,505185.9788,3957091.0836,300.0,137000,50000.0,213000.0,100,Exploitation,Pn,Non,Oui,35.757836880271704,9.057365521670473,feuille1
599,1993,SILIANA,Sidi Boudab,Rouhia,Haria,423800.0,273800.0,552994.2513,4006316.3535,100.0,46000,0.0,161000.0,100,Exploitation,CEE,Oui,Oui,36.200212723387224,9.589481698055813,feuille1
600,1993,SILIANA,Kef Agueb,Bou Arada,Henchir Rou,471300.0,322400.0,547413.22,4008387.3664,360.0,74000,0.0,178000.0,100,Exploitation,PDRI,Oui,Oui,36.21917305345729,9.52752888508163,feuille1
601,1993,SILIANA,"Aff, O,Tre",Bou Arada,Ain Kssil,466600.0,324700.0,540829.1844,4019038.4288,80.0,45000,0.0,125500.0,100,Exploitation,PDRI,Oui,Oui,36.31549561508703,9.454832336074832,feuille1
602,1993,SILIANA,"O,Essid",Gaafour,Lakhouet,470630.0,340280.0,541649.1866,4004747.3468,300.0,90000,0.0,155000.0,100,Exploitation,CEE,Non,Oui,36.18662255404017,9.46320573701364,feuille1
603,1993,SILIANA,"O,Maleh",Gaafour,Ain Zrig,460700.0,321200.0,533456.1348,3966130.1312,160.0,70000,0.0,100000.0,100,Exploitation,PDRI,Non,Non,35.83877787196355,9.370455076800093,feuille1
604,1993,SILIANA,"O,Abdelkaw",Kessra,Nfassa,452100.0,282600.0,517026.0448,3972493.1683,80.0,100000,60000.0,224000.0,100,Exploitation,CEE,Non,Oui,35.89657071172934,9.188664242836357,feuille1
605,1992,SILIANA,"O,Fidh Zito",Kessra,Fouthoul El,451300.0,269300.0,533408.1326,3952303.055,100.0,40000,0.0,60000.0,100,Exploitation,CEE,Non,Oui,35.71411331354055,9.369346564535956,feuille1
606,1993,SILIANA,"O, Haffar",Kessra,Garia Nord,459400.0,275750.0,540739.1738,3959307.0923,50.0,30000,0.0,50000.0,100,Exploitation,Pn,Non,Non,35.7769860292824,9.45074936805971,feuille1
607,1993,SILIANA,"O,Sfaya",Makthar,Rass El Oue,433500.0,283250.0,514386.0298,3966696.1362,170.0,109000,50000.0,174000.0,100,Exploitation,CEE,Non,Oui,35.84434645818512,9.159305904463514,feuille1
608,1993,SILIANA,"O,Ajmi",Makthar,Rass El Oue,432000.0,281700.0,512580.0197,3965286.1285,250.0,92000,40000.0,227000.0,100,Exploitation,CEE,Non,Oui,35.83165844919837,9.139284608045006,feuille1
