annee,delegation,population_non_communal,genie_rural_nbre_population_desservie,genie_rural_taux_desserte,sonede_nbre_population_desservie,sonede_taux_desserte,nbre_total_population_desservie,nbre_total_taux_desserte,feuille
2020,Siliana Nord,8070,4616.0,0.572,3085,0.382,7701.0,0.954,Feuil1
2020,Siliana Sud,19680,7989.0,0.406,8765,0.445,16754.0,0.851,Feuil1
2020,Bargou,7531,4825.0,0.641,2525,0.335,7350.0,0.976,Feuil1
2020,Bouarada,7210,3560.0,0.494,3520,0.488,7080.0,0.982,Feuil1
2020,Aroussa,6967,2152.0,0.309,4800,0.689,6952.0,0.998,Feuil1
2020,Gaâfour,6629,2522.0,0.38,3935,0.594,6457.0,0.974,Feuil1
2020,krib,12253,1628.0,0.133,9850,0.804,11478.0,0.937,Feuil1
2020,Sidi Bourouis,9314,4435.0,0.476,3200,0.344,7635.0,0.82,Feuil1
2020,Makthar,15433,8072.0,0.523,6670,0.432,14742.0,0.955,Feuil1
2020,Kessra,13607,6650.0,0.489,6935,0.51,13585.0,0.998,Feuil1
2020,Rouhia,21170,19117.0,0.903,474,0.022,19591.0,0.925,Feuil1
2020,Total,127864,65566.0,0.513,53754,0.42,119320.0,0.933,Feuil1
2021,Siliana Nord,8070,4616.25,57.2,3085,38.23,7701.0,95.43,Feuil1
2021,Siliana Sud,19680,7989.0,40.59,8765,44.54,16754.0,85.13,Feuil1
2021,Bargou,7531,4925.0,65.4,2525,33.53,7450.0,98.93,Feuil1
2021,Bouarada,7210,3589.0,49.78,3520,48.82,7109.0,98.6,Feuil1
2021,Aroussa,6967,2152.0,30.89,4800,68.9,6952.0,99.79,Feuil1
2021,Gaâfour,6629,2522.0,38.04,3935,59.36,6457.0,97.4,Feuil1
2021,krib,12253,1627.91,13.29,9850,80.39,11478.0,93.68,Feuil1
2021,Sidi Bourouis,9314,4435.0,47.62,3200,34.36,7635.0,81.98,Feuil1
2021,Makthar,15433,8072.0,52.3,6670,43.22,14742.0,95.52,Feuil1
2021,Kessra,13607,6650.25,48.87,6935,50.97,13586.0,99.84,Feuil1
2021,Rouhia,21170,19117.0,90.3,474,2.24,19591.0,92.54,Feuil1
2021,Total,127864,65695.4,51.38,53754,42.04,119449.4,93.42,Feuil1
2022,Siliana Nord,8070,4616.0,57.2,3108,38.51,7724.0,95.71,Feuil1
2022,Siliana Sud,19680,7989.0,40.59,8815,44.79,16804.0,85.38,Feuil1
2022,Bargou,7531,5466.0,72.58,2544,33.78,8010.0,106.36,Feuil1
2022,Bouarada,7210,3589.0,49.78,3530,48.96,7119.0,98.74,Feuil1
2022,Aroussa,6967,2152.0,30.89,4822,69.21,6974.0,100.1,Feuil1
2022,Gaâfour,6629,2522.0,38.04,3946,59.53,6468.0,97.57,Feuil1
2022,krib,12253,1627.0,13.29,9890,80.71,11517.0,94.0,Feuil1
2022,Sidi Bourouis,9314,4435.0,47.62,3215,34.52,7650.0,82.14,Feuil1
2022,Makthar,15433,8236.0,53.37,6700,43.41,14936.0,96.78,Feuil1
2022,Kessra,13607,6650.0,48.87,6951,51.08,13601.0,99.95,Feuil1
2022,Rouhia,21170,19117.0,90.3,476,2.25,19593.0,92.55,Feuil1
2022,Total,127864,66399.0,51.93,53997,42.23,120396.0,94.16,Feuil1
2023,Siliana Nord,8070,4616.25,57.2,3131,38.8,11201.0,96.0,Feuil1
2023,Siliana Sud,19680,7989.0,40.59,8873,45.09,28553.0,85.68,Feuil1
2023,Bargou,7531,4707.0,62.5,2545,33.79,10076.0,96.29,Feuil1
2023,Bouarada,7210,3589.0,49.78,3542,49.13,10752.0,98.91,Feuil1
2023,Aroussa,6967,2131.0,30.59,4833,69.37,11800.0,99.96,Feuil1
2023,Gaâfour,6629,2522.0,38.04,3954,59.65,10583.0,97.69,Feuil1
2023,krib,12253,1627.91,13.29,9979,81.44,22232.0,94.73,Feuil1
2023,Sidi Bourouis,9314,4435.0,47.62,3219,34.56,12533.0,82.18,Feuil1
2023,Makthar,15433,8236.25,53.37,6715,43.51,22148.0,96.88,Feuil1
2023,Kessra,13607,6650.25,48.87,6970,51.22,20577.0,100.09,Feuil1
2023,Rouhia,21170,19117.0,90.3,477,2.25,21647.0,92.55,Feuil1
2023,Total,127864,65620.7,51.32,54243,42.42,182102.0,93.74,Feuil1
2024,Siliana Nord,8070,4616.25,57.2,3131,38.8,11201.0,96.0,Feuil1
2024,Siliana Sud,19680,7989.0,40.59,8873,45.09,28553.0,85.68,Feuil1
2024,Bargou,7531,4707.0,62.5,2545,33.79,10076.0,96.29,Feuil1
2024,Bouarada,7210,3589.0,49.78,3542,49.13,10752.0,98.91,Feuil1
2024,Aroussa,6967,2131.0,30.59,4833,69.37,11800.0,99.96,Feuil1
2024,Gaâfour,6629,2522.0,38.04,3954,59.65,10583.0,97.69,Feuil1
2024,krib,12253,1627.91,13.29,9979,81.44,22232.0,94.73,Feuil1
2024,Sidi Bourouis,9314,4435.0,47.62,3219,34.56,12533.0,82.18,Feuil1
2024,Makthar,15433,8236.25,53.37,6715,43.51,22148.0,96.88,Feuil1
2024,Kessra,13607,6650.25,48.87,6970,51.22,20577.0,100.09,Feuil1
2024,Rouhia,21170,19117.0,90.3,477,2.25,21647.0,92.55,Feuil1
2024,Total,127864,65620.7,51.32,54243,42.42,182102.0,93.74,Feuil1
