annee,delegation,avicultures_1000_unites,cunicultures_unites,apicultures_ruches,feuille
2021,زغوان,618.0,510,1830,Agric14
2021,الزريبة,31.0,420,1365,Agric14
2021,بئر مشارقة,438.0,430,760,Agric14
2021,الفحص,257.0,430,3925,Agric14
2021,الناظور,420.0,210,510,Agric14
2021,صواف,463.0,250,310,Agric14
2021,المجموع,2227.0,2250,8700,Agric14
2022,زغوان,1674.0,500,1830,Agric14
2022,الزريبة,30.0,400,1315,Agric14
2022,بئر مشارقة,439.0,410,760,Agric14
2022,الفحص,268.0,410,3875,Agric14
2022,الناظور,510.0,210,515,Agric14
2022,صواف,551.0,250,305,Agric14
2022,المجموع,3472.0,2180,8600,Agric14
2023,زغوان,2282.0,470,1630,Agric14
2023,الزريبة,60.0,370,1165,Agric14
2023,بئر مشارقة,554.0,380,660,Agric14
2023,الفحص,273.5,390,3425,Agric14
2023,الناظور,510.0,210,455,Agric14
2023,صواف,570.5,230,265,Agric14
2023,المجموع,4250.0,2050,7600,Agric14
2024,زغوان,2352.0,340,1790,Agric14
2024,الزريبة,62.0,330,1280,Agric14
2024,بئر مشارقة,571.0,350,725,Agric14
2024,الفحص,282.0,390,3765,Agric14
2024,الناظور,525.0,215,499,Agric14
2024,صواف,588.0,225,291,Agric14
2024,المجموع,4380.0,1850,8350,Agric14
