annee,delegation,superficie_irrigable_ha,superficie_irriguee_ha,feuille
2024,Tozeur,750.0,750.0,Feuil1
2024,Degache,104.0,104.0,Feuil1
2024,Tamaghza,,,Feuil1
2024,Nefta,58.0,58.0,Feuil1
2024,Hezoua,,,Feuil1
2024,Hammet eljerid,107.0,107.0,Feuil1
2024,Total,1019.0,1019.0,Feuil1
