types,ble_dur_local,ble_dur_import,ble_tendre_local,ble_tendre_import,orge_local,orge_import,feuille
janvier,636590.4,420693.37,606.6,994815.14,1573.8,874147.79,Feuil1
fevrier,694942.1,357278.85,1290.0,1006307.56,9436.4,875895.39,Feuil1
mars,385234.2,802012.92,1038.28,998275.82,5330.0,922060.7999999999,Feuil1
avril,183865.6,570640.98,465.8,816048.69,0.0,863838.2,Feuil1
mai,9205.2,1023816.88,0.0,954027.73,4913.8,899806.2,Feuil1
juin,684890.8,479287.4,16892.4,790661.69,10590.0,747607.2800000001,Feuil1
juillet,837666.9,234573.2,151090.8,851476.12,10191.6,656846.9199999999,Feuil1
aout,860339.7,210576.65,81927.2,932627.25,23517.08,756047.6,Feuil1
septembre,936577.4,136796.2,33993.1,970791.55,7263.6,807380.4299999999,Feuil1
octobre,896224.29,177115.4,34137.0,966884.68,7088.0,812348.2,Feuil1
novembre,,,,,,,Feuil1
decembre,,,,,,,Feuil1
