types,ble_dur_local,ble_dur_import,ble_tendre_local,ble_tendre_import,orge_local,orge_import,feuille
janvier,664,591,4,995,4,747,Feuil1
fevrier,547,474,5,975,13,627,Feuil1
mars,353,588,3,954,14,655,Feuil1
avril,144,1037,0,1232,4,737,Feuil1
mai,7,889,0,851,7,734,Feuil1
juin,739,410,44,927,5,591,Feuil1
juillet,1361,141,180,884,5,535,Feuil1
aout,1034,32,180,970,598,7,Feuil1
septembre,619,181,88,827,660,3,Feuil1
octobre,727,109,100,936,608,49,Feuil1
novembre,754,205,67,915,511,198,Feuil1
decembre,872,95,64,927,334,357,Feuil1
