delegation,secteur,acquisition_des_geniteurs_ovins_nb,acquisition_des_geniteurs_caprins_nb,acquisition_des_geniteurs_bovins_nb,insemination_artificielle_nb,amenagement_des_petits_perimetres_irrigues_montagneux_ha,feuille
قبلاط,قرام,3.0,,,,,Feuil1
قبلاط,قمرتي,,,,,,Feuil1
قبلاط,بئر العش,1.0,,,,,Feuil1
قبلاط,شيخ الوديان,,,,,,Feuil1
قبلاط,خشاب,4.0,,,,,Feuil1
قبلاط,خنيقة الدهان,3.0,,,,,Feuil1
تستور,زلدو,3.0,,1.0,,,Feuil1
تستور,مزوغة,3.0,,2.0,,,Feuil1
عمدون,بني مالك,2.0,,,106.0,,Feuil1
عمدون,الفرايجية,2.0,2.0,,298.0,,Feuil1
عمدون,المجالس,3.0,,,170.0,,Feuil1
عمدون,الحمراء,2.0,2.0,,274.0,,Feuil1
عمدون,الجوزة,3.0,4.0,,403.0,,Feuil1
عمدون,غزية,,,,159.0,10.0,Feuil1
عمدون,زهرة مدين الجنوبيّة,2.0,,,15.0,,Feuil1
تيبار,دجبة,2.0,,,224.0,183.0,Feuil1
تيبار,عين الدفالي,4.0,,5.0,441.0,63.0,Feuil1
نفزة,فطناسة,2.0,,,100.0,,Feuil1
نفزة,وادي المعدن,2.0,9.0,,226.0,,Feuil1
نفزة,الجميلة,2.0,,,310.0,,Feuil1
نفزة,الطبابة,,,,,,Feuil1
نفزة,بوزنة,2.0,,,115.0,,Feuil1
نفزة,زاقة,2.0,2.0,,178.0,,Feuil1
نفزة,الظهيرات,2.0,,,150.0,,Feuil1
نفزة,غياضة,2.0,,,100.0,,Feuil1
نفزة,نفزة الشرقية,,,,,,Feuil1
باجة الجنوبية,سيدي إسماعيل,7.0,1.0,,,,Feuil1
باجة الجنوبية,المخشبية,12.0,,,148.0,,Feuil1
باجة الجنوبية,مستوتة,5.0,1.0,,,,Feuil1
تبرسق,ريحانة,4.0,,,308.0,,Feuil1
تبرسق,بئر التوتة,3.0,,,250.0,,Feuil1
تبرسق,عين مليتي,3.0,,,343.0,,Feuil1
تبرسق,عين الحمام,2.0,,,204.0,,Feuil1
مجاز الباب,توكابر,4.0,,,30.0,,Feuil1
مجاز الباب,شواش,2.0,,,24.0,,Feuil1
مجاز الباب,حيدوس,,,1.0,,,Feuil1
