annee,delegation,nbre_groupement_eau_potable,beneficiaires_groupement_eau_potable,nbre_groupement_irrigation,beneficiaires_groupement_irrigation,superficie_ha_groupement_irrigation,nbre_groupement_mixtepiaep,beneficiaires_groupement_mixte,superficie_ha_groupement_mixte,nbre_autres_groupements,beneficiaires_autres_groupements,total_nombre,total_beneficiaires,total_superficie_ha,feuille
2020,Siliana  Nord,6,1351,3.0,66,,2,425,,1.0,*,12,1842,,Feuil1
2020,Siliana  Sud,13,1473,5.0,275,,0,0,,0.0,*,18,1748,,Feuil1
2020,Bargou,6,445,1.0,56,,5,365,,2.0,*,14,866,,Feuil1
2020,Bouarada,8,818,2.0,342,,0,0,,0.0,*,10,1160,,Feuil1
2020,Lâroussa,8,592,1.0,358,,0,0,,1.0,*,10,950,,Feuil1
2020,Gaafour,2,418,3.0,337,,3,2 825,,1.0,*,9,3580,,Feuil1
2020,El Krib,4,36,1.0,16,,0,,,6.0,190,11,242,,Feuil1
2020,Bourouis,5,1113,0.0,0,,0,,,1.0,11,6,1124,,Feuil1
2020,Makthar,11,510,2.0,53,,1,22,,6.0,18,20,603,,Feuil1
2020,Kesra,9,575,3.0,69,,1,56,,8.0,106,21,806,,Feuil1
2020,Rouhia,17,1037,15.0,677,,0,0,,6.0,101,38,1815,,Feuil1
2020,Gouvernorat,89,8368,36.0,2 249,,12,3 693,,32.0,426,169,14736,,Feuil1
2021,Siliana  Nord,6,6653,1.0,,87,2,35,83,,,9,6688,170.0,Feuil1
2021,Bouarada,7,5405,2.0,,955,,,,,,9,5405,955.0,Feuil1
2021,Gaafour,1,430,1.0,,1728,3,51,196,,,5,481,1924.0,Feuil1
2021,Lâroussa,9,3414,1.0,,2692,,,,,,10,3414,2692.0,Feuil1
2021,El Krib,4,292,,,,1,16,54,,,5,308,54.0,Feuil1
2021,Bourouis,5,6115,,,,,,,,,5,6115,0.0,Feuil1
2021,Makthar,11,6518,1.0,,20,1,23,81,,,13,6541,101.0,Feuil1
2021,Bargou,6,2947,3.0,,259,4,125,304,,,13,3072,563.0,Feuil1
2021,Kesra,11,6624,2.0,,71,1,17,52,,,14,6641,123.0,Feuil1
2021,Rouhia,17,9053,17.0,,2454,,,,,,34,9053,2454.0,Feuil1
2021,Siliana  Sud,13,7118,7.0,,1654,,,,,,20,7118,1654.0,Feuil1
2021,Gouvernorat,90,54569,35.0,,9920,12,267,770,,,137,54836,10690.0,Feuil1
2022,Siliana  Nord,7,6653,1.0,,87,2,35,83,,,9,6688,170.0,Feuil1
2022,Bouarada,7,5405,2.0,,955,,,,,,9,5405,955.0,Feuil1
2022,Gaafour,1,430,1.0,,1728,3,51,196,,,5,481,1924.0,Feuil1
2022,Lâroussa,9,3414,1.0,,2692,,,,,,10,3414,2692.0,Feuil1
2022,El Krib,4,292,,,,1,16,54,,,5,308,54.0,Feuil1
2022,Bourouis,6,6115,,,,,,,,,5,6115,0.0,Feuil1
2022,Makthar,11,6518,1.0,,20,1,23,81,,,13,6541,101.0,Feuil1
2022,Bargou,8,3703,4.0,,259,3,125,304,,,13,3072,563.0,Feuil1
2022,Kesra,10,6624,2.0,,71,1,17,52,,,14,6641,123.0,Feuil1
2022,Rouhia,17,9053,16.0,,2454,1,,,,,34,9053,2454.0,Feuil1
2022,Siliana  Sud,13,7118,5.0,,1654,,,,,,20,7118,1654.0,Feuil1
2022,Gouvernorat,93,55325,33.0,,9920,12,267,770,,,137,54836,10690.0,Feuil1
2023,Siliana  Nord,7,6653,1.0,,87,2,35,83,,,9,6688,170.0,Feuil1
2023,Bouarada,8,5405,2.0,,955,,,,,,9,5405,955.0,Feuil1
2023,Gaafour,1,430,1.0,,1728,3,51,196,,,5,481,1924.0,Feuil1
2023,Lâroussa,8,3414,1.0,,2692,,,,,,10,3414,2692.0,Feuil1
2023,El Krib,5,292,,,,1,16,54,,,5,308,54.0,Feuil1
2023,Bourouis,5,6115,,,,,,,,,5,6115,0.0,Feuil1
2023,Makthar,11,6518,1.0,,20,1,23,81,,,13,6541,101.0,Feuil1
2023,Bargou,7,3703,4.0,,259,2,125,304,,,13,3072,563.0,Feuil1
2023,Kesra,10,6624,2.0,,71,1,17,52,,,14,6641,123.0,Feuil1
2023,Rouhia,16,9053,16.0,,2454,1,,,,,34,9053,2454.0,Feuil1
2023,Siliana  Sud,13,7118,5.0,,1654,,,,,,20,7118,1654.0,Feuil1
2023,Gouvernorat,91,55325,33.0,,9920,11,267,770,,,137,54836,10690.0,Feuil1
2024,Siliana  Nord,6,6653,1.0,,87,2,35,83,,,9,6688,170.0,Feuil1
2024,Bouarada,8,5405,2.0,,955,,,,,,9,5405,955.0,Feuil1
2024,Gaafour,2,430,1.0,,1728,3,51,196,,,5,481,1924.0,Feuil1
2024,Lâroussa,9,3414,1.0,,2692,,,,,,10,3414,2692.0,Feuil1
2024,El Krib,4,292,,,,1,16,54,,,5,308,54.0,Feuil1
2024,Bourouis,6,6115,,,,,,,,,5,6115,0.0,Feuil1
2024,Makthar,10,6518,,,20,1,23,81,,,13,6541,101.0,Feuil1
2024,Bargou,7,3703,3.0,,259,4,125,304,,,13,3072,563.0,Feuil1
2024,Kesra,11,6624,2.0,,71,1,17,52,,,14,6641,123.0,Feuil1
2024,Rouhia,18,9053,14.0,,2454,,,,,,34,9053,2454.0,Feuil1
2024,Siliana  Sud,13,7118,6.0,,1654,,,,,,20,7118,1654.0,Feuil1
2024,Gouvernorat,94,55325,30.0,,9920,12,267,770,,,137,54836,10690.0,Feuil1
