annee,delegation,puits_surface_equipes,puits_surface_non_equipes,total_puits_surface,puits_profonds_equipes,puits_profonds_non_equipes,total_puits_profonds,nbre_barrages,capacite_barrages_mm3,nbre_barrages_collinaires,capacite_barrages_collinaires_mm3,nbre_lacs_collinaires,capacite_lacs_collinaires_mm3,feuille
2023,Bouarada,225,115,340,21,6.0,27,1,4,2,2.5,3,0.296,Feuil1
2023,Gaafour,23,17,40,12,10.0,22,1,33,3,6.12,3,0.237,Feuil1
2023,Lâroussa,44,20,64,12,5.0,17,,,2,3.3,4,0.247,Feuil1
2023,El Krib,532,177,709,75,33.0,108,,,1,5.0,3,0.22,Feuil1
2023,Bourouis,317,42,359,8,11.0,19,,,2,2.45,2,0.271,Feuil1
2023,Makthar,317,47,364,27,12.0,39,,,4,4.44,16,1.3,Feuil1
2023,Bargou,128,43,171,46,14.0,60,,,7,4.752,9,0.928,Feuil1
2023,Kesra,291,25,316,19,4.0,23,,,2,1.85,24,2.475,Feuil1
2023,Rouhia,1164,464,1628,137,26.0,163,,,2,12.7,16,0.53,Feuil1
2023,Siliana  Sud,272,41,313,61,21.0,82,1,7,2,1.6,4,0.375,Feuil1
2023,Gouvernorat,3404,1032,4436,430,149.0,579,3,44,34,49.852,87,7.346,Feuil1
2024,Siliana  Nord,96,43,139,14,7.0,21,,,6,4.22,4,0.507,Feuil1
2024,Bouarada,227,116,343,21,6.0,27,1,4,2,2.5,4,0.366,Feuil1
2024,Gaafour,25,18,43,14,10.0,24,1,33,3,6.12,5,0.327,Feuil1
2024,Lâroussa,54,20,74,13,5.0,18,,,2,3.3,4,0.247,Feuil1
2024,El Krib,578,179,757,75,33.0,108,,,1,5.0,3,0.22,Feuil1
2024,Bourouis,327,42,369,10,11.0,21,,,2,2.45,2,0.271,Feuil1
2024,Makthar,326,49,375,35,12.0,47,,,4,4.44,15,1.225,Feuil1
2024,Bargou,130,43,173,51,14.0,65,,,7,4.752,9,0.928,Feuil1
2024,Kesra,292,27,319,25,4.0,29,,,2,1.85,24,2.475,Feuil1
2024,Rouhia,1165,465,1630,139,27.0,166,,,2,12.7,16,0.53,Feuil1
2024,Siliana  Sud,294,52,346,66,21.0,87,1,7,2,1.6,7,0.573,Feuil1
2024,Gouvernorat,3514,1054,4568,463,150.0,613,3,44,33,48.932,93,7.669,Feuil1
