type_produit,source_animale,quantite,annee,unite,feuille
إنتاج الحليب,أبقار,64800,2021,طن,Feuil1
إنتاج اللحوم الحمراء,أبقار,4600,2021,طن,Feuil1
إنتاج اللحوم الحمراء,أغنام,2280,2021,طن,Feuil1
إنتاج اللحوم الحمراء,ماعز,83,2021,طن,Feuil1
إنتاج اللحوم الحمراء,إبل,13,2021,طن,Feuil1
إنتاج اللحوم الحمراء,خنزير,24,2021,طن,Feuil1
إنتاج اللحوم البيضاء,دجاج,25000,2021,طن,Feuil1
إنتاج اللحوم البيضاء,أرانب,100,2021,طن,Feuil1
إنتاج بيض,دجاج,900,2021,مليون وحدة,Feuil1
إنتاج عسل,النحل,9,2021,طن,Feuil1
إنتاج الجلود,أبقار/أغنام/ماعز/إبل,2000,2021,طن,Feuil1
إنتاج الصوف,خرفان/أغنام,500,2021,طن,Feuil1
