annee,categorie,quantite_tonne,valeur_mille_dinar,feuille
2016,Poissons frais et congelés,5560.0,72315.0,صادرات -2016-2022
2016,Crustacés,4236.0,117740.0,صادرات -2016-2022
2016,Mollusques,5778.0,71427.0,صادرات -2016-2022
2016,Conserves et semi conserves,5264.0,56244.0,صادرات -2016-2022
2016,Coraux,8.0,18376.0,صادرات -2016-2022
2016,Eponges,35.0,3700.0,صادرات -2016-2022
2016,Divers,1.0,75.0,صادرات -2016-2022
2017,Poissons frais et congelés,5761.0,118510.0,صادرات -2016-2022
2017,Crustacés,4068.0,109463.0,صادرات -2016-2022
2017,Mollusques,6818.0,118337.0,صادرات -2016-2022
2017,Conserves et semi conserves,3611.0,47656.0,صادرات -2016-2022
2017,Coraux,5.6,11816.0,صادرات -2016-2022
2017,Eponges,34.9,4499.0,صادرات -2016-2022
2017,Divers,3.3,115.0,صادرات -2016-2022
2018,Poissons frais et congelés,9495.2,173143.0,صادرات -2016-2022
2018,Crustacés,6407.0,136494.0,صادرات -2016-2022
2018,Mollusques,6104.1,139970.0,صادرات -2016-2022
2018,Conserves et semi conserves,4951.0,68896.0,صادرات -2016-2022
2018,Coraux,4.8,5491.0,صادرات -2016-2022
2018,Eponges,20.0,3324.0,صادرات -2016-2022
2018,Divers,1.0,81.0,صادرات -2016-2022
2019,Poissons frais et congelés,9575.0,170733.0,صادرات -2016-2022
2019,Crustacés,7277.0,164580.0,صادرات -2016-2022
2019,Mollusques,4920.0,110196.0,صادرات -2016-2022
2019,Conserves et semi conserves,6187.0,107014.0,صادرات -2016-2022
2019,Coraux,4.0,3358.0,صادرات -2016-2022
2019,Eponges,7.0,1624.0,صادرات -2016-2022
2019,Divers,1.0,120.0,صادرات -2016-2022
2020,Poissons frais et congelés,8528.0,176365.0,صادرات -2016-2022
2020,Crustacés,6555.0,146585.0,صادرات -2016-2022
2020,Mollusques,3069.0,66220.0,صادرات -2016-2022
2020,Conserves et semi conserves,5482.0,93357.0,صادرات -2016-2022
2020,Coraux,1.0,554.0,صادرات -2016-2022
2020,Eponges,7.0,2584.0,صادرات -2016-2022
2020,Divers,24.0,573.0,صادرات -2016-2022
2021,Poissons frais et congelés,11795.0,278070.0,صادرات -2016-2022
2021,Crustacés,11532.0,234218.0,صادرات -2016-2022
2021,Mollusques,3603.0,88754.0,صادرات -2016-2022
2021,Conserves et semi conserves,6248.0,101699.0,صادرات -2016-2022
2021,Coraux,3.0,2490.0,صادرات -2016-2022
2021,Eponges,6.0,2856.0,صادرات -2016-2022
2021,Divers,1.0,27.0,صادرات -2016-2022
2022,Poissons frais et congelés,14109.0,348768.0,صادرات -2016-2022
2022,Crustacés,11959.0,255245.0,صادرات -2016-2022
2022,Mollusques,3902.0,108597.0,صادرات -2016-2022
2022,Conserves et semi conserves,8461.0,151707.0,صادرات -2016-2022
2022,Coraux,2.0,2585.0,صادرات -2016-2022
2022,Eponges,8.0,3737.0,صادرات -2016-2022
2022,Divers,7.0,412.0,صادرات -2016-2022
2023,Poissons frais et congelés,16253.0,363638.0,صادرات -2016-2022
2023,Crustacés,9991.0,218303.0,صادرات -2016-2022
2023,Mollusques,2832.0,73559.0,صادرات -2016-2022
2023,Conserves et semi conserves,7963.0,168838.0,صادرات -2016-2022
2023,Coraux,5.0,14914.0,صادرات -2016-2022
2023,Eponges,14.0,5873.0,صادرات -2016-2022
2023,Divers,4.0,384.0,صادرات -2016-2022
2024,Poissons frais et congelés,16833.0,354943.0,صادرات -2016-2022
2024,Crustacés,8314.0,197521.0,صادرات -2016-2022
2024,Mollusques,2159.0,60093.0,صادرات -2016-2022
2024,Conserves et semi conserves,9155.0,212219.0,صادرات -2016-2022
2024,Coraux,6.0,17273.0,صادرات -2016-2022
2024,Eponges,10.0,3403.0,صادرات -2016-2022
2024,Divers,5.0,526.0,صادرات -2016-2022
2025,Poissons frais et congelés,17500.0,381700.0,صادرات -2016-2022
2025,Crustacés,8400.0,,صادرات -2016-2022
2025,Mollusques,1500.0,45700.0,صادرات -2016-2022
2025,Conserves et semi conserves,8100.0,193600.0,صادرات -2016-2022
2025,Coraux,,,صادرات -2016-2022
2025,Eponges,,,صادرات -2016-2022
2025,Divers,0.0,21900.0,صادرات -2016-2022
