type,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,feuille
"bois de chauffage en rondins,buches,ramilles,fagots ou sous formes sim;bois en plaquettes ou en particules;sclures,dechets et debris de bois,meme agglomeres sous forme de buches,briquettes,boulettes ou sous formes sim",,18.195,11.014,,9.718,0.453,150.95,0.025,153.126,30.454,39.4,80.54,49.0,613.0,96.3,355.264,2538.386,5477.94,9560.064,15099.174,13920.58,Feuil1
"Charbon de bois (y compris le charbon de coques ou de noix),meme ag-lomere:",,73.5,1.129,8.972,0.112,2.455,4.157,75.55,140.256,565.319,392.592,5.7,4.349,80.842,167.367,367.891,90.882,435.338,566.661,1647.353,1278.862,Feuil1
"Bois bruts,meme ecorces,desaubleres ou equarris:",24.4,20.0,49.211,100.486,0.702,,,14.29,3.0,,,,,,80.0,20.323,,32.36,,,32.24,Feuil1
"Bois feuillards;echalas fendus;pieux et piquets en bois,appointes, non scies longitudinalement;bois simplement degrossis ou arrondis, mais non tournes ni courbes ni autrement travailles,pour cannes,pa- rapluies,manches",,0.137,,,,,,,,,35.2,,,5.4,0.65,,,,,,0.01,Feuil1
aine (paille) de bois;farine de bois:,,,,10.0,,,,,,0.015,,,,0.3,,2.996,0.1,,0.815,,,Feuil1
Traverses en bois pour voies ferres ou similaires:,,,,,,,,2.55,,0.8,,,,,,1.392,,0.4,,,,Feuil1
"Bois scies ou dedosses longitudinalement,tranches ou deroules,meme rabotes,ponces ou colles par jointure digitale,d'une epaisseur exce-dant 6 mm:",677.933,627.461,523.15,164.658,106.511,85.836,0.4,185.021,62.298,30.226,249.674,0.05,1250.106,0.03,9.372,16.953,6.57,16.164,10.08,68.862,5.326,Feuil1
"Feuilles de placage et feuilles pour contre-plaques (meme jointees) et autres bois scies longitudinalement,tranches ou deroules,meme ra-botes,ponces ou colles par jointure digitale,d'une epaisseur n'exce-dant pas 6 mm:",27.836,70.592,48.051,51.57,68.394,45.73,591.773,1155.115,1238.859,1271.838,511.021,180.992,11.193,3.053,2.48,,5.142,11.007,10.523,20.317,29.106,Feuil1
"Bois (y compris les lames et frises a parquet,non assemblees) profi-les (languetes,raines,bouvetes,feuillures,chanreines,joints en v,moulures,arrondis ou sim) tout au long d'une ou de plus rives ou faces,meme rabotes,",,,,1.885,2.045,,9.7,0.666,0.291,1.775,1.811,2.727,,,9.897,0.087,,12.055,10.0,150.199,,Feuil1
"Panneaux de particules et panneaux similaires,en bois ou en autres matieres ligneuses,meme agglomeres avec des resines ou d'autres liants organiques:",844.438,,6362.403,10621.178,8037.54,12297.263,20477.314,11965.283,3045.175,1405.005,1347.153,1439.019,398.685,590.502,394.395,339.782,287.745,1043.041,675.573,1226.26,876.573,Feuil1
