المعتمدية,المساحات_المبذورة_من_القمح_الصلب,المساحات_المحصودة_من_القمح_الصلب,مردود_القمح_الصلب,انتاج_القمح_الصلب,المساحات_المبذورة_من_القمح_اللين,المساحات_المحصودة_من_القمح_اللين,مردود_القمح_اللين,انتاج_القمح_اللين,المساحات_المبذورة_من_الشعير,المساحات_المحصودة_من_الشعير,مردود_الشعير,انتاج_الشعير,feuille
المهدية,120.0,75.0,5,375.0,,,,0.0,450.0,300.0,5.0,1500.0,Feuil1
قصور الساف,400.0,300.0,5,1500.0,,,,0.0,1200.0,500.0,4.0,2000.0,Feuil1
الشابة,30.0,20.0,6,120.0,,,,0.0,700.0,400.0,4.0,1600.0,Feuil1
سيدي علوان,450.0,150.0,3,450.0,50.0,0.0,0.0,0.0,1000.0,500.0,3.0,1500.0,Feuil1
الجم,100.0,100.0,4,400.0,,,,0.0,200.0,150.0,4.0,600.0,Feuil1
بومرداس,150.0,100.0,5,500.0,,,,0.0,300.0,270.0,4.0,1080.0,Feuil1
السواسي,0.0,,,0.0,,,,0.0,250.0,50.0,4.0,200.0,Feuil1
شربان,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,Feuil1
أولاد الشامخ,20.0,10.0,6,60.0,,,,0.0,50.0,30.0,5.0,150.0,Feuil1
هبيرة,80.0,55.0,3,165.0,,,,0.0,200.0,100.0,4.0,400.0,Feuil1
ملولش,,,,0.0,,,,0.0,250.0,200.0,4.0,800.0,Feuil1
المجموع,1350.0,810.0,4.4,3570.0,50.0,0.0,,0.0,4600.0,2500.0,3.9,9830.0,Feuil1
,,,,,,,,,,,,,Feuil1
,,,المردود: قنطار/هك,,,,,,,,,,Feuil1
