annee,ann_2008,ann_2009,ann_2010,ann_2011,ann_2012,ann_2013,ann_2014,ann_2015,ann_2016,ann_2017,ann_2018,ann_2019,feuille
consommation-moyenne-mensuelle-mais,60000,62400,72300,68000,68700,74500,89300,97850,95870,87500,81600,81400,Feuil1
consommation-moyenne-mensuelle-tourteau-de-soja,25000,27400,32000,29500,33120,34650,37350,39000,39000,35500,32700,34500,Feuil1
