annee,delegation,montant_dinvestissement_mille_dinars,valeur_subvention_mille_dinars,nombre_de_beneficiaires,feuille
2020,القيروان الشمالية,"28.935,000","15.143,342",4.0,Feuil1
2020,القيروان الجنوبية,"79.421,000","36.816,200",11.0,Feuil1
2020,الشبيكة,"43.145,113","14.009,600",4.0,Feuil1
2020,السبيخة,"138.769,511","30.020,248",8.0,Feuil1
2020,الوسلاتية,"5.150,000","44.554,512",2.0,Feuil1
2020,حفوز,"104.931,078","35.491,875",11.0,Feuil1
2020,العلاء,"17.550,000","10.056,00",1.0,Feuil1
2020,حاجب العيون,"105.262,431","53.947,500",8.0,Feuil1
2020,الشراردة,"11.970,000","49.719,485",2.0,Feuil1
2020,بوحجلة,"62.834,100","84.932,493",7.0,Feuil1
2020,نصرالله,,,,Feuil1
2020,عين جلولة,"12.647,000","5.003,625",3.0,Feuil1
2020,منزل المهيري,,,,Feuil1
2020,المجموع,"610.615,733","214.777,641",61.0,Feuil1
