gouvernorat,sup_agricole_tot_ha,foret_ha,parcours_ha,superficie_cultivee_ha,jachere_ha,feuille
tataouine,1594520,0,1540000,23770,30750,terres agricoles 2018
medenine,838100,5100,561770,236000,35230,terres agricoles 2018
gabes,593990,3100,379530,92160,119200,terres agricoles 2018
kebili,621180,4280,566900,36560,13440,terres agricoles 2018
tozeur,325560,1730,310000,8450,5380,terres agricoles 2018
gafsa,574600,6200,319390,117500,131510,terres agricoles 2018
tunisie,10502550,759360,4244490,4100440,892440,terres agricoles 2018
