annee,delegation_fr,delegation_ar,code_geogra_phique,taux_intensification_public,taux_intensification_prive,taux_exploitation_public,taux_exploitation_prive,feuille
2023,Mahdia,المهدية,3351.0,103.0,52,67.0,26,Feuil1
2023,REJICHE,الرجيش,,,52,,26,Feuil1
2023,Bou Merdes,بومرداس,3352.0,,85,,32,Feuil1
2023,Ouled Chamekh,أولاد الشامخ,3353.0,59.0,148,55.0,98,Feuil1
2023,Chorbane,شربان,3354.0,62.0,108,64.0,50,Feuil1
2023,Hbira,هبيرة,3355.0,62.0,95,54.0,76,Feuil1
2023,Essouassi,السواسي,3356.0,127.0,104,84.0,70,Feuil1
2023,El Jem,الجم,3357.0,37.0,180,33.0,95,Feuil1
2023,Chebba,الشابة,3358.0,0.0,135,0.0,96,Feuil1
2023,Melloulech,ملولش,3359.0,88.0,105,67.0,70,Feuil1
2023,Sidi Alouane,سيدي علوان,3360.0,78.0,150,69.0,95,Feuil1
2023,Ksour Essaf,قصور الساف,3361.0,,56,,35,Feuil1
2023,EL BERADAA*,البرادعة *,,22.0,56,22.0,35,Feuil1
2023,TOTAL,المجموع,33.0,72.0,99,58.0,70,Feuil1
2024,Mahdia,المهدية,3351.0,119.0,61,56.0,51,Feuil1
2024,REJICHE,الرجيش,,,61,,51,Feuil1
2024,Bou Merdes,بومرداس,3352.0,,158,,89,Feuil1
2024,Ouled Chamekh,أولاد الشامخ,3353.0,79.0,119,63.0,84,Feuil1
2024,Chorbane,شربان,3354.0,52.0,82,46.0,70,Feuil1
2024,Hbira,هبيرة,3355.0,68.0,96,56.0,76,Feuil1
2024,Essouassi,السواسي,3356.0,99.0,123,78.0,85,Feuil1
2024,El Jem,الجم,3357.0,70.0,160,51.0,95,Feuil1
2024,Chebba,الشابة,3358.0,0.0,141,0.0,90,Feuil1
2024,Melloulech,ملولش,3359.0,98.0,112,82.0,91,Feuil1
2024,Sidi Alouane,سيدي علوان,3360.0,90.0,150,55.0,85,Feuil1
2024,Ksour Essaf,قصور الساف,3361.0,,63,,45,Feuil1
2024,EL BERADAA*,البرادعة *,,35.0,63,30.0,45,Feuil1
2024,TOTAL,المجموع,33.0,81.0,104,65.0,78,Feuil1
