annee,delegation_fr,delegation_ar,code_geogra_phique,superficies_irigables_ha,superficies_equipees_ha,superficies_exploitees_ha,feuille
2023,Mahdia,المهدية,3351.0,396.0,467.0,358.0,Feuil1
2023,REJICHE,الرجيش,,,0.0,,Feuil1
2023,Bou Merdes,بومرداس,3352.0,0.0,0.0,0.0,Feuil1
2023,Ouled Chamekh,أولاد الشامخ,3353.0,451.0,523.0,251.0,Feuil1
2023,Chorbane,شربان,3354.0,187.0,257.0,107.5,Feuil1
2023,Hbira,هبيرة,3355.0,358.0,431.0,226.85,Feuil1
2023,Essouassi,السواسي,3356.0,150.0,230.0,122.0,Feuil1
2023,El Jem,الجم,3357.0,40.0,220.0,21.0,Feuil1
2023,Chebba,الشابة,3358.0,33.0,74.0,0.0,Feuil1
2023,Melloulech,ملولش,3359.0,100.0,160.0,49.5,Feuil1
2023,Sidi Alouane,سيدي علوان,3360.0,514.0,584.0,358.0,Feuil1
2023,Ksour Essaf,قصور الساف,3361.0,,,,Feuil1
2023,EL BERADAA*,البرادعة *,,80.0,108.0,10.0,Feuil1
2023,TOTAL,المجموع,33.0,2309.0,3054.0,1503.85,Feuil1
2024,Mahdia,المهدية,3351.0,381.0,461.0,341.0,Feuil1
2024,REJICHE,الرجيش,,,,,Feuil1
2024,Bou Merdes,بومرداس,3352.0,0.0,0.0,0.0,Feuil1
2024,Ouled Chamekh,أولاد الشامخ,3353.0,483.0,567.0,347.0,Feuil1
2024,Chorbane,شربان,3354.0,183.0,256.0,77.0,Feuil1
2024,Hbira,هبيرة,3355.0,366.0,450.0,230.0,Feuil1
2024,Essouassi,السواسي,3356.0,150.0,218.0,132.0,Feuil1
2024,El Jem,الجم,3357.0,185.0,220.0,38.0,Feuil1
2024,Chebba,الشابة,3358.0,33.0,74.0,0.0,Feuil1
2024,Melloulech,ملولش,3359.0,100.0,195.0,59.0,Feuil1
2024,Sidi Alouane,سيدي علوان,3360.0,525.0,606.0,418.0,Feuil1
2024,Ksour Essaf,قصور الساف,3361.0,,,,Feuil1
2024,EL BERADAA*,البرادعة *,,80.0,112.0,14.0,Feuil1
2024,TOTAL,المجموع,33.0,2486.0,3159.0,1656.0,Feuil1
