annee,delegation_fr,delegation_ar,code_geogra_phique,superficies_irigables_ha,superficies_equipees_ha,superficies_exploitees_ha,feuille
2023,Mahdia,المهدية,3351.0,716.0,901.0,470.0,Feuil1
2023,REJICHE,الرجيش,,,,,Feuil1
2023,Bou Merdes,بومرداس,3352.0,178.0,200.0,170.0,Feuil1
2023,Ouled Chamekh,أولاد الشامخ,3353.0,412.0,470.0,700.0,Feuil1
2023,Chorbane,شربان,3354.0,256.0,315.0,340.0,Feuil1
2023,Hbira,هبيرة,3355.0,890.0,922.0,870.0,Feuil1
2023,Essouassi,السواسي,3356.0,582.0,635.0,660.0,Feuil1
2023,El Jem,الجم,3357.0,185.0,256.0,460.0,Feuil1
2023,Chebba,الشابة,3358.0,206.0,240.0,320.0,Feuil1
2023,Melloulech,ملولش,3359.0,283.0,300.0,310.0,Feuil1
2023,Sidi Alouane,سيدي علوان,3360.0,79.0,95.0,140.0,Feuil1
2023,Ksour Essaf,قصور الساف,3361.0,287.0,516.0,290.0,Feuil1
2023,EL BERADAA*,البرادعة *,,,,,Feuil1
2023,TOTAL,المجموع,33.0,4074.0,4850.0,4730.0,Feuil1
2024,Mahdia,المهدية,3351.0,540.0,770.0,300.0,Feuil1
2024,REJICHE,الرجيش,,,,,Feuil1
2024,Bou Merdes,بومرداس,3352.0,153.0,164.0,170.0,Feuil1
2024,Ouled Chamekh,أولاد الشامخ,3353.0,470.0,500.0,700.0,Feuil1
2024,Chorbane,شربان,3354.0,180.0,200.0,140.0,Feuil1
2024,Hbira,هبيرة,3355.0,2980.0,3030.0,2260.0,Feuil1
2024,Essouassi,السواسي,3356.0,1000.0,1250.0,850.0,Feuil1
2024,El Jem,الجم,3357.0,315.0,350.0,550.0,Feuil1
2024,Chebba,الشابة,3358.0,250.0,290.0,225.0,Feuil1
2024,Melloulech,ملولش,3359.0,120.0,165.0,114.0,Feuil1
2024,Sidi Alouane,سيدي علوان,3360.0,60.0,80.0,50.0,Feuil1
2024,Ksour Essaf,قصور الساف,3361.0,370.0,380.0,240.0,Feuil1
2024,EL BERADAA*,البرادعة *,,,,,Feuil1
2024,TOTAL,المجموع,33.0,6438.0,7179.0,5599.0,Feuil1
