annee,nom_de_la_nappa,delegation,nombre_de_puits,ressources_million_m3,debit_litre_seconde,exploitation_pour_leau_potable_millionm3,exploitation_pour_lagriculture_million_m3,exploitation_pour_lindustrie_million_m3,exploitation_total_million_m3,salinite_g_litre,feuille
2020.0,بنزرت الشمالية 12211,بنزرت الشمالية,11.0,4.7,6.98,0.2,0.01,0.004,0.214,"0,3-2,7",Feuil1
2020.0,وادي القرع 13111,بنزرت الجنوبية,23.0,0.9,19.9,0.26,0.37,,0.63,"0,35-2,4",Feuil1
2020.0,وادي قنيش13121,العالية,247.0,9.5,211.2,0.44,6.05,0.18,6.67,"0,4-3,45",Feuil1
2020.0,وادي قنيش13131,منزل جميل,35.0,3.2,90.73,2.36,0.51,,2.87,"0,35-3,15",Feuil1
2020.0,منزل بورقيبة 13141,منزل بورقيبة,82.0,3.0,61.0,0.14,1.67,0.18,1.99,"0,8-2,1",Feuil1
2020.0,وادي سجنان 13211,سجنان,12.0,0.8,4.47,0.1,0.043,,0.143,"0,4-0,7",Feuil1
2020.0,ماطر 13511,ماطر,38.0,12.6,50.3,0.66,0.92,0.012,1.592,"0,5-2,8",Feuil1
2020.0,ماطر 13521,ماطر,19.0,,90.36,2.74,0.19,,2.93,"0,3-1,3",Feuil1
2020.0,جومين الأعلى 13531,جومين,30.0,1.3,49.7,1.27,0.3,,1.57,"0,3-1,1",Feuil1
2020.0,وادي الطين 13621,جومين,8.0,1.5,4.83,0.02,0.13,,0.15,"0,5- 0,9",Feuil1
2020.0,وادي مجردة 26011,أوتيك,56.0,4.0,40.0,,1.25,0.02,1.27,"0,8-3,3",Feuil1
2020.0,وادي مجردة 26021,أوتيك,24.0,,39.2,,1.24,,1.24,"1,2- 2,7",Feuil1
2020.0,مجموع الولاية,,585.0,53.2,668.6700000000002,8.19,12.683,0.396,21.269,,Feuil1
2021.0,بنزرت الشمالية 12211,بنزرت الشمالية,12.0,4.7,0.2,0.01,0.018,0.23,,7.4,Feuil1
2021.0,وادي القرع 13111,بنزرت الجنوبية,22.0,0.9,0.26,0.38,,0.63,,20,Feuil1
2021.0,وادي قنيش13121,العالية,250.0,9.5,0.45,5.96,0.17,6.56,,208.5,Feuil1
