annee,delegation,nombre_unites_de_stockage,capacite_de_stockage_qt,quantites_collectes_qt,feuille
2021,Jendouba,7,324000,,Stockage et collecte cereales
2021,Jendouba Nord,1,50000,,Stockage et collecte cereales
2021,bousalem,5,192000,,Stockage et collecte cereales
2021,Baltabouauen,0,0,,Stockage et collecte cereales
2021,Tabarka,0,0,,Stockage et collecte cereales
2021,Aïn Draham,0,0,,Stockage et collecte cereales
2021,Fernana,1,30000,,Stockage et collecte cereales
2021,Ghardimaou,1,15000,,Stockage et collecte cereales
2021,Oued Mliz,3,96000,,Stockage et collecte cereales
2022,Jendouba,7,285000,435976.1,Stockage et collecte cereales
2022,Jendouba Nord,1,121000,27153.8,Stockage et collecte cereales
2022,bousalem,4,192000,315018.6,Stockage et collecte cereales
2022,Baltabouauen,0,0,0.0,Stockage et collecte cereales
2022,Tabarka,0,0,,Stockage et collecte cereales
2022,Aïn Draham,0,0,,Stockage et collecte cereales
2022,Fernana,2,30000,76452.6,Stockage et collecte cereales
2022,Ghardimaou,0,0,,Stockage et collecte cereales
2022,Oued Mliz,3,96000,184409.4,Stockage et collecte cereales
2023,Jendouba,7,285000,74244.6,Stockage et collecte cereales
2023,Jendouba Nord,1,121000,38073.8,Stockage et collecte cereales
2023,bousalem,5,222000,136649.0,Stockage et collecte cereales
2023,Baltabouauen,0,0,0.0,Stockage et collecte cereales
2023,Tabarka,0,0,,Stockage et collecte cereales
2023,Aïn Draham,0,0,,Stockage et collecte cereales
2023,Fernana,2,30000,54041.6,Stockage et collecte cereales
2023,Ghardimaou,0,0,,Stockage et collecte cereales
2023,Oued Mliz,3,96000,35200.4,Stockage et collecte cereales
2024,Jendouba,5,265000,220152.99999999997,Stockage et collecte cereales
2024,Jendouba Nord,3,143000,107219.20000000001,Stockage et collecte cereales
2024,bousalem,8,408000,447282.0,Stockage et collecte cereales
2024,Baltabouauen,0,0,0.0,Stockage et collecte cereales
2024,Tabarka,0,0,,Stockage et collecte cereales
2024,Aïn Draham,0,0,,Stockage et collecte cereales
2024,Fernana,2,33000,71510.6,Stockage et collecte cereales
2024,Ghardimaou,0,0,,Stockage et collecte cereales
2024,Oued Mliz,2,50000,117261.0,Stockage et collecte cereales
