mois_2019,regions,maximum_dinar_la_balle,minimum_dinar_la_balle,feuille
janvier,nord,5.5,3.5,Feuil1
janvier,sahel,6.5,5.0,Feuil1
janvier,centre-et-sud,6.5,5.0,Feuil1
fevrier,nord,5.5,3.5,Feuil1
fevrier,sahel,6.5,5.0,Feuil1
fevrier,centre-et-sud,6.5,5.0,Feuil1
mars,nord,5.0,3.5,Feuil1
mars,sahel,6.0,5.0,Feuil1
mars,centre-et-sud,6.0,5.0,Feuil1
avril,nord,4.5,3.5,Feuil1
avril,sahel,6.0,5.0,Feuil1
avril,centre-et-sud,6.0,5.0,Feuil1
mai,nord,4.0,3.0,Feuil1
mai,sahel,5.5,5.0,Feuil1
mai,centre-et-sud,5.5,5.0,Feuil1
juin,nord,3.5,2.5,Feuil1
juin,sahel,5.0,4.5,Feuil1
juin,centre-et-sud,5.0,4.5,Feuil1
juillet,nord,3.5,2.5,Feuil1
juillet,sahel,4.5,4.0,Feuil1
juillet,centre-et-sud,4.5,4.0,Feuil1
aout,nord,4.0,3.5,Feuil1
aout,sahel,4.5,4.0,Feuil1
aout,centre-et-sud,4.5,4.0,Feuil1
septembre,nord,3.5,2.5,Feuil1
septembre,sahel,5.5,4.0,Feuil1
septembre,centre-et-sud,5.5,4.0,Feuil1
octobre,nord,5.0,2.5,Feuil1
octobre,sahel,5.5,4.0,Feuil1
octobre,centre-et-sud,5.5,4.0,Feuil1
novembre,nord,5.0,3.5,Feuil1
novembre,sahel,6.0,4.0,Feuil1
novembre,centre-et-sud,6.0,4.0,Feuil1
decembre,nord,5.0,3.5,Feuil1
decembre,sahel,6.0,4.0,Feuil1
decembre,centre-et-sud,6.0,4.0,Feuil1
,,,,Feuil1
mois-2020,regions,,,Feuil1
janvier,nord,5.0,3.5,Feuil1
janvier,sahel,6.0,4.0,Feuil1
janvier,centre-et-sud,6.0,4.0,Feuil1
fevrier,nord,5.5,4.0,Feuil1
mars,nord,6.0,5.0,Feuil1
mars,sahel,7.0,5.0,Feuil1
mars,centre-et-sud,7.0,5.0,Feuil1
avril,nord,5.5,5.0,Feuil1
avril,sahel,6.5,5.0,Feuil1
avril,centre-et-sud,6.5,5.0,Feuil1
mai,nord,4.5,3.5,Feuil1
mai,sahel,6.0,5.0,Feuil1
mai,centre-et-sud,6.0,5.0,Feuil1
juin,nord,5.0,4.0,Feuil1
juin,sahel,6.5,4.0,Feuil1
juin,centre-et-sud,6.5,4.0,Feuil1
juillet,nord,5.5,4.0,Feuil1
juillet,sahel,6.5,4.0,Feuil1
juillet,centre-et-sud,6.5,4.0,Feuil1
aout,nord,6.0,4.5,Feuil1
aout,sahel,7.0,5.0,Feuil1
aout,centre-et-sud,7.0,5.0,Feuil1
septembre,nord,6.5,4.5,Feuil1
septembre,sahel,7.5,5.0,Feuil1
septembre,centre-et-sud,7.5,5.0,Feuil1
