delegation_fr,delegation_ar,annee,nombre_centre_de_collecte_lait,quantite_de_refroidissement_litre,quantite_collectee_litre,feuille
Sousse Medina,سوسة المدينة,2016,,,,Agric21 (2)
Sousse Riadh,سوسة الرياض,2016,,,,Agric21 (2)
Sousse Jawhara,سوسة الجوهرة,2016,,,,Agric21 (2)
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2016,,,,Agric21 (2)
Hammam Sousse,حمام سوسة,2016,,,,Agric21 (2)
Akouda,أكودة,2016,1.0,7000.0,2018235.0,Agric21 (2)
Kalaa Kébira,القلعة الكبرى,2016,2.0,18000.0,9157879.0,Agric21 (2)
Sid Bou Ali,سيدي بو علي,2016,,,,Agric21 (2)
Hergla,هرقلة,2016,,,,Agric21 (2)
Enfidha,النفيضة,2016,,,,Agric21 (2)
Bouficha,بوفيشة,2016,1.0,2000.0,1217310.0,Agric21 (2)
Kondar,الكندار,2016,,,,Agric21 (2)
Sid El Héni,سيدي الهاني,2016,,,,Agric21 (2)
M'Saken,مساكن,2016,,,,Agric21 (2)
Kalaa Sghira,القلعة الصغرى,2016,,,,Agric21 (2)
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2016,,,,Agric21 (2)
Sousse Medina,سوسة المدينة,2017,,,,Agric21 (2)
Sousse Riadh,سوسة الرياض,2017,,,,Agric21 (2)
Sousse Jawhara,سوسة الجوهرة,2017,,,,Agric21 (2)
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2017,,,,Agric21 (2)
Hammam Sousse,حمام سوسة,2017,,,,Agric21 (2)
Akouda,أكودة,2017,1.0,7000.0,2068135.0,Agric21 (2)
Kalaa Kébira,القلعة الكبرى,2017,3.0,20500.0,9889802.0,Agric21 (2)
Sid Bou Ali,سيدي بو علي,2017,1.0,8000.0,,Agric21 (2)
Hergla,هرقلة,2017,,,,Agric21 (2)
Enfidha,النفيضة,2017,,,,Agric21 (2)
Bouficha,بوفيشة,2017,1.0,2000.0,1658340.0,Agric21 (2)
Kondar,الكندار,2017,,,,Agric21 (2)
Sid El Héni,سيدي الهاني,2017,,,,Agric21 (2)
M'Saken,مساكن,2017,,,,Agric21 (2)
Kalaa Sghira,القلعة الصغرى,2017,,,,Agric21 (2)
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2017,,,,Agric21 (2)
Sousse Medina,سوسة المدينة,2018,,,,Agric21 (2)
Sousse Riadh,سوسة الرياض,2018,,,,Agric21 (2)
Sousse Jawhara,سوسة الجوهرة,2018,,,,Agric21 (2)
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2018,,,,Agric21 (2)
Hammam Sousse,حمام سوسة,2018,,,,Agric21 (2)
Akouda,أكودة,2018,1.0,7000.0,1719453.0,Agric21 (2)
Kalaa Kébira,القلعة الكبرى,2018,3.0,20500.0,8613898.0,Agric21 (2)
Sid Bou Ali,سيدي بو علي,2018,1.0,8000.0,268824.0,Agric21 (2)
Hergla,هرقلة,2018,,,,Agric21 (2)
Enfidha,النفيضة,2018,,,,Agric21 (2)
Bouficha,بوفيشة,2018,1.0,2000.0,2009276.0,Agric21 (2)
Kondar,الكندار,2018,,,,Agric21 (2)
Sid El Héni,سيدي الهاني,2018,,,,Agric21 (2)
M'Saken,مساكن,2018,,,,Agric21 (2)
Kalaa Sghira,القلعة الصغرى,2018,,,,Agric21 (2)
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2018,,,,Agric21 (2)
Sousse Medina,سوسة المدينة,2019,,,,Agric21 (2)
Sousse Riadh,سوسة الرياض,2019,,,,Agric21 (2)
Sousse Jawhara,سوسة الجوهرة,2019,,,,Agric21 (2)
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2019,,,,Agric21 (2)
Hammam Sousse,حمام سوسة,2019,,,,Agric21 (2)
Akouda,أكودة,2019,1.0,7000.0,2153260.0,Agric21 (2)
Kalaa Kébira,القلعة الكبرى,2019,3.0,20500.0,8581594.0,Agric21 (2)
Sid Bou Ali,سيدي بو علي,2019,1.0,3000.0,252689.0,Agric21 (2)
Hergla,هرقلة,2019,,,,Agric21 (2)
Enfidha,النفيضة,2019,,,,Agric21 (2)
Bouficha,بوفيشة,2019,1.0,2000.0,3089672.0,Agric21 (2)
Kondar,الكندار,2019,,,,Agric21 (2)
Sid El Héni,سيدي الهاني,2019,,,,Agric21 (2)
M'Saken,مساكن,2019,,,,Agric21 (2)
Kalaa Sghira,القلعة الصغرى,2019,,,,Agric21 (2)
zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,2019,,,,Agric21 (2)
Sousse Medina,سوسة المدينة,2020,,,,Agric21 (2)
Sousse Riadh,سوسة الرياض,2020,,,,Agric21 (2)
Sousse Jawhara,سوسة الجوهرة,2020,,,,Agric21 (2)
Sidi Abdelhamid,سوسة سيدي عبد الحميد,2020,,,,Agric21 (2)
Hammam Sousse,حمام سوسة,2020,,,,Agric21 (2)
