annee,delegation,type_de_peche,production_en_tonne,feuille
2022.0,Médenine Sud,Peche_cotiere,3618.0,Feuil1
2022.0,Sidi Makhlouf,Peche_cotiere,843.0,Feuil1
2022.0,Ajim,Peche_cotiere,2085.0,Feuil1
2022.0,Houmt Souk,Peche_cotiere,5123.0,Feuil1
2022.0,Midoun,Peche_cotiere,0.0,Feuil1
2022.0,Zarzis,Peche_cotiere,4419.0,Feuil1
2022.0,Ben Guerdane,Peche_cotiere,908.0,Feuil1
2022.0,Médenine Nord,Peche_cotiere,,Feuil1
2022.0,Médenine Sud,Peche_en_profondeur,0.0,Feuil1
2022.0,Sidi Makhlouf,Peche_en_profondeur,0.0,Feuil1
2022.0,Ajim,Peche_en_profondeur,0.0,Feuil1
2022.0,Houmt Souk,Peche_en_profondeur,0.0,Feuil1
2022.0,Midoun,Peche_en_profondeur,0.0,Feuil1
2022.0,Zarzis,Peche_en_profondeur,38.0,Feuil1
2022.0,Ben Guerdane,Peche_en_profondeur,0.0,Feuil1
2022.0,Médenine Nord,Peche_en_profondeur,,Feuil1
2022.0,Médenine Sud,Peche_au_thon,0.0,Feuil1
2022.0,Sidi Makhlouf,Peche_au_thon,0.0,Feuil1
2022.0,Ajim,Peche_au_thon,0.0,Feuil1
2022.0,Houmt Souk,Peche_au_thon,0.0,Feuil1
2022.0,Midoun,Peche_au_thon,0.0,Feuil1
2022.0,Zarzis,Peche_au_thon,203.0,Feuil1
2022.0,Ben Guerdane,Peche_au_thon,0.0,Feuil1
2022.0,Médenine Nord,Peche_au_thon,,Feuil1
2022.0,Médenine Sud,Peche_au_lac_de_Bibans,0.0,Feuil1
2022.0,Sidi Makhlouf,Peche_au_lac_de_Bibans,0.0,Feuil1
2022.0,Ajim,Peche_au_lac_de_Bibans,0.0,Feuil1
2022.0,Houmt Souk,Peche_au_lac_de_Bibans,0.0,Feuil1
2022.0,Midoun,Peche_au_lac_de_Bibans,0.0,Feuil1
2022.0,Zarzis,Peche_au_lac_de_Bibans,87.0,Feuil1
2022.0,Ben Guerdane,Peche_au_lac_de_Bibans,0.0,Feuil1
2022.0,Médenine Nord,Peche_au_lac_de_Bibans,,Feuil1
2022.0,Médenine Sud,Peche_a_la_lumiere,0.0,Feuil1
2022.0,Sidi Makhlouf,Peche_a_la_lumiere,0.0,Feuil1
2022.0,Ajim,Peche_a_la_lumiere,0.0,Feuil1
2022.0,Houmt Souk,Peche_a_la_lumiere,540.0,Feuil1
2022.0,Midoun,Peche_a_la_lumiere,0.0,Feuil1
2022.0,Zarzis,Peche_a_la_lumiere,4247.0,Feuil1
2022.0,Ben Guerdane,Peche_a_la_lumiere,0.0,Feuil1
2022.0,Médenine Nord,Peche_a_la_lumiere,,Feuil1
2022.0,Médenine Sud,Peche_a_l’eponge,0.0,Feuil1
2022.0,Sidi Makhlouf,Peche_a_l’eponge,0.0,Feuil1
2022.0,Ajim,Peche_a_l’eponge,0.0,Feuil1
2022.0,Houmt Souk,Peche_a_l’eponge,0.0,Feuil1
2022.0,Midoun,Peche_a_l’eponge,0.0,Feuil1
2022.0,Zarzis,Peche_a_l’eponge,5.0,Feuil1
2022.0,Ben Guerdane,Peche_a_l’eponge,0.0,Feuil1
2022.0,Médenine Nord,Peche_a_l’eponge,,Feuil1
2022.0,Médenine Sud,Aquaculture,0.0,Feuil1
2022.0,Sidi Makhlouf,Aquaculture,0.0,Feuil1
2022.0,Ajim,Aquaculture,0.0,Feuil1
2022.0,Houmt Souk,Aquaculture,0.0,Feuil1
2022.0,Midoun,Aquaculture,0.0,Feuil1
2022.0,Zarzis,Aquaculture,0.0,Feuil1
2022.0,Ben Guerdane,Aquaculture,0.0,Feuil1
2022.0,Médenine Nord,Aquaculture,1.4,Feuil1
2022.0,Médenine Sud,Peche_aux_mollusques,0.0,Feuil1
2022.0,Sidi Makhlouf,Peche_aux_mollusques,0.0,Feuil1
2022.0,Ajim,Peche_aux_mollusques,0.0,Feuil1
2022.0,Houmt Souk,Peche_aux_mollusques,0.0,Feuil1
2022.0,Midoun,Peche_aux_mollusques,0.0,Feuil1
2022.0,Zarzis,Peche_aux_mollusques,0.0,Feuil1
2022.0,Ben Guerdane,Peche_aux_mollusques,0.0,Feuil1
2022.0,Médenine Nord,Peche_aux_mollusques,,Feuil1
2023.0,Médenine Sud,Peche_cotiere,982.0,Feuil1
2023.0,Sidi Makhlouf,Peche_cotiere,776.0,Feuil1
2023.0,Ajim,Peche_cotiere,1570.0,Feuil1
2023.0,Houmt Souk,Peche_cotiere,3041.0,Feuil1
2023.0,Midoun,Peche_cotiere,0.0,Feuil1
2023.0,Zarzis,Peche_cotiere,3240.0,Feuil1
2023.0,Ben Guerdane,Peche_cotiere,867.0,Feuil1
2023.0,Médenine Nord,Peche_cotiere,0.0,Feuil1
2023.0,Médenine Sud,Peche_en_profondeur,0.0,Feuil1
2023.0,Sidi Makhlouf,Peche_en_profondeur,0.0,Feuil1
2023.0,Ajim,Peche_en_profondeur,0.0,Feuil1
2023.0,Houmt Souk,Peche_en_profondeur,0.0,Feuil1
2023.0,Midoun,Peche_en_profondeur,0.0,Feuil1
2023.0,Zarzis,Peche_en_profondeur,26.0,Feuil1
2023.0,Ben Guerdane,Peche_en_profondeur,0.0,Feuil1
2023.0,Médenine Nord,Peche_en_profondeur,0.0,Feuil1
2023.0,Médenine Sud,Peche_au_thon,0.0,Feuil1
2023.0,Sidi Makhlouf,Peche_au_thon,0.0,Feuil1
2023.0,Ajim,Peche_au_thon,0.0,Feuil1
2023.0,Houmt Souk,Peche_au_thon,0.0,Feuil1
2023.0,Midoun,Peche_au_thon,0.0,Feuil1
2023.0,Zarzis,Peche_au_thon,294.0,Feuil1
2023.0,Ben Guerdane,Peche_au_thon,0.0,Feuil1
2023.0,Médenine Nord,Peche_au_thon,0.0,Feuil1
2023.0,Médenine Sud,Peche_au_lac_de_Bibans,0.0,Feuil1
2023.0,Sidi Makhlouf,Peche_au_lac_de_Bibans,0.0,Feuil1
2023.0,Ajim,Peche_au_lac_de_Bibans,0.0,Feuil1
2023.0,Houmt Souk,Peche_au_lac_de_Bibans,0.0,Feuil1
2023.0,Midoun,Peche_au_lac_de_Bibans,0.0,Feuil1
2023.0,Zarzis,Peche_au_lac_de_Bibans,95.0,Feuil1
2023.0,Ben Guerdane,Peche_au_lac_de_Bibans,0.0,Feuil1
