annee,delegation,nbre_perimetres_irrigees_public,superficie_perimetres_irrigees_public_ha,superficie_perimetres_irrigees_prives,feuille
2023,قابس المدينة,2.0,590,0.0,Feuil1
2023,قابس الغربية,8.0,982,243.0,Feuil1
2023,قابس الجنوبية,15.0,2226,1433.5,Feuil1
2023,غنوش,5.0,1104,,Feuil1
2023,المطوية/وذرف,6.0,957,2370.5,Feuil1
2023,منزل الحبيب,17.0,1515,426.0,Feuil1
2023,الحامة/الحامة غ,29.0,4156,986.0,Feuil1
2023,مطماطة القديمة,1.0,50,,Feuil1
2023,مطماطة الجديدة,13.0,1407,208.0,Feuil1
2023,مارث,33.0,5162,1375.0,Feuil1
2023,المجموع,129.0,18149,7042.0,Feuil1
2024,قابس المدينة,2.0,590,0.0,Feuil1
2024,قابس الغربية,8.0,982,243.0,Feuil1
2024,قابس الجنوبية,15.0,2231,1433.5,Feuil1
2024,غنوش,5.0,1104,,Feuil1
2024,المطوية/وذرف,6.0,957,2424.0,Feuil1
2024,منزل الحبيب,23.0,1575,476.0,Feuil1
2024,الحامة/الحامة غ,29.0,4236,1016.0,Feuil1
2024,مطماطة القديمة,1.0,50,,Feuil1
2024,مطماطة الجديدة,14.0,1655,226.0,Feuil1
2024,مارث,33.0,5162,1416.0,Feuil1
2024,دخيلة توجان,,0,0.0,Feuil1
2024,المجموع,136.0,18542,7234.5,Feuil1
