نوع_المركب,2019,2020,2021,feuille
مراكب صيد ساحلي مجهزة بمحرك,599,619,578,Feuil1
مراكب صيد ساحلي بدون محرك,831,808,825,Feuil1
مراكب صيد بالجر,98,88,94,Feuil1
مراكب صيد السمك الأزرق,78,88,85,Feuil1
مراكب صيد التن,7,8,7,Feuil1
مراكب تربية اسماك,6,6,14,Feuil1
المجموع,1619,1617,1603,Feuil1
