annee,delegation,stockage_dhuile_tonnes,capacite_tonnes,nombre,feuille
2021,Jendouba,120.0,8.0,120.0,Feuil2
2021,Jendouba Nord,0.0,70.0,0.0,Feuil2
2021,bousalem,540.0,185.0,540.0,Feuil2
2021,Baltabouauen,255.0,195.0,255.0,Feuil2
2021,Tabarka,0.0,0.0,0.0,Feuil2
2021,Aïn Draham,0.0,1.0,0.0,Feuil2
2021,Fernana,0.0,60.0,0.0,Feuil2
2021,Ghardimaou,60.0,70.0,60.0,Feuil2
2021,Oued Mliz,120.0,40.0,120.0,Feuil2
2022,Jendouba,120.0,8.0,2.0,Feuil2
2022,Jendouba Nord,0.0,70.0,1.0,Feuil2
2022,bousalem,540.0,185.0,3.0,Feuil2
2022,Baltabouauen,255.0,195.0,2.0,Feuil2
2022,Tabarka,0.0,0.0,0.0,Feuil2
2022,Aïn Draham,0.0,1.0,1.0,Feuil2
2022,Fernana,0.0,60.0,0.0,Feuil2
2022,Ghardimaou,60.0,70.0,1.0,Feuil2
2022,Oued Mliz,120.0,40.0,1.0,Feuil2
2023,Jendouba,120.0,8.0,1.0,Feuil2
2023,Jendouba Nord,0.0,70.0,1.0,Feuil2
2023,bousalem,560.0,185.0,3.0,Feuil2
2023,Baltabouauen,255.0,315.0,2.0,Feuil2
2023,Tabarka,0.0,0.0,0.0,Feuil2
2023,Aïn Draham,2.0,1.0,1.0,Feuil2
2023,Fernana,0.0,60.0,0.0,Feuil2
2023,Ghardimaou,60.0,70.0,1.0,Feuil2
2023,Oued Mliz,120.0,40.0,1.0,Feuil2
2024,Jendouba,120.0,8.0,1.0,Feuil2
2024,Jendouba Nord,0.0,70.0,1.0,Feuil2
2024,bousalem,560.0,185.0,3.0,Feuil2
2024,Baltabouauen,255.0,315.0,3.0,Feuil2
2024,Tabarka,,,,Feuil2
2024,Aïn Draham,2.0,1.0,1.0,Feuil2
2024,Fernana,,60.0,1.0,Feuil2
2024,Ghardimaou,60.0,70.0,1.0,Feuil2
2024,Oued Mliz,120.0,40.0,1.0,Feuil2
