annee,nom_de_la_nappe,nombre_de_puits,ressources_mm3,exploitation_mm3,feuille
2010,وادي شافرو,,,,Feuil1
2010,منوبة فوشانة,422.0,1.0,0.56,Feuil1
2010,ضاحية تونس الشمالية,39.0,1.0,0.66,Feuil1
2010,سكرة - العوينة,46.0,1.6,0.42,Feuil1
2010,تونس,112.0,0.8,0.23,Feuil1
2010,المجموع,619.0,4.4,1.87,Feuil1
2015,وادي شافرو,42.0,1.5,0.3,Feuil1
2015,منوبة فوشانة,422.0,1.0,0.56,Feuil1
2015,ضاحية تونس الشمالية,38.0,1.0,0.65,Feuil1
2015,سكرة - العوينة,31.0,1.6,0.4,Feuil1
2015,تونس,112.0,0.8,0.23,Feuil1
2015,المجموع,645.0,5.9,2.14,Feuil1
2020,وادي شافرو,29.0,0.5,0.16,Feuil1
2020,منوبة فوشانة,62.0,1.0,0.31,Feuil1
2020,ضاحية تونس الشمالية,8.0,1.0,0.07,Feuil1
2020,سكرة - العوينة,31.0,1.6,0.27,Feuil1
2020,تونس,112.0,0.8,0.23,Feuil1
2020,المجموع,242.0,4.9,1.04,Feuil1
