mois,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille
Ble-dur,94.4,88.0,108.70000000000002,127.69999999999999,103.90000000000003,4.599999999999909,4.900000000000091,29.5,23.699999999999932,20.700000000000045,58.19999999999993,65.20000000000005,M°2018 (1000T)
Ble-tendre,93.8,76.89999999999999,107.10000000000002,163.7,114.89999999999998,91.39999999999998,81.90000000000009,129.5999999999999,106.20000000000005,108.20000000000005,53.799999999999955,143.5999999999999,M°2018 (1000T)
Orge,27.5,53.599999999999994,52.30000000000001,77.1,52.69999999999999,27.69999999999999,38.60000000000002,49.10000000000002,72.5,51.5,104.60000000000002,50.799999999999955,M°2018 (1000T)
Maïs,45.5,69.5,30.69999999999999,126.69999999999999,104.30000000000001,34.30000000000001,58.60000000000002,126.5,68.39999999999998,38.10000000000002,51.89999999999998,111.39999999999998,M°2018 (1000T)
Pomme-de-terre,5.1,8.8,2.299999999999999,0.10000000000000142,0.0,0.09999999999999787,0.0,0.0,0.0,0.0,4.300000000000001,8.5,M°2018 (1000T)
Viandes,0.2,0.2,0.29999999999999993,0.40000000000000013,0.7,0.8,0.5,0.5,0.49999999999999956,0.3000000000000007,0.2999999999999998,0.5,M°2018 (1000T)
Lait-et-derives,1.6,1.1999999999999997,2.2,1.7999999999999998,1.3999999999999995,1.8000000000000007,1.3000000000000007,1.6999999999999993,3.1000000000000014,5.0,2.8999999999999986,5.199999999999999,M°2018 (1000T)
Huiles-vegetales,31.5,25.5,7.900000000000006,17.19999999999999,22.900000000000006,16.200000000000003,19.89999999999999,18.700000000000017,18.69999999999999,24.400000000000006,26.5,6.299999999999983,M°2018 (1000T)
Sucre,139.2,43.5,96.10000000000002,18.80000000000001,57.0,55.89999999999998,54.30000000000001,104.40000000000003,0.39999999999997726,0.0,44.69999999999993,101.5,M°2018 (1000T)
Tourtaux-de-soja,0.0,0.0,0.0,6.0,0.0,0.0,0.0,21.0,5.100000000000001,0.0,5.0,0.0,M°2018 (1000T)
