annee,gouvernorat,superficie_ha,nombre,feuille
2002,تونس,0.28,5.0,الحرائق الغابية
2002,أريانة,0.5493,7.0,الحرائق الغابية
2002,بن عروس,1000.0,1.0,الحرائق الغابية
2002,منوبة,1.51,3.0,الحرائق الغابية
2002,نابل,12.92,25.0,الحرائق الغابية
2002,زغوان,2.43,1.0,الحرائق الغابية
2002,بنزرات,1.25,1.0,الحرائق الغابية
2002,باجة,3.52,6.0,الحرائق الغابية
2002,جندوبة,33.72,33.0,الحرائق الغابية
2002,الكاف,1.32,5.0,الحرائق الغابية
2002,سليانة,3.455,11.0,الحرائق الغابية
2002,القصرين,6.16,12.0,الحرائق الغابية
2002,سيدي بوزيد,0.0,0.0,الحرائق الغابية
2002,القيروان,2.5,1.0,الحرائق الغابية
2002,قفصة,0.15,1.0,الحرائق الغابية
2002,سوسة,0.0,0.0,الحرائق الغابية
2002,صفاقس,0.0,0.0,الحرائق الغابية
2002,المهدية,0.0,0.0,الحرائق الغابية
2002,المنستير,0.0,0.0,الحرائق الغابية
2002,قابس,2.0,1.0,الحرائق الغابية
2002,توزر,0.0,0.0,الحرائق الغابية
2002,تطاوين,0.0,0.0,الحرائق الغابية
2002,مدنين,0.0,0.0,الحرائق الغابية
2002,قبلي,0.0,0.0,الحرائق الغابية
2003,تونس,8.887,11.0,الحرائق الغابية
2003,أريانة,2.523,15.0,الحرائق الغابية
2003,بن عروس,11.471,30.0,الحرائق الغابية
2003,منوبة,15.251,5.0,الحرائق الغابية
2003,نابل,130.513,17.0,الحرائق الغابية
2003,زغوان,30.39,20.0,الحرائق الغابية
2003,بنزرات,55.11,5.0,الحرائق الغابية
2003,باجة,19.752,7.0,الحرائق الغابية
2003,جندوبة,75.868,52.0,الحرائق الغابية
2003,الكاف,0.35,3.0,الحرائق الغابية
2003,سليانة,9.81,16.0,الحرائق الغابية
2003,القصرين,1.46,10.0,الحرائق الغابية
2003,سيدي بوزيد,0.0,0.0,الحرائق الغابية
2003,القيروان,0.41,3.0,الحرائق الغابية
2003,قفصة,0.57,3.0,الحرائق الغابية
2003,سوسة,3.0,1.0,الحرائق الغابية
2003,صفاقس,0.0,0.0,الحرائق الغابية
2003,المهدية,0.0,0.0,الحرائق الغابية
2003,المنستير,0.0,0.0,الحرائق الغابية
2003,قابس,0.0,0.0,الحرائق الغابية
2003,توزر,0.0,0.0,الحرائق الغابية
2003,تطاوين,0.0,0.0,الحرائق الغابية
2003,مدنين,0.0,0.0,الحرائق الغابية
2003,قبلي,0.0,0.0,الحرائق الغابية
2004,تونس,1.015,2.0,الحرائق الغابية
2004,أريانة,8.893,3.0,الحرائق الغابية
2004,بن عروس,2.96,16.0,الحرائق الغابية
2004,منوبة,1.02,2.0,الحرائق الغابية
2004,نابل,8.871,15.0,الحرائق الغابية
2004,زغوان,16.389,20.0,الحرائق الغابية
2004,بنزرات,3.5,4.0,الحرائق الغابية
2004,باجة,8.823,9.0,الحرائق الغابية
2004,جندوبة,12.289,39.0,الحرائق الغابية
2004,الكاف,15.65,7.0,الحرائق الغابية
2004,سليانة,29.534,26.0,الحرائق الغابية
2004,القصرين,0.0,0.0,الحرائق الغابية
2004,سيدي بوزيد,3.0,1.0,الحرائق الغابية
2004,القيروان,0.48,1.0,الحرائق الغابية
2004,قفصة,1.685,3.0,الحرائق الغابية
2004,سوسة,1.0,2.0,الحرائق الغابية
2004,صفاقس,0.0,0.0,الحرائق الغابية
2004,المهدية,5.0,1.0,الحرائق الغابية
2004,المنستير,0.0,0.0,الحرائق الغابية
2004,قابس,0.0,0.0,الحرائق الغابية
2004,توزر,0.0,0.0,الحرائق الغابية
2004,تطاوين,0.0,0.0,الحرائق الغابية
2004,مدنين,0.0,0.0,الحرائق الغابية
2004,قبلي,0.0,0.0,الحرائق الغابية
2005,تونس,4.44,11.0,الحرائق الغابية
2005,أريانة,26.347,52.0,الحرائق الغابية
2005,بن عروس,32.347,59.0,الحرائق الغابية
2005,منوبة,29.57,9.0,الحرائق الغابية
2005,نابل,102.018,54.0,الحرائق الغابية
2005,زغوان,161.413,40.0,الحرائق الغابية
2005,بنزرات,1.255,2.0,الحرائق الغابية
2005,باجة,35.315,12.0,الحرائق الغابية
2005,جندوبة,70.356,63.0,الحرائق الغابية
2005,الكاف,0.0,0.0,الحرائق الغابية
2005,سليانة,671.046,98.0,الحرائق الغابية
2005,القصرين,1.79,12.0,الحرائق الغابية
2005,سيدي بوزيد,0.0,0.0,الحرائق الغابية
2005,القيروان,16.0,4.0,الحرائق الغابية
2005,قفصة,0.0,0.0,الحرائق الغابية
2005,سوسة,0.0,0.0,الحرائق الغابية
2005,صفاقس,0.0,0.0,الحرائق الغابية
2005,المهدية,15.0,1.0,الحرائق الغابية
2005,المنستير,0.0,0.0,الحرائق الغابية
2005,قابس,0.0,0.0,الحرائق الغابية
2005,توزر,0.0,0.0,الحرائق الغابية
2005,تطاوين,0.0,0.0,الحرائق الغابية
2005,مدنين,0.0,0.0,الحرائق الغابية
2005,قبلي,0.0,0.0,الحرائق الغابية
2006,تونس,1.085,8.0,الحرائق الغابية
2006,أريانة,5.075,13.0,الحرائق الغابية
2006,بن عروس,1.0,1.0,الحرائق الغابية
2006,منوبة,0.0,0.0,الحرائق الغابية
2006,نابل,3.695,11.0,الحرائق الغابية
2006,زغوان,4.7,5.0,الحرائق الغابية
2006,بنزرات,20.31,7.0,الحرائق الغابية
2006,باجة,5.5,3.0,الحرائق الغابية
2006,جندوبة,3.5,2.0,الحرائق الغابية
2006,الكاف,0.23,2.0,الحرائق الغابية
2006,سليانة,15.3904,27.0,الحرائق الغابية
2006,القصرين,1.4525,4.0,الحرائق الغابية
2006,سيدي بوزيد,0.0,0.0,الحرائق الغابية
2006,القيروان,6.0,1.0,الحرائق الغابية
2006,قفصة,0.0,0.0,الحرائق الغابية
2006,سوسة,0.0,0.0,الحرائق الغابية
2006,صفاقس,0.0,0.0,الحرائق الغابية
2006,المهدية,20.0,1.0,الحرائق الغابية
2006,المنستير,0.0,0.0,الحرائق الغابية
2006,قابس,0.0,0.0,الحرائق الغابية
2006,توزر,0.0,0.0,الحرائق الغابية
2006,تطاوين,0.0,0.0,الحرائق الغابية
2006,مدنين,3.0,3.0,الحرائق الغابية
2006,قبلي,0.0,0.0,الحرائق الغابية
2007,تونس,0.0,0.0,الحرائق الغابية
