gouvernorat,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,feuille
gabes,20.0,21.0,20.0,20.0,20.0,20,25.8,26,26,26.0,26.0,30.0,30.0,25.0,25.0,dattes en 1000 tonnes
kebili,65.0,58.0,69.0,65.0,79.9,91,97.0,112,115,114.0,121.5,150.0,160.0,200.0,207.0,dattes en 1000 tonnes
tozeur,38.0,33.6,38.0,32.7,38.5,41,44.0,44,42,47.5,52.0,51.1,55.2,58.2,50.5,dattes en 1000 tonnes
gafsa,4.9,5.4,6.3,6.3,6.6,7,6.7,8,8,5.4,8.0,8.0,8.0,8.0,8.0,dattes en 1000 tonnes
