mois_fr,mois_ar,beja_nord_باجة_الشمالية,beja_sud_باجة_الجنوبية,amdoun_عمدون,nefza_نفزة,teboursouk_تبرسق,medjez_el_bab_مجاز_الباب,testour_تستور,goubellat_قبلاط,thibar_تيبار,feuille
Septembre,سبتمبر,38.0,35.8,36,37.0,37.0,41.0,26,24,37,Moyenne_Pluvio_Beja
Octobre,أكتوبر,66.0,35.5,66,112.0,63.0,52.0,53,56,53,Moyenne_Pluvio_Beja
Novembre,نوفمبر,68.0,54.5,92,148.0,60.0,43.0,55,47,63,Moyenne_Pluvio_Beja
Décembre,ديسمبر,98.0,70.3,101,146.0,72.0,48.0,45,41,93,Moyenne_Pluvio_Beja
Janvier,جانفي,105.0,76.0,94,126.0,75.0,52.0,57,51,86,Moyenne_Pluvio_Beja
Février,فيفري,83.0,59.8,75,116.0,63.0,57.0,45,45,74,Moyenne_Pluvio_Beja
Mars,مارس,64.0,39.3,83,97.0,65.0,44.0,53,50,68,Moyenne_Pluvio_Beja
Avril,أفريل,54.0,45.0,51,75.0,59.0,35.0,38,32,56,Moyenne_Pluvio_Beja
Mai,ماي,31.0,28.8,26,31.0,33.0,23.0,24,24,40,Moyenne_Pluvio_Beja
Juin,جوان,15.0,16.3,8,8.5,22.0,14.0,7,8,29,Moyenne_Pluvio_Beja
Juillet,جويلية,4.2,4.7,4,2.6,7.1,3.9,7,5,5,Moyenne_Pluvio_Beja
Août,أوت,7.8,11.6,4,7.0,12.0,8.9,6,3,7,Moyenne_Pluvio_Beja
Total_année,مجموع السنة,634.0,477.6000000000001,640,906.1,568.1,421.79999999999995,416,386,611,Moyenne_Pluvio_Beja
