annee,plantations_forestieres,plantations_pastorales,feuille
2000-2001,13954,10281,Feuil1
2001-2002,7800,7525,Feuil1
2002-2003,9488,10641,Feuil1
2003-2004,9295,5963,Feuil1
2004-2005,11844,7967,Feuil1
2005-2006,15093,5949,Feuil1
2006-2007,13118,6898,Feuil1
2007-2008,9472,6038,Feuil1
2008-2009,11249,6855,Feuil1
2009-2010,12246,7014,Feuil1
2010-2011,4843,1493,Feuil1
2011-2012,6382,2181,Feuil1
2012-2013,4105,2566,Feuil1
2013-2014,4127,2876,Feuil1
2014-2015,5138,2636,Feuil1
2015-2016,4078,1764,Feuil1
2016-2017,2932,1758,Feuil1
2017-2018,2601,1702,Feuil1
2018-2019,2854,1727,Feuil1
2019-2020,2618,1306,Feuil1
2020-2021,2200,1800,Feuil1
