مجموع_2022,مجموع_2021,التحويل_الاولي_2022,التحويل_الاولي_2021,خدمات_فلاحية_2022,خدمات_فلاحية_2021,تربية_احياء_مايية,تربية_احياء_مايية_2021,صيد_بحري_2022,صيد_بحري_2021,فلاحة_2022,فلاحة2021,unnamed_13,feuille
1709.0,858.0,0.0,0.0,541.0,440.0,0.0,0.0,1168.0,418.0,0.0,0.0,تونس,P3
3743.0,1144.0,688.0,0.0,220.0,60.0,0.0,0.0,0.0,19.0,2835.0,1065.0,أريانة,P3
9406.0,2907.0,191.0,224.0,2466.0,198.0,0.0,0.0,0.0,0.0,6750.0,2485.0,بن عروس,P3
34470.0,44660.0,7552.0,400.0,891.0,1289.0,0.0,156.0,3069.0,453.0,22958.0,42363.0,نابل,P3
15190.0,22912.0,0.0,2201.0,84.0,7.0,0.0,0.0,0.0,0.0,15106.0,20704.0,زغوان,P3
15848.0,21026.0,0.0,248.0,843.0,862.0,484.0,140.0,1908.0,232.0,12613.0,19544.0,بنزرت,P3
17718.0,3241.0,500.0,0.0,764.0,227.0,0.0,0.0,0.0,0.0,16454.0,3014.0,منوبة,P3
98084.0,96747.0,8930.0,3073.0,5808.0,3083.0,484.0,296.0,6145.0,1122.0,76716.0,89174.0,الشمال الشرقي,P3
19461.0,17192.0,201.0,0.0,8005.0,1162.0,0.0,0.0,0.0,0.0,11255.0,16031.0,باجة,P3
24007.0,23818.0,132.0,0.0,10391.0,3197.0,0.0,0.0,1614.0,0.0,11871.0,20621.0,جندوبة,P3
15595.0,10997.0,1497.0,0.0,3616.0,177.0,0.0,0.0,0.0,0.0,10482.0,10820.0,الكاف,P3
20373.0,12149.0,1993.0,2290.0,1963.0,365.0,0.0,0.0,0.0,0.0,16417.0,9493.0,سليانة,P3
79436.0,64156.0,3823.0,2290.0,23975.0,4900.0,0.0,0.0,1614.0,0.0,50025.0,56966.0,الشمال الغربي,P3
29376.0,27405.0,10124.0,2395.0,7260.0,5798.0,0.0,0.0,0.0,0.0,11992.0,19212.0,القيروان,P3
36195.0,32620.0,1355.0,2814.0,1149.0,438.0,0.0,0.0,0.0,0.0,33691.0,29367.0,القصرين,P3
22401.0,35012.0,0.0,0.0,3839.0,3977.0,0.0,0.0,0.0,0.0,18562.0,31035.0,سيدي بوزيد,P3
87972.0,95037.0,11480.0,5209.0,12249.0,10214.0,0.0,0.0,0.0,0.0,64244.0,79614.0,الوسط الغربي,P3
12691.0,5056.0,2553.0,83.0,310.0,399.0,9828.0,1181.0,0.0,0.0,0.0,3394.0,سوسة,P3
18122.0,11010.0,4161.0,852.0,1456.0,1149.0,7490.0,1362.0,4207.0,7042.0,808.0,606.0,المنستير,P3
45121.0,16891.0,9645.0,10603.0,2713.0,3474.0,12662.0,0.0,8328.0,1554.0,11773.0,1260.0,المهدية,P3
52794.0,29762.0,16172.0,2260.0,3533.0,2528.0,0.0,0.0,11188.0,3223.0,21901.0,21750.0,صفاقس,P3
128728.0,62719.0,32531.0,13798.0,8012.0,7550.0,29980.0,2543.0,23723.0,11818.0,34481.0,27010.0,الوسط الشرقي,P3
13977.0,16283.0,157.0,0.0,1339.0,1197.0,0.0,0.0,0.0,0.0,12482.0,15086.0,قفصة,P3
5063.0,5140.0,767.0,78.0,691.0,799.0,0.0,0.0,0.0,0.0,3605.0,4262.0,توزر,P3
6835.0,4813.0,0.0,0.0,1357.0,1135.0,0.0,0.0,0.0,0.0,5479.0,3678.0,قبلي,P3
25876.0,26236.0,923.0,78.0,3387.0,3131.0,0.0,0.0,0.0,0.0,21566.0,23027.0,الجنوب الغربي,P3
37263.0,12928.0,0.0,0.0,3743.0,2023.0,70.0,0.0,1351.0,1341.0,32099.0,9563.0,قابس,P3
17847.0,13790.0,0.0,0.0,3137.0,2308.0,0.0,0.0,5813.0,3173.0,8896.0,8309.0,مدنين,P3
6192.0,9245.0,0.0,0.0,394.0,2075.0,0.0,0.0,0.0,0.0,5798.0,7170.0,تطاوين,P3
61302.0,35962.0,0.0,0.0,7274.0,6406.0,70.0,0.0,7164.0,4514.0,46794.0,25042.0,الجنوب الشرقي,P3
481398.0,380857.0,57688.0,24448.0,60704.0,35284.0,30534.0,2838.0,38646.0,17454.0,293826.0,300833.0,المجموع العام,P3
,,,,,,,,,,,,%,P3
,,,,,,,,,,,,,P3
