مجموع_2022,مجموع_2021,التحويل_الاولي_2022,التحويل_الاولي_2021,خدمات_فلاحية_2022,خدمات_فلاحية_2021,تربية_احياء_مايية_2022,تربية_احياء_مايية_2021,صيد_بحري_2022,صيد_بحري_2021,فلاحة_2022,فلاحة_2021,unnamed_13,feuille
1709.0,858.0,0.0,0.0,541.0,440.0,0.0,0.0,1168.0,418.0,0.0,0.0,تونس,P3
3743.0,1144.0,688.0,0.0,220.0,60.0,0.0,0.0,0.0,19.0,2835.0,1065.0,أريانة,P3
9790.0,2907.0,285.0,224.0,2466.0,198.0,0.0,0.0,0.0,0.0,7039.0,2485.0,بن عروس,P3
44421.0,48252.0,8331.0,461.0,1480.0,1379.0,0.0,156.0,3916.0,453.0,30694.0,45803.0,نابل,P3
15190.0,26050.0,0.0,2258.0,84.0,7.0,0.0,0.0,0.0,0.0,15106.0,23784.0,زغوان,P3
31051.0,20759.0,0.0,248.0,2602.0,862.0,811.0,140.0,5525.0,232.0,22113.0,19277.0,بنزرت,P3
17718.0,3241.0,500.0,0.0,764.0,227.0,0.0,0.0,0.0,0.0,16454.0,3014.0,منوبة,P3
123622.0,103210.0,9804.0,3191.0,8156.0,3173.0,811.0,296.0,10609.0,1122.0,94242.0,95428.0,الشمال الشرقي,P3
19461.0,17192.0,201.0,0.0,8005.0,1162.0,0.0,0.0,0.0,0.0,11255.0,16031.0,باجة,P3
24007.0,23818.0,132.0,0.0,10391.0,3197.0,0.0,0.0,1614.0,0.0,11871.0,20621.0,جندوبة,P3
21129.0,10997.0,1497.0,0.0,4137.0,177.0,0.0,0.0,0.0,0.0,15496.0,10820.0,الكاف,P3
22650.0,11903.0,1993.0,2290.0,2258.0,365.0,0.0,0.0,0.0,0.0,18399.0,9248.0,سليانة,P3
87248.0,63911.0,3823.0,2290.0,24791.0,4900.0,0.0,0.0,1614.0,0.0,57021.0,56721.0,الشمال الغربي,P3
32290.0,33338.0,10383.0,4270.0,8612.0,6822.0,0.0,0.0,0.0,0.0,13295.0,22247.0,القيروان,P3
42004.0,37164.0,1355.0,2814.0,1238.0,438.0,0.0,0.0,0.0,0.0,39411.0,33912.0,القصرين,P3
25226.0,39348.0,217.0,0.0,4180.0,4149.0,0.0,0.0,0.0,0.0,20829.0,35199.0,سيدي بوزيد,P3
99521.0,109850.0,11955.0,7084.0,14030.0,11409.0,0.0,0.0,0.0,0.0,73536.0,91357.0,الوسط الغربي,P3
12691.0,5056.0,2553.0,83.0,310.0,399.0,9828.0,1181.0,0.0,0.0,0.0,3394.0,سوسة,P3
18987.0,11010.0,4241.0,852.0,1788.0,1149.0,7490.0,1362.0,4207.0,7042.0,1261.0,606.0,المنستير,P3
45121.0,18089.0,9645.0,11010.0,2713.0,3865.0,12662.0,0.0,8328.0,1554.0,11773.0,1660.0,المهدية,P3
58794.0,29762.0,22172.0,2260.0,3533.0,2528.0,0.0,0.0,11188.0,3223.0,21901.0,21750.0,صفاقس,P3
135593.0,63917.0,38611.0,14205.0,8344.0,7941.0,29980.0,2543.0,23723.0,11818.0,34934.0,27410.0,الوسط الشرقي,P3
16034.0,20904.0,157.0,0.0,1599.0,1520.0,0.0,0.0,0.0,0.0,14278.0,19384.0,قفصة,P3
5063.0,6086.0,767.0,78.0,691.0,881.0,0.0,0.0,0.0,0.0,3605.0,5127.0,توزر,P3
7780.0,4813.0,0.0,0.0,1528.0,1135.0,0.0,0.0,0.0,0.0,6252.0,3678.0,قبلي,P3
28878.0,31803.0,923.0,78.0,3818.0,3535.0,0.0,0.0,0.0,0.0,24136.0,28190.0,الجنوب الغربي,P3
41515.0,16819.0,0.0,0.0,3989.0,2846.0,70.0,0.0,1635.0,1458.0,35822.0,12515.0,قابس,P3
20508.0,16512.0,0.0,0.0,3137.0,2546.0,0.0,0.0,8474.0,3990.0,8896.0,9977.0,مدنين,P3
7287.0,9245.0,0.0,0.0,394.0,2075.0,0.0,0.0,0.0,0.0,6893.0,7170.0,تطاوين,P3
69310.0,42576.0,0.0,0.0,7520.0,7466.0,70.0,0.0,10109.0,5448.0,51611.0,29662.0,الجنوب الشرقي,P3
544172.0,415267.0,65116.0,26849.0,66659.0,38425.0,30861.0,2838.0,46055.0,18388.0,335480.0,328768.0,المجموع العام,P3
,,,,,,,,,,,,%,P3
