مجموع_2022,مجموع_2021,التحويل_2022,التحويل_2021,خدمات_فلاحية_2022,خدمات_فلاحية_2021,تربية_احياء_مايية_2022,تربية_احياء_مايية_2021,صيد_بحري_2022,صيد_بحري_2021,فلاحة_2022,فلاحة_2021,unnamed_13,feuille
1263.0,858.0,0.0,0.0,257.0,440.0,0.0,0.0,1006.0,418.0,0.0,0.0,تونس,P3
1543.0,1144.0,0.0,0.0,115.0,60.0,0.0,0.0,0.0,19.0,1428.0,1065.0,أريانة,P3
9406.0,2907.0,191.0,224.0,2466.0,198.0,0.0,0.0,0.0,0.0,6750.0,2485.0,بن عروس,P3
34470.0,26851.0,7552.0,400.0,891.0,1289.0,0.0,156.0,3069.0,453.0,22958.0,24554.0,نابل,P3
10493.0,16817.0,0.0,2201.0,84.0,7.0,0.0,0.0,0.0,0.0,10409.0,14609.0,زغوان,P3
15848.0,17026.0,0.0,248.0,843.0,862.0,484.0,140.0,1908.0,232.0,12613.0,15544.0,بنزرت,P3
17718.0,1786.0,500.0,0.0,764.0,227.0,0.0,0.0,0.0,0.0,16454.0,1559.0,منوبة,P3
90741.0,67388.0,8242.0,3073.0,5420.0,3083.0,484.0,296.0,5983.0,1122.0,70612.0,59815.0,الشمال الشرقي,P3
18237.0,6515.0,201.0,0.0,8005.0,921.0,0.0,0.0,0.0,0.0,10031.0,5594.0,باجة,P3
18046.0,19167.0,132.0,0.0,8060.0,3197.0,0.0,0.0,1582.0,0.0,8272.0,15970.0,جندوبة,P3
14282.0,9143.0,121.0,0.0,3616.0,31.0,0.0,0.0,0.0,0.0,10545.0,9112.0,الكاف,P3
16125.0,9537.0,1993.0,2290.0,1773.0,365.0,0.0,0.0,0.0,0.0,12359.0,6882.0,سليانة,P3
66691.0,44362.0,2447.0,2290.0,21454.0,4514.0,0.0,0.0,1582.0,0.0,41208.0,37558.0,الشمال الغربي,P3
23663.0,24717.0,6574.0,2395.0,5988.0,4912.0,0.0,0.0,0.0,0.0,11100.0,17410.0,القيروان,P3
28379.0,32620.0,1355.0,2814.0,974.0,438.0,0.0,0.0,0.0,0.0,26049.0,29367.0,القصرين,P3
22401.0,29943.0,0.0,0.0,3839.0,3620.0,0.0,0.0,0.0,0.0,18562.0,26322.0,سيدي بوزيد,P3
74442.0,87280.0,7930.0,5209.0,10801.0,8971.0,0.0,0.0,0.0,0.0,55711.0,73099.0,الوسط الغربي,P3
12691.0,5056.0,2553.0,83.0,310.0,399.0,9828.0,1180.0,0.0,0.0,0.0,3394.0,سوسة,P3
16902.0,11010.0,4161.0,852.0,1456.0,1149.0,6270.0,1362.0,4207.0,7042.0,808.0,606.0,المنستير,P3
32579.0,12793.0,9645.0,6505.0,2563.0,3474.0,1660.0,0.0,7098.0,1554.0,11613.0,1260.0,المهدية,P3
36182.0,30533.0,15170.0,2260.0,2015.0,2528.0,0.0,0.0,10173.0,3320.0,8825.0,22425.0,صفاقس,P3
98354.0,59393.0,31529.0,9700.0,6344.0,7550.0,17758.0,2542.0,21478.0,11916.0,21245.0,27685.0,الوسط الشرقي,P3
14039.0,13740.0,157.0,0.0,1339.0,836.0,0.0,0.0,0.0,0.0,12543.0,12904.0,قفصة,P3
3985.0,3709.0,501.0,0.0,464.0,720.0,0.0,0.0,0.0,0.0,3020.0,2988.0,توزر,P3
6835.0,4813.0,0.0,0.0,1357.0,1135.0,0.0,0.0,0.0,0.0,5479.0,3678.0,قبلي,P3
24859.0,22262.0,657.0,0.0,3159.0,2692.0,0.0,0.0,0.0,0.0,21042.0,19570.0,الجنوب الغربي,P3
34917.0,12928.0,0.0,0.0,3743.0,2023.0,70.0,0.0,1351.0,1341.0,29753.0,9563.0,قابس,P3
17847.0,13790.0,0.0,0.0,3137.0,2308.0,0.0,0.0,5813.0,3173.0,8896.0,8309.0,مدنين,P3
4040.0,9245.0,0.0,0.0,336.0,2075.0,0.0,0.0,0.0,0.0,3703.0,7170.0,تطاوين,P3
56804.0,35962.0,0.0,0.0,7217.0,6406.0,70.0,0.0,7164.0,4514.0,42353.0,25042.0,الجنوب الشرقي,P3
411891.0,316646.0,50806.0,20272.0,54395.0,33216.0,18312.0,2838.0,36207.0,17551.0,252171.0,242769.0,المجموع العام,P3
,,,,,,,,,,,,%,P3
