مجموع_2022,مجموع_2021,التحويل_2022,التحويل_2021,خدمات_فلاحية_2022,خدملت_فلاحية_2021,تربية_احياء_مايية_2022,تربية_احياء_مايية_2021,صيد_بحري_2022,صيد_بحري_2021,فلاحة_2022,فلاحة_2021,unnamed_13,feuille
1263.0,858.0,0.0,0.0,257.0,440.0,0.0,0.0,1006.0,418.0,0.0,0.0,تونس,P3
1543.0,1144.0,0.0,0.0,115.0,60.0,0.0,0.0,0.0,19.0,1428.0,1065.0,أريانة,P3
8695.0,2670.0,0.0,224.0,2466.0,114.0,0.0,0.0,0.0,0.0,6229.0,2332.0,بن عروس,P3
30936.0,23058.0,7362.0,400.0,360.0,1206.0,0.0,0.0,2907.0,200.0,20307.0,21252.0,نابل,P3
10493.0,16817.0,0.0,2201.0,84.0,7.0,0.0,0.0,0.0,0.0,10409.0,14609.0,زغوان,P3
15848.0,14374.0,0.0,248.0,843.0,862.0,484.0,140.0,1908.0,232.0,12613.0,12892.0,بنزرت,P3
15676.0,1786.0,500.0,0.0,674.0,227.0,0.0,0.0,0.0,0.0,14503.0,1559.0,منوبة,P3
84453.0,60706.0,7862.0,3073.0,4798.0,2916.0,484.0,140.0,5821.0,869.0,65488.0,53708.0,الشمال الشرقي,P3
14654.0,6515.0,201.0,0.0,6322.0,921.0,0.0,0.0,0.0,0.0,8130.0,5594.0,باجة,P3
18046.0,16330.0,132.0,0.0,8060.0,2202.0,0.0,0.0,1582.0,0.0,8272.0,14128.0,جندوبة,P3
15594.0,7643.0,1496.0,0.0,3616.0,31.0,0.0,0.0,0.0,0.0,10482.0,7612.0,الكاف,P3
14159.0,7251.0,1993.0,2290.0,1667.0,365.0,0.0,0.0,0.0,0.0,10500.0,4596.0,سليانة,P3
62454.0,37738.0,3822.0,2290.0,19665.0,3519.0,0.0,0.0,1582.0,0.0,37384.0,31929.0,الشمال الغربي,P3
21088.0,24717.0,6574.0,2395.0,5309.0,4912.0,0.0,0.0,0.0,0.0,9204.0,17410.0,القيروان,P3
28723.0,20473.0,1355.0,1280.0,974.0,281.0,0.0,0.0,0.0,0.0,26394.0,18913.0,القصرين,P3
20239.0,25887.0,0.0,0.0,3782.0,2925.0,0.0,0.0,0.0,0.0,16457.0,22962.0,سيدي بوزيد,P3
70050.0,71077.0,7930.0,3675.0,10065.0,8118.0,0.0,0.0,0.0,0.0,52055.0,59284.0,الوسط الغربي,P3
12469.0,2630.0,2553.0,83.0,88.0,399.0,9828.0,0.0,0.0,0.0,0.0,2148.0,سوسة,P3
16048.0,9626.0,4161.0,852.0,1456.0,816.0,6270.0,734.0,3695.0,6750.0,466.0,475.0,المنستير,P3
30527.0,10958.0,9490.0,4670.0,1734.0,3474.0,1660.0,0.0,6383.0,1554.0,11260.0,1260.0,المهدية,P3
36182.0,27785.0,15170.0,2260.0,2015.0,2069.0,0.0,0.0,10173.0,3230.0,8825.0,20226.0,صفاقس,P3
95226.0,50999.0,31374.0,7865.0,5293.0,6758.0,17758.0,734.0,20251.0,11534.0,20550.0,24109.0,الوسط الشرقي,P3
10909.0,14175.0,157.0,0.0,988.0,836.0,0.0,0.0,0.0,0.0,9765.0,13339.0,قفصة,P3
2969.0,3652.0,501.0,0.0,464.0,720.0,0.0,0.0,0.0,0.0,2004.0,2932.0,توزر,P3
5957.0,4813.0,0.0,0.0,1230.0,1135.0,0.0,0.0,0.0,0.0,4727.0,3678.0,قبلي,P3
19835.0,22640.0,657.0,0.0,2681.0,2692.0,0.0,0.0,0.0,0.0,16496.0,19949.0,الجنوب الغربي,P3
32099.0,8966.0,0.0,0.0,3198.0,1714.0,70.0,0.0,1007.0,261.0,27824.0,6991.0,قابس,P3
15058.0,10908.0,0.0,0.0,2768.0,1925.0,0.0,0.0,5249.0,2114.0,7040.0,6870.0,مدنين,P3
4040.0,9245.0,0.0,0.0,336.0,2075.0,0.0,0.0,0.0,0.0,3703.0,7170.0,تطاوين,P3
51197.0,29118.0,0.0,0.0,6302.0,5713.0,70.0,0.0,6256.0,2374.0,38568.0,21031.0,الجنوب الشرقي,P3
383215.0,272279.0,51645.0,16902.0,48805.0,29716.0,18312.0,874.0,33911.0,14777.0,230542.0,210009.0,المجموع العام,P3
,,,,,,,,,,,,%,P3
