annee,delegation,superficie_irrigable_hectare,superficie_irriguee_hectare,superficie_exploitee_hectare,feuille
2016,Sidi Hassine,140.0,41.5,57.937,Feuil1
2017,Sidi Hassine,140.0,23.0,35.5,Feuil1
2018,Sidi Hassine,140.0,20.25,35.5,Feuil1
2020,Sidi Hassine,140.0,18.25,23.25,Feuil1
2021,Sidi Hassine,140.0,23.5,26.0,Feuil1
2022,Sidi Hassine,160.0,15.1,23.45,Feuil1
2023,Sidi Hassine,160.0,16.75,17.75,Feuil1
2024*,Sidi Hassine,160.0,4.0,4.0,Feuil1
,,,,,Feuil1
,*تم إيقاف تزويد المنطقة السقوية العمومية بالمغيرة إنزال من قنال مجردة الوطن القبلي عملا بالمنشور الوزاري عدد 941 المؤرخ في 29 مارس 2023 نظرا لتراجع منسوب المياه بالسدود.,,,,Feuil1
