annee,delegation,nombre_des_perimetres_publics,superficie_irrigable_ha_perimetre_public,superficie_irriguee_ha_perimetre_public,nombre_des_perimetres_prives,superficie_irrigable_ha_perimetre_prive,superficie_irriguee_ha_perimetre_prive,feuille
2022,Médenine Sud,2.0,80.0,80.0,180,280,316.0,Feuil1
2022,Sidi Makhlouf,6.0,166.0,120.0,881,1111,1145.0,Feuil1
2022,Ajim,5.0,217.0,152.0,560,415,430.0,Feuil1
2022,Houmet Essouk,0.0,0.0,0.0,106,83,87.0,Feuil1
2022,Midoun,2.0,117.0,80.0,450,275,284.0,Feuil1
2022,Zarzis,0.0,0.0,0.0,215,184,185.0,Feuil1
2022,Médenine Nord,0.0,0.0,0.0,165,116,125.0,Feuil1
2022,Ben Guerdane,1.0,19.0,11.0,812,197,245.0,Feuil1
2022,Beni Khedech,4.0,94.3,60.0,65,117,120.0,Feuil1
2023,Médenine Sud,2.0,80.0,60.0,185,285,316.0,Feuil1
2023,Sidi Makhlouf,6.0,181.0,65.5,891,1121,1145.0,Feuil1
2023,Ajim,5.0,227.5,151.0,570,425,430.0,Feuil1
2023,Houmet Essouk,0.0,0.0,0.0,106,83,87.0,Feuil1
2023,Midoun,2.0,117.0,47.0,455,280,284.0,Feuil1
2023,Zarzis,0.0,0.0,0.0,215,184,185.0,Feuil1
2023,Médenine Nord,0.0,0.0,0.0,165,116,125.0,Feuil1
2023,Ben Guerdane,1.0,19.0,11.0,817,202,245.0,Feuil1
2023,Beni Khedech,4.0,94.3,45.0,65,117,120.0,Feuil1
2024,Médenine Nord,2.0,80.0,,245,378,,Feuil1
2024,Médenine Sud,,181.0,,1183,1794,,Feuil1
2024,Sidi Makhlouf,5.0,228.0,,695,750,,Feuil1
2024,Ajim,0.0,0.0,,117,95,,Feuil1
2024,Midoun,2.0,146.0,,522,310,,Feuil1
2024,Houmet Essouk,0.0,0.0,,226,204,,Feuil1
2024,Zarzis,0.0,0.0,,205,220,,Feuil1
2024,Ben Guerdane,1.0,19.0,,826,322,,Feuil1
2024,Beni Khedech,4.0,95.0,,71,127,,Feuil1
