اسم_المايدة,المعتمدية,عدد_الابار,الموارد_م_م3,التدفق_ل_ثانية,الاستغلال_للشراب_م_م3,الاستغلال_للفلاحة_م_م3,الاستغلال_للصناعة_م_م3,المجموع,الملوحة_غ_ل,feuille
بنزرت الشمالية 12211,بنزرت الشمالية,11,4.7,6.9,0.2,0.01,0.007,0.21700000000000003,"0,3-2,7",Feuil1
وادي القرع 13111,بنزرت الجنوبية,23,0.9,17.23,0.21,0.34,,0.55,"0,35-2,4",Feuil1
وادي قنيش13121,العالية,241,9.5,215.0,0.55,5.85,0.18,6.579999999999999,"0,4-3,45",Feuil1
وادي قنيش13131,منزل جميل,29,3.2,98.4,2.55,0.46,,3.01,"0,35-3,15",Feuil1
منزل بورقيبة 13141,منزل بورقيبة,69,3.0,58.0,0.07,1.57,0.16,1.8,"0,8-2,1",Feuil1
وادي سجنان 13211,سجنان,11,0.8,20.53,0.45,0.043,,0.493,"0,4-0,7",Feuil1
ماطر 13511,ماطر,35,12.6,46.9,0.65,0.85,0.02,1.52,"0,5-2,8",Feuil1
ماطر 13521,ماطر,17,12.6,173.4,4.6,0.07,,4.67,"0,3-1,3",Feuil1
جومين الأعلى 13531,جومين,30,1.3,37.0,1.04,0.27,,1.31,"0,3-1,1",Feuil1
وادي الطين 13621,جومين,7,1.5,3.9,0.02,0.11,,0.13,"0,5- 0,9",Feuil1
وادي مجردة 26011,أوتيك,49,4.0,35.8,,1.08,0.02,1.1,"0,8-3,3",Feuil1
وادي مجردة 26021,أوتيك,23,,42.1,,1.25,,1.25,"1,2- 2,7",Feuil1
