delegation_ar,adresse_ar,nom_ar,nature_du_stockage_ar,nature_du_stockage_fr,feuille
سوسة سيدي عبد الحميد,قصيبة الشط,الهاشمي الوحشي,أسماك,poisson,مخازن التبريد
سوسة سيدي عبد الحميد,حي  الغدران,حمزة بن المختار عمار,أسماك,poisson,مخازن التبريد
سوسة سيدي عبد الحميد,طريق المنستير,كمال بنمصطفى بن عمار,أسماك,poisson,مخازن التبريد
سوسة سيدي عبد الحميد,قصيبة الشط,رضا المكني,أسماك,poisson,مخازن التبريد
سوسة سيدي عبد الحميد,شارع الهادي نويرة,أنيس بن علي صميدة,أسماك,poisson,مخازن التبريد
سوسة سيدي عبد الحميد,طريق المنستير,هيثم بن حسن بوهلال,أسماك,poisson,مخازن التبريد
هرقلة,ميناء هرقلة,الصحبي سلامة,أسماك,poisson,مخازن التبريد
هرقلة,ميناء هرقلة,رضا بن محمد سلامة,تخزين أعلاف التن,aliments pour engraissement du thon,مخازن التبريد
هرقلة,ميناء هرقلة,الصحبي بن حامد سلامة,تخزين أعلاف التن,aliments pour engraissement du thon,مخازن التبريد
الزاوية-القصيبة-الثريات,نهج سيدي عبد الحميد,أولاد القرماشي محجوب,خضر و غلال,fruits et légumes,مخازن التبريد
الزاوية-القصيبة-الثريات,شارع القاهرة الزاوية,فرج قيلوشي,خضر و غلال,fruits et légumes,مخازن التبريد
الزاوية-القصيبة-الثريات,شارع فلسطين الزاوية,فيصل جلول,خضر و غلال,fruits et légumes,مخازن التبريد
الزاوية-القصيبة-الثريات,شارع فلسطين الزاوية,قيس العنيسي,خضر و غلال,fruits et légumes,مخازن التبريد
الزاوية-القصيبة-الثريات,شارع البستين القصيبة,الصحبي عبيد,خضر و غلال,fruits et légumes,مخازن التبريد
الزاوية-القصيبة-الثريات,طريق مساكن الزاوية,محمد بن فرج القيلوشي,خضر و غلال,fruits et légumes,مخازن التبريد
مساكن,طريق القيروان,أولاد القرماشي محجوب,خضر و غلال,fruits et légumes,مخازن التبريد
مساكن,طريق كروسيا,مراد مريزق,مغلق,fermé,مخازن التبريد
مساكن,طريق القيروان,علي بالعربية,مستغل من طرف شركة ديليس,"exploité par la société  ""DELICE""",مخازن التبريد
مساكن,نهج الإمام الغزالي,مصطفى محجوب,مغلق,fermé,مخازن التبريد
مساكن,مدخل بني ربيعة,بشير الماجري,خضر و غلال,fruits et légumes,مخازن التبريد
مساكن,الموردين طريق سوسة,مكرم حميدة,خضر و غلال,fruits et légumes,مخازن التبريد
مساكن,الموردين,العربي عبد الله,خضر و غلال,fruits et légumes,مخازن التبريد
,الجبليين مساكن,حبيب زروقة,خضر و غلال,fruits et légumes,مخازن التبريد
,الموردين,قويدر جربوع,خضر و غلال,fruits et légumes,مخازن التبريد
