annee,adduction_casses_spontannees,adduction_casses_provoquees,distribution_casses_spontannees,distribution_casses_provoquees,feuille
2002,639,43,8697,2170,Feuil1
2003,761,82,9496,2354,Feuil1
2004,565,87,9462,2250,Feuil1
2005,592,98,9494,1883,Feuil1
2006,616,65,8987,1646,Feuil1
2007,616,60,9203,1723,Feuil1
2008,729,90,9286,1916,Feuil1
2009,884,153,9649,1627,Feuil1
2010,612,60,10649,2086,Feuil1
2011,879,56,11163,1644,Feuil1
2012,831,327,10978,1334,Feuil1
2013,637,51,12008,1016,Feuil1
2014,835,110,14224,1159,Feuil1
2015,704,128,14932,1517,Feuil1
2016,744,132,14872,1376,Feuil1
2017,1033,104,16986,2073,Feuil1
2018,717,52,17453,1286,Feuil1
2019,816,46,17449,1277,Feuil1
2020,865,51,17792,1092,Feuil1
