type_de_permis,annee,nombre,feuille
صيد ساحلي,2017,344,Feuil1
صيد بالجر القاعي,2017,47,Feuil1
صيد السمك الأزرق,2017,12,Feuil1
صيد ساحلي ببحيرة تونس,2017,32,Feuil1
صيد الحنشة بولاية تونس,2017,9,Feuil1
الصيد بالكاماتشات بالبحيرة,2017,5,Feuil1
صيد للنزهة,2017,383,Feuil1
صيد بالغطس,2017,153,Feuil1
صيد على الأقدام,2017,14,Feuil1
صيد ساحلي,2018,327,Feuil1
صيد بالجر القاعي,2018,57,Feuil1
صيد السمك الأزرق,2018,19,Feuil1
صيد ساحلي ببحيرة تونس,2018,22,Feuil1
صيد الحنشة بولاية تونس,2018,9,Feuil1
الصيد بالكاماتشات بالبحيرة,2018,5,Feuil1
صيد للنزهة,2018,346,Feuil1
صيد بالغطس,2018,330,Feuil1
صيد على الأقدام,2018,24,Feuil1
صيد ساحلي,2019,309,Feuil1
صيد بالجر القاعي,2019,47,Feuil1
صيد السمك الأزرق,2019,18,Feuil1
صيد ساحلي ببحيرة تونس,2019,24,Feuil1
صيد الحنشة بولاية تونس,2019,9,Feuil1
الصيد بالكاماتشات بالبحيرة,2019,5,Feuil1
صيد للنزهة,2019,413,Feuil1
صيد بالغطس,2019,272,Feuil1
صيد على الأقدام,2019,18,Feuil1
صيد ساحلي,2020,325,Feuil1
صيد بالجر القاعي,2020,32,Feuil1
صيد السمك الأزرق,2020,11,Feuil1
صيد ساحلي ببحيرة تونس,2020,23,Feuil1
صيد الحنشة بولاية تونس,2020,9,Feuil1
الصيد بالكاماتشات بالبحيرة,2020,6,Feuil1
صيد للنزهة,2020,474,Feuil1
صيد بالغطس,2020,266,Feuil1
صيد على الأقدام,2020,20,Feuil1
صيد ساحلي,2021,331,Feuil1
صيد بالجر القاعي,2021,29,Feuil1
صيد السمك الأزرق,2021,12,Feuil1
صيد ساحلي ببحيرة تونس,2021,31,Feuil1
صيد الحنشة بولاية تونس,2021,9,Feuil1
الصيد بالكاماتشات بالبحيرة,2021,5,Feuil1
صيد للنزهة,2021,470,Feuil1
صيد بالغطس,2021,197,Feuil1
صيد على الأقدام,2021,20,Feuil1
